Year,CO2,CO2_including_luc,Total_ghg
1750,9.306,,
1751,9.407,,
1752,9.505,,
1753,9.61,,
1754,9.734,,
1755,9.793,,
1756,9.91,,
1757,10.094,,
1758,10.216,,
1759,10.339,,
1760,10.514,,
1761,10.748,,
1762,10.952,,
1763,11.192,,
1764,11.397,,
1765,11.643,,
1766,11.876,,
1767,12.153,,
1768,12.467,,
1769,12.78,,
1770,13.097,,
1771,13.369,,
1772,13.624,,
1773,13.808,,
1774,14.012,,
1775,14.339,,
1776,14.654,,
1777,14.96,,
1778,15.243,,
1779,15.535,,
1780,15.879,,
1781,16.234,,
1782,16.581,,
1783,17.063,,
1784,17.471,,
1785,17.965,,
1786,18.447,,
1787,18.859,,
1788,19.286,,
1789,19.863,,
1790,20.398,,
1791,20.932,,
1792,21.929,,
1793,22.297,,
1794,22.52,,
1795,22.315,,
1796,22.121,,
1797,22.09,,
1798,23.106,,
1799,27.485,,
1800,32.798,,
1801,31.986,,
1802,40.31,,
1803,29.539,,
1804,31.769,,
1805,31.252,,
1806,32.705,,
1807,36.201,,
1808,35.498,,
1809,36.334,,
1810,39.492,,
1811,40.177,,
1812,40.815,,
1813,41.206,,
1814,42.227,,
1815,43.587,,
1816,45.497,,
1817,49.276,,
1818,51.392,,
1819,50.93,,
1820,50.733,,
1821,52.059,,
1822,54.022,,
1823,56.358,,
1824,57.584,,
1825,60.731,,
1826,61.382,,
1827,65.739,,
1828,66.682,,
1829,66.307,,
1830,88.988,,
1831,83.251,,
1832,82.092,,
1833,83.249,,
1834,88.763,,
1835,97.4,,
1836,106.894,,
1837,106.199,,
1838,105.845,,
1839,109.653,,
1840,118.809,,
1841,122.166,,
1842,129.389,,
1843,132.369,,
1844,141.966,,
1845,155.073,,
1846,157.702,,
1847,170.797,,
1848,173.643,,
1849,185.048,,
1850,196.848,2835.459,4219.061
1851,198.779,3018.492,4409.311
1852,207.595,3065.094,4465.078
1853,217.237,3122.835,4532.813
1854,255.039,3169.879,4594.583
1855,260.26,3138.781,4572.071
1856,278.246,3247.13,4690.924
1857,281.181,3232.267,4683.661
1858,285.548,3260.378,4718.895
1859,302.572,3341.246,4810.028
1860,332.298,3113.146,4593.482
1861,349.19,3116.545,4605.667
1862,355.991,3096.443,4592.632
1863,379.535,3086.654,4594.464
1864,409.525,3028.223,4547.105
1865,434.851,3006.283,4535.311
