Country,Year,Disaster Type,Total Deaths,Total Affected,Total Damage ('000 US$)
Albania,1992,Flood,11,35000,7000
Albania,1995,Flood,4,3500,0
Albania,1997,Flood,0,6000,0
Albania,2002,Flood,1,66884,17500
Albania,2002,Storm,6,125000,0
Albania,2004,Extreme temperature,3,0,0
Albania,2004,Flood,0,2500,173
Albania,2005,Flood,3,500,0
Albania,2005,Storm,2,400000,0
Albania,2007,Extreme temperature,0,150,0
Albania,2007,Wildfire,0,75,0
Albania,2009,Flood,0,6600,0
Albania,2010,Flood,0,14000,0
Albania,2012,Extreme temperature,5,230000,0
Albania,2015,Flood,2,50300,0
Albania,2016,Flood,2,4500,0
Albania,2017,Extreme temperature,6,0,0
Albania,2017,Flood,1,21002,8900
Albania,2018,Flood,0,800,0
Albania,2021,Flood,0,84,0
Albania,2022,Extreme temperature,352,0,0
Albania,2023,Extreme temperature,363,0,0
Anguilla,1999,Storm,0,150,50
Anguilla,2017,Storm,4,15000,200000
Antigua and Barbuda,1990,Storm,0,0,0
Antigua and Barbuda,1995,Storm,2,3702,350000
Antigua and Barbuda,1998,Storm,2,2025,100000
Antigua and Barbuda,1999,Storm,2,5957,0
Antigua and Barbuda,2008,Storm,0,25800,0
Antigua and Barbuda,2010,Storm,0,5000,12600
Antigua and Barbuda,2017,Storm,1,1800,250000
Argentina,1990,Flood,21,2000,0
Argentina,1992,Flood,45,88074,510000
Argentina,1993,Flood,0,0,1092000
Argentina,1993,Storm,15,8000,50000
Argentina,1994,Wildfire,24,0,0
Argentina,1995,Extreme temperature,0,25000,0
Argentina,1995,Flood,0,2500,0
Argentina,1995,Storm,6,6000,0
Argentina,1997,Flood,0,12500,0
Argentina,1998,Flood,19,360000,1100000
Argentina,1998,Storm,0,4000,0
Argentina,1999,Wildfire,0,0,0
Argentina,2000,Extreme temperature,15,300,0
Argentina,2000,Flood,13,37840,300000
Argentina,2000,Storm,1,430,0
Argentina,2000,Wildfire,8,0,0
Argentina,2001,Extreme temperature,14,3000,0
Argentina,2001,Flood,1,251300,750000
Argentina,2001,Storm,20,2650,15000
Argentina,2001,Wildfire,0,0,0
Argentina,2002,Extreme temperature,0,200,0
Argentina,2002,Flood,4,6000,0
Argentina,2002,Storm,3,5000,0
Argentina,2003,Drought,0,0,120000
Argentina,2003,Flood,27,163000,1028210
Argentina,2003,Storm,12,900,0
Argentina,2004,Extreme temperature,5,0,0
Argentina,2004,Flood,5,6307,0
Argentina,2005,Storm,11,252,0
Argentina,2006,Flood,0,4500,0
Argentina,2007,Extreme temperature,9,0,0
Argentina,2007,Flood,10,135000,40000
Argentina,2008,Flood,0,85000,0
Argentina,2009,Drought,0,0,0
Argentina,2009,Flood,9,34128,0
Argentina,2009,Storm,10,24,0
Argentina,2010,Extreme temperature,42,0,0
Argentina,2012,Flood,6,10000,0
Argentina,2012,Storm,19,9530,12000
Argentina,2013,Flood,52,350000,1300000
Argentina,2013,Storm,4,12,2000
Argentina,2014,Flood,3,7203,62000
Argentina,2015,Flood,11,141133,0
Argentina,2015,Storm,8,4500,17200
Argentina,2016,Flood,0,85769,1002000
Argentina,2017,Flood,1,51777,0
Argentina,2018,Drought,0,0,3400000
Argentina,2018,Flood,0,63420,0
Argentina,2018,Storm,2,1200,0
Argentina,2019,Drought,8,35032,0
Argentina,2019,Flood,6,35351,0
Argentina,2020,Flood,3,3000,10000
Argentina,2020,Storm,0,250,0
Argentina,2021,Flood,0,90,0
Argentina,2021,Wildfire,15,1207,0
Argentina,2022,Wildfire,0,124085,770000
Argentina,2023,Flood,0,38000,0
Argentina,2023,Storm,13,14020,125000
Argentina,2023,Wildfire,0,800,0
Argentina,2024,Flood,0,402400,0
Argentina,2024,Storm,1,400006,250000
Argentina,2025,Flood,125,236700,375000
Argentina,2025,Wildfire,1,1500,0
Austria,1990,Storm,3,0,250000
Austria,1991,Flood,5,0,82000
Austria,1991,Storm,0,0,28000
Austria,1993,Storm,0,0,1000
Austria,1994,Storm,0,0,2000
Austria,1995,Flood,2,0,200
Austria,1996,Flood,0,0,5000
Austria,1997,Flood,3,0,175000
Austria,1999,Flood,3,0,32000
Austria,2000,Storm,0,0,20000
Austria,2002,Flood,9,60000,2400000
Austria,2002,Storm,3,300,5000
Austria,2003,Extreme temperature,345,0,280000
Austria,2005,Extreme temperature,0,0,0
Austria,2005,Flood,4,900,700000
Austria,2006,Flood,0,516,0
Austria,2007,Extreme temperature,5,0,0
Austria,2007,Storm,0,0,400000
Austria,2008,Storm,4,0,500000
Austria,2009,Extreme temperature,2,0,0
Austria,2009,Flood,1,0,200000
Austria,2009,Storm,0,0,500000
Austria,2012,Extreme temperature,5,0,0
Austria,2013,Flood,4,200,1000000
Austria,2016,Flood,0,0,0
Austria,2017,Storm,5,330,118000
Austria,2019,Extreme temperature,1,0,0
Austria,2019,Storm,11,0,0
Austria,2021,Flood,1,0,0
Austria,2022,Extreme temperature,419,0,0
Austria,2022,Storm,5,13,0
Austria,2023,Extreme temperature,486,0,0
Austria,2024,Storm,5,2220,0
Azores Islands,1996,Storm,0,60,66000
Bahamas,1990,Storm,0,0,0
Bahamas,1992,Storm,4,1700,250000
Bahamas,1995,Storm,0,0,400
Bahamas,1999,Storm,1,0,450000
Bahamas,2001,Storm,0,0,300000
Bahamas,2004,Storm,12,9000,1550000
Bahamas,2005,Storm,1,1500,0
Bahamas,2007,Storm,1,7000,0
Bahamas,2008,Storm,0,3000,0
Bahamas,2011,Storm,0,10000,40000
Bahamas,2012,Storm,1,0,0
Bahamas,2013,Flood,0,1000,45000
Bahamas,2015,Storm,33,6710,90000
Bahamas,2016,Storm,0,0,600000
Bahamas,2017,Storm,0,0,2000
Bahamas,2019,Storm,356,14940,3400000
Barbados,1995,Storm,0,0,0
Barbados,2002,Storm,0,2000,200
Barbados,2004,Storm,1,880,5000
Barbados,2010,Drought,0,0,0
Barbados,2010,Storm,0,2500,0
Barbados,2017,Storm,1,0,0
Barbados,2021,Storm,0,3300,0
Barbados,2023,Storm,0,179,0
Barbados,2024,Storm,0,2500,0
Belarus,1993,Flood,0,40000,100000
Belarus,1996,Flood,0,0,0
Belarus,1997,Storm,5,21390,33000
Belarus,1999,Flood,2,2000,4380
Belarus,2000,Extreme temperature,0,0,30300
Belarus,2006,Extreme temperature,5,1820,0
Belarus,2007,Storm,0,0,10000
Belarus,2012,Extreme temperature,0,130,0
Belarus,2013,Extreme temperature,4,11325,0
Belarus,2014,Extreme temperature,2,31500,0
Belarus,2017,Extreme temperature,43,50539,0
Belarus,2018,Flood,0,50000,0
Belarus,2023,Flood,0,420,0
Belgium,1990,Storm,16,0,980000
Belgium,1993,Flood,1,3100,17000
Belgium,1994,Flood,0,150,0
Belgium,1995,Storm,6,800,100000
Belgium,1998,Flood,1,140,10000
Belgium,1998,Storm,0,0,500
Belgium,1999,Storm,2,905,50486
Belgium,2002,Flood,0,2400,0
Belgium,2002,Storm,5,0,5000
Belgium,2003,Extreme temperature,1175,0,0
Belgium,2003,Flood,0,0,0
Belgium,2005,Extreme temperature,2,0,0
Belgium,2005,Flood,0,210,0
Belgium,2006,Extreme temperature,940,0,0
Belgium,2007,Storm,2,2,450000
Belgium,2008,Storm,0,0,0
Belgium,2009,Extreme temperature,1,0,0
Belgium,2010,Flood,3,690,238146
Belgium,2010,Storm,1,0,160000
Belgium,2011,Storm,5,71,99000
Belgium,2012,Extreme temperature,3,0,0
Belgium,2013,Storm,0,0,0
Belgium,2014,Storm,0,0,0
Belgium,2015,Extreme temperature,410,0,0
Belgium,2016,Flood,1,0,0
Belgium,2016,Storm,1,0,0
Belgium,2018,Extreme temperature,0,0,0
Belgium,2018,Storm,1,0,0
Belgium,2019,Extreme temperature,716,0,0
Belgium,2020,Extreme temperature,1687,0,0
Belgium,2020,Storm,0,0,0
Belgium,2021,Flood,39,101950,2000000
Belgium,2021,Storm,0,0,0
Belgium,2022,Extreme temperature,434,0,0
Belgium,2022,Storm,2,0,0
Belgium,2023,Extreme temperature,324,0,0
Belgium,2023,Flood,0,3000,0
Belgium,2023,Storm,2,0,0
Belize,1990,Extreme temperature,0,0,2250
Belize,1990,Flood,0,0,2200
Belize,1995,Flood,0,2600,500
Belize,1998,Storm,9,60000,50
Belize,2000,Storm,14,62570,277460
Belize,2001,Storm,30,20000,250000
Belize,2005,Storm,3,0,0
Belize,2007,Storm,0,20000,14847
Belize,2008,Flood,1,38000,9697
Belize,2008,Storm,7,10000,0
Belize,2010,Storm,0,0,0
Belize,2015,Flood,0,20000,0
Belize,2016,Storm,0,10355,0
Belize,2020,Storm,0,60000,0
Belize,2022,Storm,0,172150,100000
Belize,2024,Storm,0,162,0
Belize,2024,Wildfire,0,800,0
Bermuda,2003,Storm,4,0,300000
Bolivia (Plurinational State of),1990,Drought,0,283160,0
Bolivia (Plurinational State of),1992,Flood,4,40050,200000
Bolivia (Plurinational State of),1994,Drought,0,50000,0
Bolivia (Plurinational State of),1997,Flood,56,190000,70000
Bolivia (Plurinational State of),1999,Flood,0,1600,0
Bolivia (Plurinational State of),1999,Wildfire,3,6300,0
Bolivia (Plurinational State of),2000,Drought,0,20000,0
Bolivia (Plurinational State of),2000,Extreme temperature,6,25277,0
Bolivia (Plurinational State of),2000,Flood,30,7010,0
Bolivia (Plurinational State of),2001,Flood,41,357250,121000
Bolivia (Plurinational State of),2002,Flood,76,5146,100000
Bolivia (Plurinational State of),2002,Storm,20,12085,0
Bolivia (Plurinational State of),2003,Flood,74,57529,1000
Bolivia (Plurinational State of),2004,Drought,0,55000,0
Bolivia (Plurinational State of),2005,Wildfire,0,3000,0
Bolivia (Plurinational State of),2006,Flood,25,126600,35000
Bolivia (Plurinational State of),2007,Extreme temperature,0,0,0
Bolivia (Plurinational State of),2007,Flood,115,824519,590000
Bolivia (Plurinational State of),2008,Drought,0,27500,0
Bolivia (Plurinational State of),2008,Storm,0,6655,0
Bolivia (Plurinational State of),2009,Flood,0,63000,0
Bolivia (Plurinational State of),2010,Drought,0,62500,100000
Bolivia (Plurinational State of),2010,Extreme temperature,4,0,0
Bolivia (Plurinational State of),2010,Flood,26,227860,0
Bolivia (Plurinational State of),2010,Wildfire,0,300,0
Bolivia (Plurinational State of),2011,Flood,52,88825,20000
Bolivia (Plurinational State of),2012,Flood,13,69085,0
Bolivia (Plurinational State of),2013,Drought,0,340355,0
Bolivia (Plurinational State of),2013,Extreme temperature,18,17490,0
Bolivia (Plurinational State of),2013,Flood,99,483995,2500
Bolivia (Plurinational State of),2014,Drought,0,51180,0
Bolivia (Plurinational State of),2014,Flood,38,185120,0
Bolivia (Plurinational State of),2015,Flood,25,96890,0
Bolivia (Plurinational State of),2016,Drought,0,665000,450000
Bolivia (Plurinational State of),2016,Flood,4,5420,0
Bolivia (Plurinational State of),2018,Flood,6,12186,0
Bolivia (Plurinational State of),2019,Flood,60,349540,0
Bolivia (Plurinational State of),2019,Wildfire,0,36000,0
Bolivia (Plurinational State of),2020,Flood,26,37611,10000
Bolivia (Plurinational State of),2020,Wildfire,5,126000,0
Bolivia (Plurinational State of),2021,Flood,50,303597,0
Bolivia (Plurinational State of),2022,Flood,60,375000,0
Bolivia (Plurinational State of),2023,Drought,10,2050000,0
Bolivia (Plurinational State of),2023,Flood,22,208970,0
Bolivia (Plurinational State of),2023,Wildfire,12,0,0
Bolivia (Plurinational State of),2024,Flood,4,7022,0
Bolivia (Plurinational State of),2024,Wildfire,2,25335,100000
Bolivia (Plurinational State of),2025,Flood,63,2965115,0
Bosnia and Herzegovina,1999,Storm,0,1090,0
Bosnia and Herzegovina,2000,Drought,0,0,158000
Bosnia and Herzegovina,2001,Flood,0,9000,0
Bosnia and Herzegovina,2003,Drought,0,62575,140000
Bosnia and Herzegovina,2004,Flood,0,278000,0
Bosnia and Herzegovina,2005,Flood,0,3100,0
