GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Main_Category,Sub_Category,Detail_Category,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Year
Total national emissions and removals,Total national emissions and removals,Total,Total national emissions and removals,483427.42299713567,2534.4961957293176,74.53535876362096,12755.156837064387,221.6587985790211,0.02296657471597,2012
1. Energy,Total national emissions and removals,Energy,1. Energy,461163.45841021993,387.27673648618486,8.73975552220548,,,,2012
A. Fuel combustion     Reference approach(2),Total national emissions and removals,Energy,A. Fuel combustion     Reference approach(2),455519.64451266447,,,,,,2012
                                           Sectoral approach(2),Total national emissions and removals,Energy,                                           Sectoral approach(2),457517.23649674724,42.51483326156317,8.61533730580747,,,,2012
1.  Energy industries,Total national emissions and removals,Energy,1.  Energy industries,190186.3947477462,11.36750035785335,3.85092446074228,,,,2012
2.  Manufacturing industries and construction                          ,Total national emissions and removals,Energy,2.  Manufacturing industries and construction                          ,45766.26868849832,2.67373304505877,0.63476554713176,,,,2012
3.  Transport,Total national emissions and removals,Energy,3.  Transport,118354.78431875905,5.93819760166755,3.36950556666602,,,,2012
4.  Other sectors,Total national emissions and removals,Energy,4.  Other sectors,100684.41092495568,22.46903263745879,0.66932938738466,,,,2012
5.  Other,Total national emissions and removals,Energy,5.  Other,2525.377816787965,0.06636961952471,0.09081234388275,,,,2012
B. Fugitive emissions from fuels,Total national emissions and removals,Energy,B. Fugitive emissions from fuels,3646.22191347272,344.7619032246217,0.12441821639801,,,,2012
1.  Solid fuels,Total national emissions and removals,Energy,1.  Solid fuels,148.5674821145479,98.67282527208584,6.208812e-05,,,,2012
2.  Oil and natural gas and other emissions from energy production,Total national emissions and removals,Energy,2.  Oil and natural gas and other emissions from energy production,3497.6544313581726,246.08907795253586,0.12435612827801,,,,2012
2.  Industrial processes and product use,Total national emissions and removals,Industrial processes and product use,2.  Industrial processes and product use,26116.603569590832,4.91829957262431,3.11127749500914,12755.156837064387,221.6587985790211,0.02296657471597,2012
A.  Mineral industry,Total national emissions and removals,Industrial processes and product use,A.  Mineral industry,6209.5550506884365,,,,,,2012
B.  Chemical industry,Total national emissions and removals,Industrial processes and product use,B.  Chemical industry,5396.259269062465,4.06051537408427,0.13023337593456,47.424986,105.74556449448077,,2012
C.  Metal industry,Total national emissions and removals,Industrial processes and product use,C.  Metal industry,13732.711038249041,0.69703249891659,0.03694836233166,2.11718,14.76121039060641,0.005526682,2012
D.  Non-energy products from fuels and solvent use ,Total national emissions and removals,Industrial processes and product use,D.  Non-energy products from fuels and solvent use ,778.0782115908895,,,,,,2012
E.  Electronic industry ,Total national emissions and removals,Industrial processes and product use,E.  Electronic industry ,,,,25.66959325427446,,,2012
F.  Product uses as substitutes for ODS,Total national emissions and removals,Industrial processes and product use,F.  Product uses as substitutes for ODS,,,,12679.945077810113,,,2012
G.  Other product manufacture and use ,Total national emissions and removals,Industrial processes and product use,G.  Other product manufacture and use ,,,2.94409575674292,,101.1520236939339,0.01743989271597,2012
H.  Other(3),Total national emissions and removals,Industrial processes and product use,H.  Other(3),,0.16075169962345,,,,,2012
