Main_Category,Sub_Category,Detail_Category,Year,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt)
Total national emissions and removals,Energy,                                           Sectoral approach(2),1990,550928.4105227769,129.65778749682246,12.17622975551653,0.0,0.0,0.0
Total national emissions and removals,Energy,                                           Sectoral approach(2),1991,561364.4952109663,134.666319636846,12.10733110536919,0.0,0.0,0.0
Total national emissions and removals,Energy,                                           Sectoral approach(2),1992,546476.2099848527,127.43002771434573,11.91851692422838,0.0,0.0,0.0
Total national emissions and removals,Energy,                                           Sectoral approach(2),1993,532911.0132782923,130.22307370108547,11.77998993307841,0.0,0.0,0.0
Total national emissions and removals,Energy,                                           Sectoral approach(2),1994,523985.2463865404,118.02012472754406,12.00104479428206,0.0,0.0,0.0
Total national emissions and removals,Energy,                                           Sectoral approach(2),1995,514573.0265494808,102.20755664106863,12.32081999447919,0.0,0.0,0.0
Total national emissions and removals,Energy,                                           Sectoral approach(2),1996,533006.9536396476,102.83639204279996,11.83076103718221,0.0,0.0,0.0
Total national emissions and removals,Energy,                                           Sectoral approach(2),1997,512762.0801841535,94.95757559392808,11.45184257055266,0.0,0.0,0.0
Total national emissions and removals,Energy,                                           Sectoral approach(2),1998,520290.2039318028,87.08299921922809,11.52374723105924,0.0,0.0,0.0
Total national emissions and removals,Energy,                                           Sectoral approach(2),1999,513572.28588555823,89.40190912354566,11.30967318448843,0.0,0.0,0.0
Total national emissions and removals,Energy,                                           Sectoral approach(2),2000,523821.6738933293,80.76434465991672,11.27668139945518,0.0,0.0,0.0
Total national emissions and removals,Energy,                                           Sectoral approach(2),2001,536061.290783983,78.14906191008632,11.28143581812671,0.0,0.0,0.0
Total national emissions and removals,Energy,                                           Sectoral approach(2),2002,521682.63134939066,69.76018624749861,11.05979313374212,0.0,0.0,0.0
Total national emissions and removals,Energy,                                           Sectoral approach(2),2003,529926.5187706075,64.1498736107826,10.72326136474208,0.0,0.0,0.0
Total national emissions and removals,Energy,                                           Sectoral approach(2),2004,530255.8261122069,61.24799655714571,10.41824552321753,0.0,0.0,0.0
Total national emissions and removals,Energy,                                           Sectoral approach(2),2005,527767.0914892529,56.34581935137691,10.19032271811935,0.0,0.0,0.0
Total national emissions and removals,Energy,                                           Sectoral approach(2),2006,525926.5192912907,52.55840057039441,10.00256935384755,0.0,0.0,0.0
Total national emissions and removals,Energy,                                           Sectoral approach(2),2007,516047.9367646219,50.44401124870181,9.56666663501946,0.0,0.0,0.0
Total national emissions and removals,Energy,                                           Sectoral approach(2),2008,504941.24222497584,48.98384143453398,8.67373701519076,0.0,0.0,0.0
Total national emissions and removals,Energy,                                           Sectoral approach(2),2009,462679.9779429886,45.26990689308907,7.98086942824888,0.0,0.0,0.0
Total national emissions and removals,Energy,                                           Sectoral approach(2),2010,480667.9110033992,47.78543735373182,8.15284627161509,0.0,0.0,0.0
Total national emissions and removals,Energy,                                           Sectoral approach(2),2011,440283.7441703337,42.68038438296056,7.99133115019888,0.0,0.0,0.0
Total national emissions and removals,Energy,                                           Sectoral approach(2),2012,457517.2364967472,42.51483326156317,8.61533730580747,0.0,0.0,0.0
Total national emissions and removals,Energy,                                           Sectoral approach(2),2013,442915.844922511,43.58338491914937,8.53298281723013,0.0,0.0,0.0
Total national emissions and removals,Energy,                                           Sectoral approach(2),2014,403731.5212671639,42.22807230475005,8.29355489061916,0.0,0.0,0.0
Total national emissions and removals,Energy,                                           Sectoral approach(2),2015,389238.55229575833,44.18927413111785,8.36858189811008,0.0,0.0,0.0
Total national emissions and removals,Energy,                                           Sectoral approach(2),2016,371398.3620202012,45.41513734105338,7.8560690064118,0.0,0.0,0.0
Total national emissions and removals,Energy,                                           Sectoral approach(2),2017,359516.08629979065,46.58597955355199,7.81948863097603,0.0,0.0,0.0
Total national emissions and removals,Energy,                                           Sectoral approach(2),2018,352910.0224437842,48.35635016877593,7.93689969695842,0.0,0.0,0.0
Total national emissions and removals,Energy,                                           Sectoral approach(2),2019,339123.0573215368,48.03738405558216,7.82749956491882,0.0,0.0,0.0
Total national emissions and removals,Energy,                                           Sectoral approach(2),2020,300902.1605221364,47.06393120508916,7.16304041582231,0.0,0.0,0.0
Total national emissions and removals,Energy,                                           Sectoral approach(2),2021,323625.13247982407,49.68947872920541,7.49509616691025,0.0,0.0,0.0
Total national emissions and removals,Energy,1.  Energy industries,1990,238059.4909129977,9.327512466602,4.82163094417675,0.0,0.0,0.0
Total national emissions and removals,Energy,1.  Energy industries,1991,235358.6178685517,9.29721397493072,4.77340798677118,0.0,0.0,0.0
Total national emissions and removals,Energy,1.  Energy industries,1992,224541.4516384572,9.50191435455435,4.61697502670495,0.0,0.0,0.0
Total national emissions and removals,Energy,1.  Energy industries,1993,208802.333708318,9.9220225132317,4.17113417539241,0.0,0.0,0.0
Total national emissions and removals,Energy,1.  Energy industries,1994,204502.41875183815,10.0590967352788,4.0557706928745,0.0,0.0,0.0
Total national emissions and removals,Energy,1.  Energy industries,1995,202492.538259512,10.48807616788907,3.99012748283123,0.0,0.0,0.0
Total national emissions and removals,Energy,1.  Energy industries,1996,203508.5831342296,10.77519935349093,3.83759385921644,0.0,0.0,0.0
Total national emissions and removals,Energy,1.  Energy industries,1997,192672.44681702656,11.08981596365534,3.60322685900582,0.0,0.0,0.0
Total national emissions and removals,Energy,1.  Energy industries,1998,198442.55957229747,7.95711931621795,3.78773511294522,0.0,0.0,0.0
Total national emissions and removals,Energy,1.  Energy industries,1999,188957.708937961,12.19062134217741,3.55134318842492,0.0,0.0,0.0
Total national emissions and removals,Energy,1.  Energy industries,2000,199771.1788528182,12.50142542732767,3.75241055947662,0.0,0.0,0.0
Total national emissions and removals,Energy,1.  Energy industries,2001,210642.63708632067,13.96597743033287,4.04922069542563,0.0,0.0,0.0
Total national emissions and removals,Energy,1.  Energy industries,2002,207587.6966933281,13.60747424925809,4.05969146991157,0.0,0.0,0.0
Total national emissions and removals,Energy,1.  Energy industries,2003,215329.6357197356,13.51090362555113,4.06804755845403,0.0,0.0,0.0
Total national emissions and removals,Energy,1.  Energy industries,2004,213547.9715601416,13.66764653347398,3.94483157846815,0.0,0.0,0.0
Total national emissions and removals,Energy,1.  Energy industries,2005,213862.0940717673,13.82099701742705,4.04662244990484,0.0,0.0,0.0
Total national emissions and removals,Energy,1.  Energy industries,2006,219820.61498148125,12.15343723647459,4.1333343351548,0.0,0.0,0.0
Total national emissions and removals,Energy,1.  Energy industries,2007,214775.86753509185,12.51559861068633,3.88160017301821,0.0,0.0,0.0
Total national emissions and removals,Energy,1.  Energy industries,2008,209213.45736635383,12.92580839859645,3.72113131080515,0.0,0.0,0.0
Total national emissions and removals,Energy,1.  Energy industries,2009,186028.3485871944,12.99551347075694,3.34769160419674,0.0,0.0,0.0
Total national emissions and removals,Energy,1.  Energy industries,2010,193378.97106549604,13.15473301817238,3.42655646983758,0.0,0.0,0.0
Total national emissions and removals,Energy,1.  Energy industries,2011,179177.2255325907,11.83909440434053,3.31635574553128,0.0,0.0,0.0
Total national emissions and removals,Energy,1.  Energy industries,2012,190186.3947477462,11.36750035785335,3.85092446074228,0.0,0.0,0.0
Total national emissions and removals,Energy,1.  Energy industries,2013,177979.29632870684,11.29309732598529,3.72360344359576,0.0,0.0,0.0
Total national emissions and removals,Energy,1.  Energy industries,2014,153340.51231150192,12.85110833519513,3.34189239888672,0.0,0.0,0.0
Total national emissions and removals,Energy,1.  Energy industries,2015,133730.07392915373,13.35231848898785,3.21683359354823,0.0,0.0,0.0
Total national emissions and removals,Energy,1.  Energy industries,2016,111623.03405732426,14.12576858989607,2.54743046966084,0.0,0.0,0.0
Total national emissions and removals,Energy,1.  Energy industries,2017,101461.66956031077,14.76759465379579,2.38737393530542,0.0,0.0,0.0
Total national emissions and removals,Energy,1.  Energy industries,2018,94216.7936605546,15.23052962185879,2.42493181100187,0.0,0.0,0.0
Total national emissions and removals,Energy,1.  Energy industries,2019,86446.96075571397,15.62069573098977,2.41044881847036,0.0,0.0,0.0
Total national emissions and removals,Energy,1.  Energy industries,2020,75904.16399210814,15.17225079718563,2.34714632842529,0.0,0.0,0.0
Total national emissions and removals,Energy,1.  Energy industries,2021,79042.08224085718,15.4822701484673,2.28642061468003,0.0,0.0,0.0
Total national emissions and removals,Energy,1.  Solid fuels,1990,1698.561494434334,873.0742929216586,0.000302616,0.0,0.0,0.0
