Main_Category,Year,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt)
Total national emissions and removals,1990,2913617.161903549,9902.786292031527,368.5396784054164,36205.37240241315,4450.983926489229,0.15865891720241998
Total national emissions and removals,1991,2960560.4498044,9995.092792693282,369.96668501066455,37748.47718448142,3729.16002894836,0.16637105023512
Total national emissions and removals,1992,2887626.886668407,9932.561069433894,323.40929738083554,39307.668610411565,1852.92165494369,0.17482562017463998
Total national emissions and removals,1993,2814070.9306288986,9642.286167160173,283.2007725720639,41294.05718462483,1616.1025394284611,0.15295050255005999
Total national emissions and removals,1994,2779574.307850152,8467.609232357068,286.0561204217486,43611.90908348089,1639.2278398996575,0.15882506086449
Total national emissions and removals,1995,2738607.983663641,8633.047862855472,272.3239467378295,46858.960272499404,1599.818747916665,0.16479150032187
Total national emissions and removals,1996,2834925.5808863454,8416.972373518567,270.42178001945,49288.31508092012,1595.8107035112957,0.17084521783829998
Total national emissions and removals,1997,2721357.439839241,8061.052145472026,271.46527558680674,55068.32401405655,1340.8238207447457,0.1674465988245
Total national emissions and removals,1998,2753145.3425349738,7634.388352752043,273.5213411720109,46121.46867922319,1305.9364257502218,0.17369131526196002
Total national emissions and removals,1999,2719284.3859548606,7090.624504314519,176.8748406026117,25577.201167887142,1237.0314169976373,0.19576950858069
Total national emissions and removals,2000,2764982.2610470075,6647.877649653074,175.80302248845925,20892.999307080663,1555.9683228801105,0.23769258423545997
Total national emissions and removals,2001,2810907.1437607524,6312.363617984138,166.2629560191821,22916.46823879719,1296.5240462450136,0.18839361828078
Total national emissions and removals,2002,2728101.7836173153,6114.592492051627,149.26433043543327,24063.988853984407,1096.445479284483,0.19310724186621
Total national emissions and removals,2003,2776036.731396332,5728.033251513951,145.16273352961895,26393.092425640774,963.8868288855963,0.1697754716898
Total national emissions and removals,2004,2783222.2987176757,5500.436674333742,152.1345681225383,23753.15632942107,1221.245851893969,0.14251189566291
Total national emissions and removals,2005,2771908.6812790036,5104.568446709227,143.4537804123366,26031.52457893244,1098.4151485326315,0.13440189206733
Total national emissions and removals,2006,2759615.636558354,4833.445535596895,135.44393331700047,28565.91892421773,1086.1193891374096,0.11147103084654
Total national emissions and removals,2007,2712464.843787782,4618.458407298072,137.10124453806395,29894.948295671184,794.8029731884147,0.10601368586421
Total national emissions and removals,2008,2646072.6789752264,4329.202507666124,131.06371982666056,31190.754842899685,714.4669989400363,0.08555745004043999
Total national emissions and removals,2009,2406680.148192664,4135.615361401988,114.32669272120661,32762.72496913697,522.6680022664137,0.07331207257809
Total national emissions and removals,2010,2495492.994231381,3928.705560953497,117.14868178256856,34509.98534665904,771.3020939865901,0.08662150797003
Total national emissions and removals,2011,2283623.748823462,3772.944769916151,107.85251211336745,36404.64778423561,1129.118550448987,0.07222865769408
Total national emissions and removals,2012,2374670.6498796414,3706.1630043331206,106.97718032025568,38265.47051119316,664.9763957370633,0.06889972414791
Total national emissions and removals,2013,2318514.0847057654,3399.7961576725133,106.33357582508559,39530.680954646275,822.5284567528422,0.060580246127340004
Total national emissions and removals,2014,2121594.171684864,3267.270830423302,107.70784740875007,40029.47926417107,657.6341253412968,0.05594553473325
Total national emissions and removals,2015,2047027.3508904495,3174.4946612157196,106.98863556986052,40047.8715000362,771.6694863961111,0.053349491370960005
Total national emissions and removals,2016,1940955.9078647327,2986.3467041469926,103.78215924073213,40079.17837841333,801.6953484705501,0.05723255383653
Total national emissions and removals,2017,1879882.7132752459,2991.2012002445376,105.2466188991415,39803.57970972426,1160.7527086873004,0.05792885432127
Total national emissions and removals,2018,1843144.5132536045,2972.493868471036,104.76778263909125,38851.65014431234,404.83191372483316,0.0708496502205
Total national emissions and removals,2019,1773560.6622213735,2932.542265746952,105.03797993786047,36999.43793692403,602.5745297027961,0.06257358014664
Total national emissions and removals,2020,1575564.6944166638,2786.6848823724,97.94414789616867,34576.39138571026,453.40547200227195,0.05365107075654
Total national emissions and removals,2021,1685460.624399507,2746.153351818232,100.46795462908692,32459.13086146078,578.6327452948042,0.05384904491907
