Main_Category,Sub_Category,Year,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt)
Total national emissions and removals,Energy,1990,2219894.7605096255,4490.614500333605,36.97946585373687,0.0,0.0,0.0
Total national emissions and removals,Energy,1991,2264693.8056079843,4552.743210420626,36.75914824846545,0.0,0.0,0.0
Total national emissions and removals,Energy,1992,2209779.0219203173,4496.019966776678,36.19790393210346,0.0,0.0,0.0
Total national emissions and removals,Energy,1993,2151569.711727268,4264.347038601774,35.80455798432363,0.0,0.0,0.0
Total national emissions and removals,Energy,1994,2118796.2562536905,3362.228698602224,36.58057665014163,0.0,0.0,0.0
Total national emissions and removals,Energy,1995,2084279.1082199053,3464.8840616443485,37.57329297060234,0.0,0.0,0.0
Total national emissions and removals,Energy,1996,2157484.0670508626,3277.440428101416,36.11783044952712,0.0,0.0,0.0
Total national emissions and removals,Energy,1997,2070394.1304111748,3022.63081238815,34.91197815776157,0.0,0.0,0.0
Total national emissions and removals,Energy,1998,2102448.544701122,2737.6235565704183,35.1391347220644,0.0,0.0,0.0
Total national emissions and removals,Energy,1999,2074656.164126698,2421.3052187689177,34.39248587496036,0.0,0.0,0.0
Total national emissions and removals,Energy,2000,2118125.0477274433,2195.4605805542983,34.32212633162706,0.0,0.0,0.0
Total national emissions and removals,Energy,2001,2161487.052138638,2036.3418389678013,34.33576127977443,0.0,0.0,0.0
Total national emissions and removals,Energy,2002,2102173.0624840767,1933.4710868686102,33.62873876061846,0.0,0.0,0.0
Total national emissions and removals,Energy,2003,2133522.18556592,1741.2450864672187,32.54892863127096,0.0,0.0,0.0
Total national emissions and removals,Energy,2004,2136462.6027001753,1695.7767562715953,31.64614678390011,0.0,0.0,0.0
Total national emissions and removals,Energy,2005,2131101.9403526746,1476.9359277392896,31.013541543253023,0.0,0.0,0.0
Total national emissions and removals,Energy,2006,2120870.6434523645,1374.5214809661006,30.39525215796843,0.0,0.0,0.0
Total national emissions and removals,Energy,2007,2079545.1967254286,1311.5475059834016,29.11312752066327,0.0,0.0,0.0
Total national emissions and removals,Energy,2008,2033809.4105086464,1256.1421682329724,26.38778706434313,0.0,0.0,0.0
Total national emissions and removals,Energy,2009,1863039.8660972381,1235.4090850514783,24.327972423584008,0.0,0.0,0.0
Total national emissions and removals,Energy,2010,1933797.3912715642,1214.0456027111536,24.8458167687234,0.0,0.0,0.0
Total national emissions and removals,Energy,2011,1768449.928650555,1165.0950248281779,24.4636306396605,0.0,0.0,0.0
Total national emissions and removals,Energy,2012,1839010.0197433243,1161.8302094585545,26.21926656661644,0.0,0.0,0.0
Total national emissions and removals,Energy,2013,1784497.9490348382,1022.5799425069174,25.95340787368773,0.0,0.0,0.0
Total national emissions and removals,Energy,2014,1627224.8525231986,969.8753634018626,25.23399745040403,0.0,0.0,0.0
Total national emissions and removals,Energy,2015,1572709.2491951492,918.9258582108564,25.46418477810492,0.0,0.0,0.0
Total national emissions and removals,Energy,2016,1500145.463808285,802.7052446460006,23.93826905101596,0.0,0.0,0.0
Total national emissions and removals,Energy,2017,1451501.5022360312,794.7610539952395,23.8323261373671,0.0,0.0,0.0
Total national emissions and removals,Energy,2018,1424875.2653854734,793.866292451965,24.1867626420039,0.0,0.0,0.0
Total national emissions and removals,Energy,2019,1368269.6652806147,767.8643195605428,23.85467480190549,0.0,0.0,0.0
Total national emissions and removals,Energy,2020,1211811.3147343867,710.2534333603851,21.8000775058845,0.0,0.0,0.0
Total national emissions and removals,Energy,2021,1302606.0517106962,690.8056604103857,22.73698536759576,0.0,0.0,0.0
Total national emissions and removals,Industrial processes and product use,1990,86385.139190098,23.35626377199654,163.8803406373181,24136.914934942102,2967.322617659486,0.10577261146828
Total national emissions and removals,Industrial processes and product use,1991,81503.4238116683,22.7232196073863,165.01306444497038,25165.651456320946,2486.1066859655734,0.11091403349008
Total national emissions and removals,Industrial processes and product use,1992,79925.75514269366,23.76774082899516,135.77550033922148,26205.112406941043,1235.2811032957934,0.11655041344976
Total national emissions and removals,Industrial processes and product use,1993,79116.1604554197,22.64811908683324,110.36382462354516,27529.371456416553,1077.4016929523075,0.10196700170004
Total national emissions and removals,Industrial processes and product use,1994,83775.88951517506,23.38098618946582,110.23057202019623,29074.606055653927,1092.818559933105,0.10588337390966
Total national emissions and removals,Industrial processes and product use,1995,85162.49792795218,19.35560358228548,100.08810654625977,31239.306848332933,1066.5458319444433,0.10986100021458
Total national emissions and removals,Industrial processes and product use,1996,88612.09419720634,21.51052719216546,99.39639188868166,32858.876720613414,1063.873802340864,0.1138968118922
Total national emissions and removals,Industrial processes and product use,1997,86179.86836850065,18.87979018503114,100.6014962252812,36712.216009371026,893.8825471631638,0.11163106588300001
Total national emissions and removals,Industrial processes and product use,1998,81329.64862502083,14.89121847708352,102.43658229400656,30747.64578614879,870.6242838334813,0.11579421017464
Total national emissions and removals,Industrial processes and product use,1999,82611.31839848286,13.06131554491048,38.6797428133722,17051.467445258095,824.6876113317581,0.13051300572045998
Total national emissions and removals,Industrial processes and product use,2000,77192.69443092386,12.1164186578827,39.94169570679268,13928.666204720443,1037.312215253407,0.15846172282364
Total national emissions and removals,Industrial processes and product use,2001,71237.04671804365,11.79136170541012,35.26815002791142,15277.645492531461,864.3493641633424,0.12559574552052
Total national emissions and removals,Industrial processes and product use,2002,65976.91515193513,12.04576732466576,24.53205986988152,16042.659235989606,730.963652856322,0.12873816124414
Total national emissions and removals,Industrial processes and product use,2003,71947.16244110801,13.55544568467968,22.98544775800714,17595.394950427184,642.5912192570642,0.1131836477932
Total national emissions and removals,Industrial processes and product use,2004,74811.19521664534,12.41009406765614,29.12653247679048,15835.437552947378,814.163901262646,0.09500793044194
Total national emissions and removals,Industrial processes and product use,2005,72365.65857797477,10.74660423089574,24.64131242463648,17354.349719288293,732.2767656884209,0.08960126137822
Total national emissions and removals,Industrial processes and product use,2006,73074.9531386443,10.89336227375474,20.90955306700668,19043.945949478486,724.0795927582731,0.07431402056436
Total national emissions and removals,Industrial processes and product use,2007,75795.0939636704,11.6105537749536,23.803481408386162,19929.965530447458,529.8686487922765,0.07067579057614
Total national emissions and removals,Industrial processes and product use,2008,70491.08535565442,9.05547040174136,22.57373943001496,20793.836561933123,476.31133262669084,0.057038300026960004
Total national emissions and removals,Industrial processes and product use,2009,52865.62445904096,9.7242619504422,13.24848523317158,21841.816646091313,348.4453348442758,0.04887471505206
Total national emissions and removals,Industrial processes and product use,2010,53106.930081258775,10.05933013031192,14.09473588750262,23006.656897772693,514.20139599106,0.05774767198002
Total national emissions and removals,Industrial processes and product use,2011,49633.27447111586,9.0800300941535,7.8783657082008,24269.765189490405,752.7457002993247,0.04815243846272
Total national emissions and removals,Industrial processes and product use,2012,52233.207139181664,9.83659914524862,6.2225549900182795,25510.313674128774,443.3175971580422,0.04593314943194
