GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Main_Category,Sub_Category,Detail_Category,CO2 (kt),CH4,N2O,Year
3.  Agriculture,Total national emissions and removals,Agriculture,3.  Agriculture,1312.915065421947,1172.9264618307725,62.92123886438919,1990
A.  Enteric fermentation,Total national emissions and removals,Agriculture,A.  Enteric fermentation,,988.5792854152404,,1990
B.  Manure management,Total national emissions and removals,Agriculture,B.  Manure management,,165.93408129716465,11.46756402078032,1990
D.  Agricultural soils,Total national emissions and removals,Agriculture,D.  Agricultural soils,,,50.67324186235371,1990
F.  Field burning of agricultural residues,Total national emissions and removals,Agriculture,F.  Field burning of agricultural residues,,7.46282683056716,0.1934806956073,1990
G. Liming,Total national emissions and removals,Agriculture,G. Liming,1016.4167639794516,,,1990
H. Urea application,Total national emissions and removals,Agriculture,H. Urea application,292.9543696691042,,,1990
J.  Other ,Total national emissions and removals,Agriculture,J.  Other ,3.54393177339109,10.9502682878003,0.58695228564786,1990
"4.  Land use, land-use change and forestry  (4)",Total national emissions and removals,"Land use, land-use change and forestry","4.  Land use, land-use change and forestry  (4)",3671.103523583243,198.97047038452743,7.20830433478355,1990
A. Forest land (4),Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),-13940.1560393277,3.55322414450354,1.65640375353389,1990
B. Cropland (4),Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),14230.876954181367,11.87016846889981,2.46509349029626,1990
C. Grassland (4),Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),-618.7529639992829,100.25169886799864,0.08677754963568,1990
D. Wetlands (4),Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),668.771306501126,82.6157463124651,0.07130350057994,1990
E. Settlements (4),Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),5426.53467899998,0.14650627053711,1.47876170366521,1990
G. Harvested wood products ,Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,-2096.170412772249,,,1990
