Main_Category,Sub_Category,Detail_Category,Year,CO2 (kt),CH4,N2O
Total national emissions and removals,Agriculture,3.  Agriculture,1990,1312.915065421947,1172.9264618307725,62.92123886438919
Total national emissions and removals,Agriculture,3.  Agriculture,1991,1389.6220400746072,1157.9974090478331,62.97354595791011
Total national emissions and removals,Agriculture,3.  Agriculture,1992,1256.3574723310055,1164.6136234693122,60.95224997161547
Total national emissions and removals,Agriculture,3.  Agriculture,1993,1109.19082472245,1162.470598135969,59.41626776781218
Total national emissions and removals,Agriculture,3.  Agriculture,1994,1112.3078198511855,1167.9954749871033,61.46111013501815
Total national emissions and removals,Agriculture,3.  Agriculture,1995,1093.2274909132848,1159.731679920137,61.58462754924615
Total national emissions and removals,Agriculture,3.  Agriculture,1996,1195.2641083318638,1181.5527555243875,62.65555277955896
Total national emissions and removals,Agriculture,3.  Agriculture,1997,1053.4498246604091,1173.2121091677154,63.49466448610236
Total national emissions and removals,Agriculture,3.  Agriculture,1998,986.7518717568744,1176.7034605179344,62.4856611440181
Total national emissions and removals,Agriculture,3.  Agriculture,1999,930.6023778262796,1171.087387353348,62.59854726931179
Total national emissions and removals,Agriculture,3.  Agriculture,2000,972.7244192167444,1135.33124877077,59.65839795831264
Total national emissions and removals,Agriculture,3.  Agriculture,2001,859.0096490498295,1078.7614625925924,57.26894493295221
Total national emissions and removals,Agriculture,3.  Agriculture,2002,769.2899208997696,1062.227579334536,57.35390208837542
Total national emissions and removals,Agriculture,3.  Agriculture,2003,970.5066717575482,1071.8206195569012,57.01620295481747
Total national emissions and removals,Agriculture,3.  Agriculture,2004,1330.4750018476766,1080.553933060078,56.12853997679075
Total national emissions and removals,Agriculture,3.  Agriculture,2005,1570.3225281620612,1081.377448128633,54.98736285553965
Total national emissions and removals,Agriculture,3.  Agriculture,2006,1584.551941609845,1059.3909122473638,53.43397274775167
Total national emissions and removals,Agriculture,3.  Agriculture,2007,1641.5733894450811,1052.549387921461,52.35699196873851
Total national emissions and removals,Agriculture,3.  Agriculture,2008,1552.7881232073594,1018.5164470870818,52.01305490264079
Total national emissions and removals,Agriculture,3.  Agriculture,2009,1594.4578822683177,1007.3191464729612,51.90453462649174
Total national emissions and removals,Agriculture,3.  Agriculture,2010,1530.1272732510508,1014.543723219802,52.48933596760251
Total national emissions and removals,Agriculture,3.  Agriculture,2011,1524.6231849114934,1007.6579157649488,52.86489253227618
Total national emissions and removals,Agriculture,3.  Agriculture,2012,1477.2971914016146,1003.993444518914,52.23437363631907
Total national emissions and removals,Agriculture,3.  Agriculture,2013,1314.314325086414,998.5226480504374,52.43425499274342
Total national emissions and removals,Agriculture,3.  Agriculture,2014,1389.3216594969206,1024.8421386637713,54.44763678172502
Total national emissions and removals,Agriculture,3.  Agriculture,2015,1372.4774077292757,1028.9387221170784,53.77081590765029
Total national emissions and removals,Agriculture,3.  Agriculture,2016,1376.6359638182955,1025.053428581092,52.45198444163456
Total national emissions and removals,Agriculture,3.  Agriculture,2017,1275.1150913195302,1028.7537209867917,53.6190739646571
Total national emissions and removals,Agriculture,3.  Agriculture,2018,1295.670181533386,1009.1230885337584,52.9172088532176
Total national emissions and removals,Agriculture,3.  Agriculture,2019,1444.8920360909,1010.626562827588,53.22703479089266
Total national emissions and removals,Agriculture,3.  Agriculture,2020,1353.8623662367504,997.1828805333968,49.97617790549848
Total national emissions and removals,Agriculture,3.  Agriculture,2021,1430.5189780129394,1002.255584348215,51.3086575989282
Total national emissions and removals,Agriculture,A.  Enteric fermentation,1990,0.0,988.5792854152404,0.0
Total national emissions and removals,Agriculture,A.  Enteric fermentation,1991,0.0,975.9177750286402,0.0
Total national emissions and removals,Agriculture,A.  Enteric fermentation,1992,0.0,983.2337326332708,0.0
Total national emissions and removals,Agriculture,A.  Enteric fermentation,1993,0.0,984.1454650977182,0.0
Total national emissions and removals,Agriculture,A.  Enteric fermentation,1994,0.0,986.8828240738336,0.0
Total national emissions and removals,Agriculture,A.  Enteric fermentation,1995,0.0,980.3848737068556,0.0
Total national emissions and removals,Agriculture,A.  Enteric fermentation,1996,0.0,997.7003618589164,0.0
Total national emissions and removals,Agriculture,A.  Enteric fermentation,1997,0.0,989.1059098007648,0.0
Total national emissions and removals,Agriculture,A.  Enteric fermentation,1998,0.0,992.6772419188876,0.0
Total national emissions and removals,Agriculture,A.  Enteric fermentation,1999,0.0,989.8138360371128,0.0
Total national emissions and removals,Agriculture,A.  Enteric fermentation,2000,0.0,961.2429804953748,0.0
Total national emissions and removals,Agriculture,A.  Enteric fermentation,2001,0.0,910.2002543222968,0.0
Total national emissions and removals,Agriculture,A.  Enteric fermentation,2002,0.0,895.733414530225,0.0
Total national emissions and removals,Agriculture,A.  Enteric fermentation,2003,0.0,905.3157472122364,0.0
Total national emissions and removals,Agriculture,A.  Enteric fermentation,2004,0.0,912.0608308563512,0.0
Total national emissions and removals,Agriculture,A.  Enteric fermentation,2005,0.0,914.412292782128,0.0
Total national emissions and removals,Agriculture,A.  Enteric fermentation,2006,0.0,894.3913285238912,0.0
Total national emissions and removals,Agriculture,A.  Enteric fermentation,2007,0.0,887.3320981033988,0.0
Total national emissions and removals,Agriculture,A.  Enteric fermentation,2008,0.0,857.4646850132028,0.0
Total national emissions and removals,Agriculture,A.  Enteric fermentation,2009,0.0,847.3633301930556,0.0
Total national emissions and removals,Agriculture,A.  Enteric fermentation,2010,0.0,852.7803224887931,0.0
Total national emissions and removals,Agriculture,A.  Enteric fermentation,2011,0.0,847.1964296385275,0.0
Total national emissions and removals,Agriculture,A.  Enteric fermentation,2012,0.0,844.8166833787894,0.0
Total national emissions and removals,Agriculture,A.  Enteric fermentation,2013,0.0,838.3658938835963,0.0
Total national emissions and removals,Agriculture,A.  Enteric fermentation,2014,0.0,860.5530726642502,0.0
Total national emissions and removals,Agriculture,A.  Enteric fermentation,2015,0.0,864.7940861578421,0.0
Total national emissions and removals,Agriculture,A.  Enteric fermentation,2016,0.0,862.6015769121444,0.0
Total national emissions and removals,Agriculture,A.  Enteric fermentation,2017,0.0,865.9848543744228,0.0
