Main_Category,Year,CO2 (kt),CH4,N2O
Total national emissions and removals,1990,12858.379388861349,7760.531791857453,145.80024527118084
Total national emissions and removals,1991,11973.346661897529,7781.367365442735,145.8573607787339
Total national emissions and removals,1992,10077.637986622962,7804.432338309662,141.9679573404141
Total national emissions and removals,1993,8560.66304543455,7845.035874121779,138.8515103317595
Total national emissions and removals,1994,7406.902050549728,7899.13230987314,142.90770571307925
Total national emissions and removals,1995,7341.817368847067,7968.338083912493,143.2416600410773
Total national emissions and removals,1996,5619.130645399955,8029.572023856862,145.41537832965392
Total national emissions and removals,1997,3441.249170489706,8005.116087353889,147.1133074131212
Total national emissions and removals,1998,1810.998498102949,7923.773565885053,145.13788044128214
Total national emissions and removals,1999,1933.2379008796458,7685.251145277193,145.13056666606303
Total national emissions and removals,2000,1600.7852536379637,7404.844495187704,139.41478845226564
Total national emissions and removals,2001,20.135932447014966,7159.108246937908,134.34480480244224
Total national emissions and removals,2002,-1796.0334251871473,7037.124783812962,134.46352092224834
Total national emissions and removals,2003,-1791.8387725582145,6772.079935394611,133.79706922919846
Total national emissions and removals,2004,-2663.598811786348,6441.571716406929,131.74349156651897
Total national emissions and removals,2005,-3014.7629073342205,6238.4012734209955,129.54444710022258
Total national emissions and removals,2006,-4047.368799950949,5968.820368462923,126.3889404957906
Total national emissions and removals,2007,-4484.79171050231,5704.625137315546,124.45709468263202
Total national emissions and removals,2008,-6354.5669460758145,5281.526155505764,123.35430338526362
Total national emissions and removals,2009,-6437.542944806101,4947.633710148706,123.36842246827099
Total national emissions and removals,2010,-6741.707822483174,4589.778190952982,125.11027154684379
Total national emissions and removals,2011,-8026.167273012943,4411.729383341367,126.19376369215043
Total national emissions and removals,2012,-7705.2779653502275,4284.6023193410165,124.73721409304915
Total national emissions and removals,2013,-8151.408853000937,4041.430822555512,125.23949887267185
Total national emissions and removals,2014,-8673.52687073774,3917.742045523287,129.48502194784675
Total national emissions and removals,2015,-8379.104778327557,3878.3648352201476,128.19742679563848
Total national emissions and removals,2016,-8221.619316881306,3809.945090554804,125.65231608484162
Total national emissions and removals,2017,-8937.230275912309,3843.4667727994142,128.2665087143104
Total national emissions and removals,2018,-7797.764060298605,3813.0495040266383,126.77887010691593
Total national emissions and removals,2019,-6960.615635945723,3797.093736903547,127.65375061311013
Total national emissions and removals,2020,-8147.77999107814,3659.980037746185,120.86519080261345
Total national emissions and removals,2021,-8104.808385209601,3637.619726256098,123.83818842849351
