Main_Category,Sub_Category,Year,CO2 (kt),CH4,N2O
Total national emissions and removals,Agriculture,1990,2625.830130843894,2345.852923661545,125.84247772877838
Total national emissions and removals,Agriculture,1991,2779.2440801492144,2315.9948180956667,125.94709191582022
Total national emissions and removals,Agriculture,1992,2512.714944662011,2329.2272469386244,121.90449994323095
Total national emissions and removals,Agriculture,1993,2218.3816494448997,2324.941196271938,118.83253553562436
Total national emissions and removals,Agriculture,1994,2224.615639702371,2335.9909499742066,122.9222202700363
Total national emissions and removals,Agriculture,1995,2186.4549818265696,2319.463359840274,123.1692550984923
Total national emissions and removals,Agriculture,1996,2390.5282166637276,2363.105511048775,125.31110555911792
Total national emissions and removals,Agriculture,1997,2106.8996493208183,2346.424218335431,126.98932897220472
Total national emissions and removals,Agriculture,1998,1973.503743513749,2353.406921035869,124.9713222880362
Total national emissions and removals,Agriculture,1999,1861.2047556525592,2342.1747747066966,125.19709453862357
Total national emissions and removals,Agriculture,2000,1945.4488384334888,2270.6624975415402,119.31679591662528
Total national emissions and removals,Agriculture,2001,1718.019298099659,2157.5229251851847,114.53788986590442
Total national emissions and removals,Agriculture,2002,1538.5798417995393,2124.4551586690723,114.70780417675084
Total national emissions and removals,Agriculture,2003,1941.0133435150965,2143.6412391138024,114.03240590963495
Total national emissions and removals,Agriculture,2004,2660.950003695353,2161.107866120156,112.2570799535815
Total national emissions and removals,Agriculture,2005,3140.6450563241224,2162.754896257266,109.9747257110793
Total national emissions and removals,Agriculture,2006,3169.10388321969,2118.7818244947275,106.86794549550333
Total national emissions and removals,Agriculture,2007,3283.1467788901623,2105.098775842922,104.71398393747702
Total national emissions and removals,Agriculture,2008,3105.5762464147188,2037.0328941741636,104.02610980528158
Total national emissions and removals,Agriculture,2009,3188.9157645366354,2014.6382929459223,103.80906925298348
Total national emissions and removals,Agriculture,2010,3060.2545465021017,2029.087446439604,104.97867193520501
Total national emissions and removals,Agriculture,2011,3049.2463698229867,2015.3158315298974,105.72978506455236
Total national emissions and removals,Agriculture,2012,2954.594382803229,2007.986889037828,104.46874727263814
Total national emissions and removals,Agriculture,2013,2628.628650172828,1997.0452961008748,104.86850998548684
Total national emissions and removals,Agriculture,2014,2778.643318993841,2049.6842773275425,108.89527356345005
Total national emissions and removals,Agriculture,2015,2744.9548154585514,2057.877444234157,107.54163181530058
Total national emissions and removals,Agriculture,2016,2753.271927636591,2050.106857162184,104.90396888326912
Total national emissions and removals,Agriculture,2017,2550.2301826390603,2057.5074419735834,107.23814792931421
Total national emissions and removals,Agriculture,2018,2591.340363066772,2018.2461770675168,105.8344177064352
Total national emissions and removals,Agriculture,2019,2889.7840721818,2021.253125655176,106.45406958178533
Total national emissions and removals,Agriculture,2020,2707.724732473501,1994.3657610667933,99.95235581099696
Total national emissions and removals,Agriculture,2021,2861.0379560258793,2004.51116869643,102.61731519785641
Total national emissions and removals,"Land use, land-use change and forestry",1990,7342.207047166485,397.94094076905486,13.390427985167861
Total national emissions and removals,"Land use, land-use change and forestry",1991,6366.190122707769,397.5297641146714,13.28951893671124
Total national emissions and removals,"Land use, land-use change and forestry",1992,4748.855242779122,396.63389903920665,13.14150139765212
Total national emissions and removals,"Land use, land-use change and forestry",1993,3627.5473348749692,396.3102709405272,13.00935156516949
Total national emissions and removals,"Land use, land-use change and forestry",1994,2855.7187379620705,395.69894151139226,12.87966949208252
Total national emissions and removals,"Land use, land-use change and forestry",1995,2895.0904729366152,396.4341370183872,12.79535858300199
Total national emissions and removals,"Land use, land-use change and forestry",1996,954.3726955358143,395.32702257568656,12.5695333829812
Total national emissions and removals,"Land use, land-use change and forestry",1997,-125.91957039145018,395.22623364047604,12.49533851564882
Total national emissions and removals,"Land use, land-use change and forestry",1998,-1630.742353270728,394.3766374111789,12.260893418909351
Total national emissions and removals,"Land use, land-use change and forestry",1999,-1295.402114905091,393.62129633259343,12.018643561491059
Total national emissions and removals,"Land use, land-use change and forestry",2000,-1763.9131956923725,394.86597073800317,11.8428449891253
Total national emissions and removals,"Land use, land-use change and forestry",2001,-2990.19446020949,395.16296355814774,11.58157607973285
Total national emissions and removals,"Land use, land-use change and forestry",2002,-4599.753220034918,395.4914733285121,11.37021776316457
Total national emissions and removals,"Land use, land-use change and forestry",2003,-4956.140007048549,397.984879081003,11.38827826980323
Total national emissions and removals,"Land use, land-use change and forestry",2004,-6510.32412752138,396.2607229724504,11.02006379779333
Total national emissions and removals,"Land use, land-use change and forestry",2005,-7233.816783408322,397.3001942023111,10.85889229725567
Total national emissions and removals,"Land use, land-use change and forestry",2006,-7984.392904497408,397.25705396255813,10.63805828983008
Total national emissions and removals,"Land use, land-use change and forestry",2007,-8674.039480849704,398.5241881544353,10.53741788074708
Total national emissions and removals,"Land use, land-use change and forestry",2008,-10261.642921862986,398.1361796174897,10.30911677981362
Total national emissions and removals,"Land use, land-use change and forestry",2009,-10366.824459986788,398.1911648041746,10.09097607311352
Total national emissions and removals,"Land use, land-use change and forestry",2010,-10509.62895379489,400.0496322922001,10.00530114268997
Total national emissions and removals,"Land use, land-use change and forestry",2011,-11739.626935291264,401.3821775507169,10.00709106593847
Total national emissions and removals,"Land use, land-use change and forestry",2012,-11311.373480470342,400.55288769658074,9.79511158368787
Total national emissions and removals,"Land use, land-use change and forestry",2013,-11423.500395077339,401.5749631174386,9.70624315022336
Total national emissions and removals,"Land use, land-use change and forestry",2014,-12107.44227439788,400.1771625728196,9.4788691717128
Total national emissions and removals,"Land use, land-use change and forestry",2015,-11746.101682517932,402.3943863684436,9.43467328606249
Total national emissions and removals,"Land use, land-use change and forestry",2016,-11622.983974193772,402.80603799205136,9.3799973632051
Total national emissions and removals,"Land use, land-use change and forestry",2017,-12111.076791318781,402.73495218739504,9.274868132159
Total national emissions and removals,"Land use, land-use change and forestry",2018,-11000.83650871028,406.4477440600467,9.36242258231543
Total national emissions and removals,"Land use, land-use change and forestry",2019,-10455.360751191842,409.26709866749695,9.44000225537027
