GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Main_Category,Sub_Category,Detail_Category,Net CO2 (kt),CH4,N2O,Year
International bunkers,Total national emissions and removals,International bunkers,International bunkers,24271.88183065447,0.44290986744877,0.90837589239406,1990
Aviation,Total national emissions and removals,International bunkers,Aviation,15390.61599457615,0.31000786325955,0.48864381283995,1990
Navigation,Total national emissions and removals,International bunkers,Navigation,8881.265836078323,0.13290200418922,0.41973207955411,1990
CO2 emissions from biomass,Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,3849.139210894813,,,1990
Indirect N2O,Total national emissions and removals,Indirect N2O,Indirect N2O,,,13.80953057549712,1990
International bunkers,Total national emissions and removals,International bunkers,International bunkers,23987.35844615629,0.38217180477497,0.89828170078315,1991
Aviation,Total national emissions and removals,International bunkers,Aviation,15149.265222522994,0.2514301099272,0.48098077246792,1991
Navigation,Total national emissions and removals,International bunkers,Navigation,8838.093223633296,0.13074169484777,0.41730092831523,1991
CO2 emissions from biomass,Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,3930.222437793754,,,1991
Indirect N2O,Total national emissions and removals,Indirect N2O,Indirect N2O,,,13.50517806928186,1991
International bunkers,Total national emissions and removals,International bunkers,International bunkers,25817.507716357057,0.36438727366065,0.95955047409246,1992
Aviation,Total national emissions and removals,International bunkers,Aviation,16767.806568495555,0.2308766684084,0.53236848562812,1992
Navigation,Total national emissions and removals,International bunkers,Navigation,9049.701147861502,0.13351060525225,0.42718198846434,1992
CO2 emissions from biomass,Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,4251.335368228465,,,1992
Indirect N2O,Total national emissions and removals,Indirect N2O,Indirect N2O,,,13.22923039146129,1992
International bunkers,Total national emissions and removals,International bunkers,International bunkers,26756.47342960094,0.34796712575219,0.98572963008135,1993
Aviation,Total national emissions and removals,International bunkers,Aviation,17959.13205968148,0.21693632810608,0.57019307502949,1993
Navigation,Total national emissions and removals,International bunkers,Navigation,8797.34136991946,0.13103079764611,0.41553655505186,1993
CO2 emissions from biomass,Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,4368.916794738579,,,1993
Indirect N2O,Total national emissions and removals,Indirect N2O,Indirect N2O,,,12.5886546559784,1993
International bunkers,Total national emissions and removals,International bunkers,International bunkers,26912.982598157305,0.31851586314054,0.98003655368696,1994
Aviation,Total national emissions and removals,International bunkers,Aviation,18756.29641563893,0.20020821829115,0.59550216539743,1994
Navigation,Total national emissions and removals,International bunkers,Navigation,8156.686182518368,0.11830764484939,0.38453438828953,1994
CO2 emissions from biomass,Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,6159.935520770158,,,1994
Indirect N2O,Total national emissions and removals,Indirect N2O,Indirect N2O,,,12.45109861865818,1994
International bunkers,Total national emissions and removals,International bunkers,International bunkers,28631.20892262432,0.32419253377595,1.04339519678708,1995
Aviation,Total national emissions and removals,International bunkers,Aviation,19961.3691412053,0.19425673065508,0.63376241107061,1995
Navigation,Total national emissions and removals,International bunkers,Navigation,8669.839781419023,0.12993580312087,0.40963278571647,1995
CO2 emissions from biomass,Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,6551.695598299095,,,1995
Indirect N2O,Total national emissions and removals,Indirect N2O,Indirect N2O,,,12.02337989026401,1995
International bunkers,Total national emissions and removals,International bunkers,International bunkers,30721.38087812836,0.34074436731885,1.12430490638659,1996
Aviation,Total national emissions and removals,International bunkers,Aviation,21120.68075606749,0.19628636380555,0.67056944342113,1996
Navigation,Total national emissions and removals,International bunkers,Navigation,9600.700122060873,0.1444580035133,0.45373546296546,1996
CO2 emissions from biomass,Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,6700.156139249894,,,1996
Indirect N2O,Total national emissions and removals,Indirect N2O,Indirect N2O,,,11.60930386204646,1996
International bunkers,Total national emissions and removals,International bunkers,International bunkers,32971.798096308245,0.3558655119454,1.21074948758567,1997
Aviation,Total national emissions and removals,International bunkers,Aviation,22464.50323519985,0.19370255563298,0.71323482385385,1997
Navigation,Total national emissions and removals,International bunkers,Navigation,10507.294861108394,0.16216295631242,0.49751466373182,1997
CO2 emissions from biomass,Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,6068.312248021365,,,1997
Indirect N2O,Total national emissions and removals,Indirect N2O,Indirect N2O,,,10.83624314591378,1997
International bunkers,Total national emissions and removals,International bunkers,International bunkers,36130.4504167051,0.36500020265632,1.31961397230708,1998
Aviation,Total national emissions and removals,International bunkers,Aviation,25007.96294862023,0.19763562928964,0.79398843927852,1998
Navigation,Total national emissions and removals,International bunkers,Navigation,11122.487468084872,0.16736457336668,0.52562553302856,1998
CO2 emissions from biomass,Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,6782.96919523534,,,1998
Indirect N2O,Total national emissions and removals,Indirect N2O,Indirect N2O,,,10.67565725791487,1998
International bunkers,Total national emissions and removals,International bunkers,International bunkers,36080.40112783905,0.31296479363626,1.28336968459127,1999
Aviation,Total national emissions and removals,International bunkers,Aviation,27169.06630397242,0.17978596458321,0.86260238947455,1999
Navigation,Total national emissions and removals,International bunkers,Navigation,8911.334823866635,0.13317882905305,0.42076729511672,1999
CO2 emissions from biomass,Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,7002.272736831183,,,1999
Indirect N2O,Total national emissions and removals,Indirect N2O,Indirect N2O,,,10.15625329408348,1999
International bunkers,Total national emissions and removals,International bunkers,International bunkers,38126.52255046724,0.2793972481131,1.33602532483633,2000
Aviation,Total national emissions and removals,International bunkers,Aviation,29979.372591805204,0.15996473168579,0.95182732671245,2000
Navigation,Total national emissions and removals,International bunkers,Navigation,8147.149958662041,0.11943251642731,0.38419799812388,2000
CO2 emissions from biomass,Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,6828.396666275431,,,2000
Indirect N2O,Total national emissions and removals,Indirect N2O,Indirect N2O,,,9.89858371849779,2000
International bunkers,Total national emissions and removals,International bunkers,International bunkers,37985.43023138007,0.26244370192817,1.34031660810677,2001
Aviation,Total national emissions and removals,International bunkers,Aviation,29196.76609191616,0.13859476277494,0.92697983805428,2001
Navigation,Total national emissions and removals,International bunkers,Navigation,8788.664139463914,0.12384893915323,0.41333677005249,2001
CO2 emissions from biomass,Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,7129.692558756659,,,2001
Indirect N2O,Total national emissions and removals,Indirect N2O,Indirect N2O,,,9.70468885470936,2001
International bunkers,Total national emissions and removals,International bunkers,International bunkers,36536.46407333555,0.2470682323789,1.28119309135372,2002
Aviation,Total national emissions and removals,International bunkers,Aviation,28658.800540219887,0.13297885935108,0.90990067391262,2002
Navigation,Total national emissions and removals,International bunkers,Navigation,7877.663533115663,0.11408937302782,0.3712924174411,2002
CO2 emissions from biomass,Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,7751.929950000856,,,2002
Indirect N2O,Total national emissions and removals,Indirect N2O,Indirect N2O,,,9.26561194269755,2002
International bunkers,Total national emissions and removals,International bunkers,International bunkers,36957.92151194623,0.24474405567237,1.29144387426899,2003
Aviation,Total national emissions and removals,International bunkers,Aviation,29356.908744152483,0.12952587137864,0.93206422299907,2003
Navigation,Total national emissions and removals,International bunkers,Navigation,7601.012767793751,0.11521818429373,0.35937965126992,2003
CO2 emissions from biomass,Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,8822.205912300842,,,2003
Indirect N2O,Total national emissions and removals,Indirect N2O,Indirect N2O,,,9.13702605766059,2003
International bunkers,Total national emissions and removals,International bunkers,International bunkers,40906.76217643202,0.25487320334994,1.43401084644828,2004
Aviation,Total national emissions and removals,International bunkers,Aviation,32178.535702289388,0.12352389452858,1.02164909326828,2004
Navigation,Total national emissions and removals,International bunkers,Navigation,8728.226474142635,0.13134930882136,0.41236175318,2004
CO2 emissions from biomass,Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,10134.709972730972,,,2004
Indirect N2O,Total national emissions and removals,Indirect N2O,Indirect N2O,,,8.89015316121796,2004
International bunkers,Total national emissions and removals,International bunkers,International bunkers,43570.54914575791,0.26731245229533,1.52132899514195,2005
Aviation,Total national emissions and removals,International bunkers,Aviation,34744.777815568275,0.12970557902382,1.10312564074477,2005
Navigation,Total national emissions and removals,International bunkers,Navigation,8825.771330189642,0.13760687327151,0.41820335439718,2005
CO2 emissions from biomass,Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,11700.535646935175,,,2005
Indirect N2O,Total national emissions and removals,Indirect N2O,Indirect N2O,,,8.78587418272325,2005
International bunkers,Total national emissions and removals,International bunkers,International bunkers,45004.78588703769,0.28120982564177,1.58076646973889,2006
Aviation,Total national emissions and removals,International bunkers,Aviation,35272.39318448941,0.13068851737783,1.1198770851105,2006
Navigation,Total national emissions and removals,International bunkers,Navigation,9732.39270254828,0.15052130826394,0.46088938462839,2006
CO2 emissions from biomass,Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,12402.289759960931,,,2006
Indirect N2O,Total national emissions and removals,Indirect N2O,Indirect N2O,,,8.52750901994058,2006
International bunkers,Total national emissions and removals,International bunkers,International bunkers,44967.75830281183,0.2845445219001,1.58232469498615,2007
Aviation,Total national emissions and removals,International bunkers,Aviation,35100.91251476929,0.12806164715481,1.11443269614469,2007
Navigation,Total national emissions and removals,International bunkers,Navigation,9866.845788042545,0.15648287474529,0.46789199884146,2007
CO2 emissions from biomass,Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,12330.524054473575,,,2007
Indirect N2O,Total national emissions and removals,Indirect N2O,Indirect N2O,,,8.17744751222447,2007
International bunkers,Total national emissions and removals,International bunkers,International bunkers,47693.09202489898,0.33846118748586,1.72464026935461,2008
Aviation,Total national emissions and removals,International bunkers,Aviation,34328.363952392014,0.12060069613467,1.08990477569979,2008
Navigation,Total national emissions and removals,International bunkers,Navigation,13364.72807250696,0.21786049135119,0.63473549365482,2008
CO2 emissions from biomass,Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,14567.137581675242,,,2008
Indirect N2O,Total national emissions and removals,Indirect N2O,Indirect N2O,,,7.37117577607997,2008
International bunkers,Total national emissions and removals,International bunkers,International bunkers,45671.34275715208,0.32426258633407,1.6565934526224,2009
Aviation,Total national emissions and removals,International bunkers,Aviation,32521.35759283096,0.11033963242093,1.03253341497871,2009
Navigation,Total national emissions and removals,International bunkers,Navigation,13149.98516432112,0.21392295391314,0.62406003764369,2009
CO2 emissions from biomass,Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,16128.167827254476,,,2009
Indirect N2O,Total national emissions and removals,Indirect N2O,Indirect N2O,,,6.4806641727606,2009
International bunkers,Total national emissions and removals,International bunkers,International bunkers,43009.11212350855,0.28859077189583,1.54673157545436,2010
Aviation,Total national emissions and removals,International bunkers,Aviation,31449.032749777434,0.1018028416023,0.99848771072437,2010
Navigation,Total national emissions and removals,International bunkers,Navigation,11560.07937373112,0.18678793029353,0.54824386472999,2010
CO2 emissions from biomass,Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,18296.77599079265,,,2010
Indirect N2O,Total national emissions and removals,Indirect N2O,Indirect N2O,,,6.32657524851789,2010
International bunkers,Total national emissions and removals,International bunkers,International bunkers,45320.48344367323,0.30689145941361,1.63355066732475,2011
Aviation,Total national emissions and removals,International bunkers,Aviation,32927.64835344741,0.1056444341348,1.04543286023651,2011
Navigation,Total national emissions and removals,International bunkers,Navigation,12392.835090225815,0.20124702527881,0.58811780708824,2011
CO2 emissions from biomass,Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,18902.256178932617,,,2011
Indirect N2O,Total national emissions and removals,Indirect N2O,Indirect N2O,,,5.92244306231513,2011
International bunkers,Total national emissions and removals,International bunkers,International bunkers,43027.914831699454,0.27243968792178,1.53686948183199,2012
Aviation,Total national emissions and removals,International bunkers,Aviation,32068.78714163389,0.10080127893357,1.01816454139175,2012
Navigation,Total national emissions and removals,International bunkers,Navigation,10959.127690065565,0.17163840898821,0.51870494044024,2012
CO2 emissions from biomass,Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,19473.20089026617,,,2012
Indirect N2O,Total national emissions and removals,Indirect N2O,Indirect N2O,,,6.03518116346084,2012
International bunkers,Total national emissions and removals,International bunkers,International bunkers,43312.38012293779,0.27511467491446,1.54487406621608,2013
Aviation,Total national emissions and removals,International bunkers,Aviation,32350.88591797154,0.10907413691233,1.02712099607958,2013
Navigation,Total national emissions and removals,International bunkers,Navigation,10961.494204966251,0.16604053800213,0.5177530701365,2013
CO2 emissions from biomass,Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,23096.08031665552,,,2013
