Main_Category,Sub_Category,Detail_Category,Year,Net CO2 (kt),CH4,N2O
Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,1990,3849.139210894813,0.0,0.0
Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,1991,3930.222437793754,0.0,0.0
Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,1992,4251.335368228465,0.0,0.0
Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,1993,4368.916794738579,0.0,0.0
Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,1994,6159.935520770158,0.0,0.0
Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,1995,6551.695598299095,0.0,0.0
Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,1996,6700.156139249894,0.0,0.0
Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,1997,6068.312248021365,0.0,0.0
Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,1998,6782.96919523534,0.0,0.0
Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,1999,7002.272736831183,0.0,0.0
Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,2000,6828.396666275431,0.0,0.0
Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,2001,7129.692558756659,0.0,0.0
Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,2002,7751.929950000856,0.0,0.0
Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,2003,8822.205912300842,0.0,0.0
Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,2004,10134.709972730972,0.0,0.0
Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,2005,11700.535646935175,0.0,0.0
Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,2006,12402.289759960931,0.0,0.0
Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,2007,12330.524054473575,0.0,0.0
Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,2008,14567.137581675242,0.0,0.0
Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,2009,16128.167827254476,0.0,0.0
Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,2010,18296.77599079265,0.0,0.0
Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,2011,18902.256178932617,0.0,0.0
Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,2012,19473.20089026617,0.0,0.0
Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,2013,23096.08031665552,0.0,0.0
Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,2014,27558.495887359684,0.0,0.0
Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,2015,32802.70507845259,0.0,0.0
Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,2016,34586.0643222313,0.0,0.0
Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,2017,36763.09382165688,0.0,0.0
Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,2018,41915.10787495373,0.0,0.0
Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,2019,44278.48108820619,0.0,0.0
Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,2020,45835.06387965875,0.0,0.0
Total national emissions and removals,CO2 emissions from biomass,CO2 emissions from biomass,2021,47451.15837357332,0.0,0.0
Total national emissions and removals,Indirect N2O,Indirect N2O,1990,0.0,0.0,13.80953057549712
Total national emissions and removals,Indirect N2O,Indirect N2O,1991,0.0,0.0,13.50517806928186
Total national emissions and removals,Indirect N2O,Indirect N2O,1992,0.0,0.0,13.22923039146129
Total national emissions and removals,Indirect N2O,Indirect N2O,1993,0.0,0.0,12.5886546559784
Total national emissions and removals,Indirect N2O,Indirect N2O,1994,0.0,0.0,12.45109861865818
Total national emissions and removals,Indirect N2O,Indirect N2O,1995,0.0,0.0,12.02337989026401
Total national emissions and removals,Indirect N2O,Indirect N2O,1996,0.0,0.0,11.60930386204646
Total national emissions and removals,Indirect N2O,Indirect N2O,1997,0.0,0.0,10.83624314591378
Total national emissions and removals,Indirect N2O,Indirect N2O,1998,0.0,0.0,10.67565725791487
Total national emissions and removals,Indirect N2O,Indirect N2O,1999,0.0,0.0,10.15625329408348
Total national emissions and removals,Indirect N2O,Indirect N2O,2000,0.0,0.0,9.89858371849779
Total national emissions and removals,Indirect N2O,Indirect N2O,2001,0.0,0.0,9.70468885470936
Total national emissions and removals,Indirect N2O,Indirect N2O,2002,0.0,0.0,9.26561194269755
Total national emissions and removals,Indirect N2O,Indirect N2O,2003,0.0,0.0,9.13702605766059
Total national emissions and removals,Indirect N2O,Indirect N2O,2004,0.0,0.0,8.89015316121796
Total national emissions and removals,Indirect N2O,Indirect N2O,2005,0.0,0.0,8.78587418272325
Total national emissions and removals,Indirect N2O,Indirect N2O,2006,0.0,0.0,8.52750901994058
Total national emissions and removals,Indirect N2O,Indirect N2O,2007,0.0,0.0,8.17744751222447
Total national emissions and removals,Indirect N2O,Indirect N2O,2008,0.0,0.0,7.37117577607997
Total national emissions and removals,Indirect N2O,Indirect N2O,2009,0.0,0.0,6.4806641727606
Total national emissions and removals,Indirect N2O,Indirect N2O,2010,0.0,0.0,6.32657524851789
Total national emissions and removals,Indirect N2O,Indirect N2O,2011,0.0,0.0,5.92244306231513
Total national emissions and removals,Indirect N2O,Indirect N2O,2012,0.0,0.0,6.03518116346084
Total national emissions and removals,Indirect N2O,Indirect N2O,2013,0.0,0.0,5.73078403591512
Total national emissions and removals,Indirect N2O,Indirect N2O,2014,0.0,0.0,5.35821790433247
Total national emissions and removals,Indirect N2O,Indirect N2O,2015,0.0,0.0,5.14929618766411
Total national emissions and removals,Indirect N2O,Indirect N2O,2016,0.0,0.0,4.70202933580059
Total national emissions and removals,Indirect N2O,Indirect N2O,2017,0.0,0.0,4.5458863782807
Total national emissions and removals,Indirect N2O,Indirect N2O,2018,0.0,0.0,4.32533904559932
Total national emissions and removals,Indirect N2O,Indirect N2O,2019,0.0,0.0,4.06331205532941
