Main_Category,Year,Net CO2 (kt),CH4,N2O
Total national emissions and removals,1990,52392.902872203755,0.88581973489754,15.626282360285241
Total national emissions and removals,1991,51904.93933010633,0.76434360954994,15.301741470848158
Total national emissions and removals,1992,55886.35080094258,0.7287745473213,15.148331339646209
Total national emissions and removals,1993,57881.86365394046,0.69593425150438,14.5601139161411
Total national emissions and removals,1994,59985.90071708476,0.63703172628108,14.411171726032102
Total national emissions and removals,1995,63814.113443547736,0.6483850675519,14.11017028383817
Total national emissions and removals,1996,68142.91789550662,0.6814887346377,13.85791367481964
Total national emissions and removals,1997,72011.90844063785,0.7117310238908,13.25774212108512
Total national emissions and removals,1998,79043.87002864554,0.73000040531264,13.31488520252903
Total national emissions and removals,1999,79163.0749925093,0.62592958727252,12.722992663266021
Total national emissions and removals,2000,83081.44176720992,0.5587944962262,12.570634368170449
Total national emissions and removals,2001,83100.55302151681,0.52488740385634,12.3853220709229
Total national emissions and removals,2002,80824.85809667196,0.4941364647578,11.82799812540499
Total national emissions and removals,2003,82738.04893619331,0.48948811134474,11.71991380619857
Total national emissions and removals,2004,91948.23432559501,0.50974640669988,11.75817485411452
Total national emissions and removals,2005,98841.633938451,0.53462490459066,11.828532173007149
Total national emissions and removals,2006,102411.86153403632,0.56241965128354,11.68904195941836
Total national emissions and removals,2007,102266.04066009723,0.5690890438002,11.34209690219677
Total national emissions and removals,2008,109953.3216314732,0.67692237497172,10.82045631478919
Total national emissions and removals,2009,107470.85334155863,0.64852517266814,9.7938510780054
Total national emissions and removals,2010,104315.00023780976,0.57718154379166,9.420038399426609
Total national emissions and removals,2011,109543.22306627907,0.61378291882722,9.18954439696463
Total national emissions and removals,2012,105529.03055366507,0.54487937584356,9.10892012712482
Total national emissions and removals,2013,109720.84056253111,0.55022934982892,8.82053216834728
Total national emissions and removals,2014,115793.90207747673,0.55681039637866,8.51369281093575
Total national emissions and removals,2015,120302.1486595608,0.52790717226268,8.23761545349201
Total national emissions and removals,2016,123777.81152156598,0.55369519293224,7.86159005812363
Total national emissions and removals,2017,130101.78304194621,0.54974224053872,7.82349170479606
Total national emissions and removals,2018,135325.27152057498,0.53579855544316,7.59423744885244
Total national emissions and removals,2019,136602.76135256782,0.5046189963965,7.27670634061681
Total national emissions and removals,2020,92350.02138539044,0.32840967875056,5.29826030419404
Total national emissions and removals,2021,91273.81263772472,0.32584125645084,5.25164005230698
