Category,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Year,Sheet,Main_Category,Sub_Category
Total national emissions and removals,607337.2622038256,5388.815527925926,167.6798719143614,12068.457467471051,1483.661308829743,0.05288630573414,1990,Summary1As1,Total national emissions and removals,
1. Energy,557715.5029143459,1496.8715001112016,12.32648861791229,,,,1990,Summary1As1,Total national emissions and removals,1. Energy
A. Fuel combustion     Reference approach(2),546748.2517665874,,,,,,1990,Summary1As1,Total national emissions and removals,A. Fuel combustion     Reference approach(2)
                                           Sectoral approach(2),550928.4105227769,129.65778749682246,12.17622975551653,,,,1990,Summary1As1,Total national emissions and removals,
1.  Energy industries,238059.4909129977,9.327512466602,4.82163094417675,,,,1990,Summary1As1,1.  Energy industries,
2.  Manufacturing industries and construction                          ,75237.16423920529,4.09634403641847,0.98284183956482,,,,1990,Summary1As1,2.  Manufacturing industries and construction                          ,
3.  Transport,120222.3004660954,50.83161688966728,4.8675546216048,,,,1990,Summary1As1,3.  Transport,
4.  Other sectors,112116.01744990036,65.26005296727028,1.3158687882005,,,,1990,Summary1As1,4.  Other sectors,
5.  Other,5293.43745457813,0.14226113686442,0.18833356196966,,,,1990,Summary1As1,5.  Other,
B. Fugitive emissions from fuels,6787.092391569139,1367.2137126143791,0.15025886239576,,,,1990,Summary1As1,5.  Other,B. Fugitive emissions from fuels
1.  Solid fuels,1698.561494434334,873.0742929216586,0.000302616,,,,1990,Summary1As1,1.  Solid fuels,
2.  Oil and natural gas and other emissions from energy production,5088.530897134805,494.1394196927205,0.14995624639576,,,,1990,Summary1As1,2.  Oil and natural gas and other emissions from energy production,
2.  Industrial processes and product use,43192.569595049,11.67813188599827,81.94017031865906,12068.457467471051,1483.661308829743,0.05288630573414,1990,Summary1As1,2.  Industrial processes and product use,
A.  Mineral industry,10234.924763495315,,,,,,1990,Summary1As1,2.  Industrial processes and product use,A.  Mineral industry
B.  Chemical industry,6975.588848580359,8.86529686943438,79.85698275927682,12053.825917322536,16.07267477816611,,1990,Summary1As1,2.  Industrial processes and product use,B.  Chemical industry
C.  Metal industry,25429.247347380857,1.56863361472755,0.06955531634258,,1396.756822824816,0.01698125,1990,Summary1As1,2.  Industrial processes and product use,C.  Metal industry
D.  Non-energy products from fuels and solvent use ,552.8086355924662,,,,,,1990,Summary1As1,2.  Industrial processes and product use,D.  Non-energy products from fuels and solvent use 
E.  Electronic industry ,,,,4.65055273382887,,,1990,Summary1As1,2.  Industrial processes and product use,E.  Electronic industry 
F.  Product uses as substitutes for ODS,,,,9.98099741468508,,,1990,Summary1As1,2.  Industrial processes and product use,F.  Product uses as substitutes for ODS
G.  Other product manufacture and use ,,,2.01363224303966,,70.83181122676056,0.03590505573414,1990,Summary1As1,2.  Industrial processes and product use,G.  Other product manufacture and use 
H.  Other(3),,1.24420140183634,,,,,1990,Summary1As1,2.  Industrial processes and product use,H.  Other(3)
Total national emissions and removals,614363.2203847475,5419.626362665269,168.1944723172287,12582.825728160473,1243.0533429827867,0.05545701674504,1991,Summary1As1,Total national emissions and removals,
1. Energy,567624.8351479645,1517.5810701402088,12.25304941615515,,,,1991,Summary1As1,Total national emissions and removals,1. Energy
A. Fuel combustion     Reference approach(2),561819.3001640907,,,,,,1991,Summary1As1,Total national emissions and removals,A. Fuel combustion     Reference approach(2)
                                           Sectoral approach(2),561364.4952109663,134.666319636846,12.10733110536919,,,,1991,Summary1As1,Total national emissions and removals,
1.  Energy industries,235358.6178685517,9.29721397493072,4.77340798677118,,,,1991,Summary1As1,1.  Energy industries,
2.  Manufacturing industries and construction                          ,78754.59302728824,4.23589645258032,0.9826184811337,,,,1991,Summary1As1,2.  Manufacturing industries and construction                          ,
3.  Transport,119332.13441367378,50.23476220136224,4.78927414518554,,,,1991,Summary1As1,3.  Transport,
4.  Other sectors,123617.75115968892,70.79002096943812,1.40432149937559,,,,1991,Summary1As1,4.  Other sectors,
5.  Other,4301.39874176371,0.10842603853459,0.15770899290318,,,,1991,Summary1As1,5.  Other,
B. Fugitive emissions from fuels,6260.33993699822,1382.9147505033627,0.14571831078596,,,,1991,Summary1As1,5.  Other,B. Fugitive emissions from fuels
1.  Solid fuels,1312.1340809408694,897.8325295255721,0.000122796,,,,1991,Summary1As1,1.  Solid fuels,
2.  Oil and natural gas and other emissions from energy production,4948.205856057351,485.0822209777906,0.14559551478596,,,,1991,Summary1As1,2.  Oil and natural gas and other emissions from energy production,
2.  Industrial processes and product use,40751.71190583415,11.36160980369315,82.50653222248519,12582.825728160473,1243.0533429827867,0.05545701674504,1991,Summary1As1,2.  Industrial processes and product use,
A.  Mineral industry,8516.932429211069,,,,,,1991,Summary1As1,2.  Industrial processes and product use,A.  Mineral industry
B.  Chemical industry,7493.080241436179,8.87472921355697,80.42189158861585,12549.850247320996,16.07851391469603,,1991,Summary1As1,2.  Industrial processes and product use,B.  Chemical industry
C.  Metal industry,24232.3036309544,1.47780118282677,0.06383472581813,,1148.136025095774,0.01698125,1991,Summary1As1,2.  Industrial processes and product use,C.  Metal industry
D.  Non-energy products from fuels and solvent use ,509.3956042325028,,,,,,1991,Summary1As1,2.  Industrial processes and product use,D.  Non-energy products from fuels and solvent use 
E.  Electronic industry ,,,,5.5085797132203,,,1991,Summary1As1,2.  Industrial processes and product use,E.  Electronic industry 
F.  Product uses as substitutes for ODS,,,,27.46690112625593,,,1991,Summary1As1,2.  Industrial processes and product use,F.  Product uses as substitutes for ODS
G.  Other product manufacture and use ,,,2.02080590805121,,78.83880397231675,0.03847576674504,1991,Summary1As1,2.  Industrial processes and product use,G.  Other product manufacture and use 
H.  Other(3),,1.00907940730941,,,,,1991,Summary1As1,2.  Industrial processes and product use,H.  Other(3)
Total national emissions and removals,597922.1096053956,5412.773361828221,151.4358931095106,13102.55620347052,617.6405516478967,0.05827520672488,1992,Summary1As1,Total national emissions and removals,
1. Energy,552920.4130407373,1498.6733222588928,12.06596797736782,,,,1992,Summary1As1,Total national emissions and removals,1. Energy
A. Fuel combustion     Reference approach(2),551017.7827981057,,,,,,1992,Summary1As1,Total national emissions and removals,A. Fuel combustion     Reference approach(2)
                                           Sectoral approach(2),546476.2099848527,127.43002771434573,11.91851692422838,,,,1992,Summary1As1,Total national emissions and removals,
1.  Energy industries,224541.4516384572,9.50191435455435,4.61697502670495,,,,1992,Summary1As1,1.  Energy industries,
2.  Manufacturing industries and construction                          ,76523.4505846677,4.2362424306715,0.9758305905451,,,,1992,Summary1As1,2.  Manufacturing industries and construction                          ,
3.  Transport,120729.88080780614,49.61701991694057,4.87281852405445,,,,1992,Summary1As1,3.  Transport,
4.  Other sectors,120586.33536095692,63.97071973156307,1.3033324926728,,,,1992,Summary1As1,4.  Other sectors,
