GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Main_Category,Sub_Category,Detail_Category,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Year
Total national emissions and removals,Total,Total National Emissions,Total national emissions and removals,564783.4410595656,5019.5415428988435,135.95180120376398,18356.108004685513,446.9412735815819,0.0558155329415,1997
1. Energy,1. Energy,Other Energy,1. Energy,519972.88229007047,1007.5436041293833,11.63732605258719,,,,1997
A. Fuel combustion     Reference approach(2),1. Energy,1.A Fuel Combustion,1.A Reference Approach,510475.4835409633,,,,,,1997
                                           Sectoral approach(2),1. Energy,1.A Fuel Combustion,1.A Sectoral Approach,512762.08018415346,94.95757559392807,11.45184257055266,,,,1997
1.  Energy industries,Uncategorized,Uncategorized,1.  Energy industries,192672.44681702656,11.08981596365534,3.60322685900582,,,,1997
2.  Manufacturing industries and construction                          ,2. Industrial Processes,Other Industrial,2.  Manufacturing industries and construction,69803.5636407435,3.46310324711367,0.87471380174706,,,,1997
3.  Transport,3. Agriculture,Other Agriculture,3.  Transport,128225.04773015072,35.71872432780254,5.84121821240024,,,,1997
4.  Other sectors,4. LULUCF,Other LULUCF,4.  Other sectors,118424.22045069179,44.59387858771673,0.99956469667045,,,,1997
5.  Other,5. Waste,Other Waste,5.  Other,3636.8015455409004,0.09205346763979,0.13311900072909,,,,1997
B. Fugitive emissions from fuels,Uncategorized,Uncategorized,B. Fugitive emissions from fuels,7210.802105917001,912.5860285354553,0.18548348203453,,,,1997
1.  Solid fuels,1. Energy,Other Energy,1.  Solid fuels,631.1653690361505,534.5149745470568,6.5448e-05,,,,1997
2.  Oil and natural gas and other emissions from energy production,1. Energy,Other Energy,2.  Oil and natural gas and other emissions from energy production,6579.636736880851,378.07105398839843,0.18541803403453,,,,1997
2.  Industrial processes and product use,2. Industrial Processes,Other Industrial,2.  Industrial processes and product use,43089.93418425033,9.43989509251557,50.3007481126406,18356.108004685513,446.9412735815819,0.0558155329415,1997
A.  Mineral industry,Uncategorized,Uncategorized,A.  Mineral industry,9739.374403396352,,,,,,1997
B.  Chemical industry,Uncategorized,Uncategorized,B.  Chemical industry,6907.53630333938,7.05521117422243,48.26868341247101,16539.35414211283,44.59328457396951,,1997
C.  Metal industry,Uncategorized,Uncategorized,C.  Metal industry,24974.26981885538,1.65237878179306,0.07126410218431,,230.4487513406184,0.01707625,1997
D.  Non-energy products from fuels and solvent use ,1. Energy,Other Energy,D.  Non-energy products from fuels and solvent use,1468.7536586592155,,,,,,1997
E.  Electronic industry ,Uncategorized,Uncategorized,E.  Electronic industry,,,,15.2142317987246,,,1997
F.  Product uses as substitutes for ODS,Uncategorized,Uncategorized,F.  Product uses as substitutes for ODS,,,,1801.539630773958,2.48858956147309,,1997
G.  Other product manufacture and use ,6. Other,Other,G.  Other product manufacture and use,,,1.96080059798528,,169.4106481055209,0.0387392829415,1997
H.  Other(3),6. Other,Other,H.  Other(3),,0.73230513650008,,,,,1997
