Category,Year,Sheet,Gas,Emissions_kt
Total national emissions and removals,1990,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),607337.2622038256
1. Energy,1990,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),557715.5029143459
A. Fuel combustion     Reference approach(2),1990,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),546748.2517665874
                                           Sectoral approach(2),1990,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),550928.4105227769
1.  Energy industries,1990,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),238059.4909129977
2.  Manufacturing industries and construction                          ,1990,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),75237.16423920529
3.  Transport,1990,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),120222.3004660954
4.  Other sectors,1990,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),112116.01744990036
5.  Other,1990,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),5293.43745457813
B. Fugitive emissions from fuels,1990,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),6787.092391569139
1.  Solid fuels,1990,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),1698.561494434334
2.  Oil and natural gas and other emissions from energy production,1990,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),5088.530897134805
2.  Industrial processes and product use,1990,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),43192.569595049
A.  Mineral industry,1990,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),10234.924763495315
B.  Chemical industry,1990,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),6975.588848580359
C.  Metal industry,1990,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),25429.247347380857
D.  Non-energy products from fuels and solvent use ,1990,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),552.8086355924662
Total national emissions and removals,1991,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),614363.2203847475
1. Energy,1991,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),567624.8351479645
A. Fuel combustion     Reference approach(2),1991,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),561819.3001640907
                                           Sectoral approach(2),1991,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),561364.4952109663
1.  Energy industries,1991,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),235358.6178685517
2.  Manufacturing industries and construction                          ,1991,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),78754.59302728824
3.  Transport,1991,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),119332.13441367378
4.  Other sectors,1991,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),123617.75115968892
5.  Other,1991,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),4301.39874176371
B. Fugitive emissions from fuels,1991,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),6260.33993699822
1.  Solid fuels,1991,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),1312.1340809408694
2.  Oil and natural gas and other emissions from energy production,1991,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),4948.205856057351
2.  Industrial processes and product use,1991,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),40751.71190583415
A.  Mineral industry,1991,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),8516.932429211069
B.  Chemical industry,1991,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),7493.080241436179
C.  Metal industry,1991,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),24232.3036309544
D.  Non-energy products from fuels and solvent use ,1991,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),509.3956042325028
Total national emissions and removals,1992,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),597922.1096053956
1. Energy,1992,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),552920.4130407373
A. Fuel combustion     Reference approach(2),1992,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),551017.7827981057
                                           Sectoral approach(2),1992,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),546476.2099848527
1.  Energy industries,1992,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),224541.4516384572
2.  Manufacturing industries and construction                          ,1992,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),76523.4505846677
3.  Transport,1992,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),120729.88080780614
4.  Other sectors,1992,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),120586.33536095692
5.  Other,1992,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),4095.09159296483
B. Fugitive emissions from fuels,1992,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),6444.203055884522
1.  Solid fuels,1992,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),1122.560923379731
2.  Oil and natural gas and other emissions from energy production,1992,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),5321.64213250479
2.  Industrial processes and product use,1992,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),39962.87757134683
A.  Mineral industry,1992,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),7976.125129490574
B.  Chemical industry,1992,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),7456.115937121439
C.  Metal industry,1992,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),23019.003962862444
D.  Non-energy products from fuels and solvent use ,1992,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),1511.6325418723688
Total national emissions and removals,1993,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),583385.0584462105
1. Energy,1993,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),539546.6466957834
A. Fuel combustion     Reference approach(2),1993,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),532929.7716399181
                                           Sectoral approach(2),1993,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),532911.0132782923
1.  Energy industries,1993,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),208802.333708318
2.  Manufacturing industries and construction                          ,1993,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),74066.51052749823
3.  Transport,1993,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),121998.99797121914
4.  Other sectors,1993,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),123894.8655016057
5.  Other,1993,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),4148.30556965114
B. Fugitive emissions from fuels,1993,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),6635.633417491165
1.  Solid fuels,1993,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),1022.2091415743452
2.  Oil and natural gas and other emissions from energy production,1993,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),5613.42427591682
2.  Industrial processes and product use,1993,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),39558.08022770985
A.  Mineral industry,1993,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),7965.099800860758
B.  Chemical industry,1993,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),7425.547412528549
C.  Metal industry,1993,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),22471.20406027026
D.  Non-energy products from fuels and solvent use ,1993,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),1696.2289540502811
Total national emissions and removals,1994,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),577002.1620812862
1. Energy,1994,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),531410.7662984238
A. Fuel combustion     Reference approach(2),1994,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),524563.9573584192
                                           Sectoral approach(2),1994,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),523985.2463865404
1.  Energy industries,1994,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),204502.41875183812
2.  Manufacturing industries and construction                          ,1994,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),73103.39220920968
3.  Transport,1994,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),123412.65892346363
4.  Other sectors,1994,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),119000.13779905609
5.  Other,1994,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),3966.63870297274
B. Fugitive emissions from fuels,1994,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),7425.519911883423
1.  Solid fuels,1994,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),791.7676864289202
2.  Oil and natural gas and other emissions from energy production,1994,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),6633.752225454503
2.  Industrial processes and product use,1994,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),41887.94475758753
A.  Mineral industry,1994,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),9075.512596453364
B.  Chemical industry,1994,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),7715.727862139439
C.  Metal industry,1994,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),23456.046025778644
D.  Non-energy products from fuels and solvent use ,1994,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),1640.658273216084
Total national emissions and removals,1995,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),569166.3775157833
1. Energy,1995,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),522914.2198673837
A. Fuel combustion     Reference approach(2),1995,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),515536.4486177543
                                           Sectoral approach(2),1995,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),514573.0265494808
1.  Energy industries,1995,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),202492.538259512
2.  Manufacturing industries and construction                          ,1995,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),70344.6393880114
3.  Transport,1995,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),122840.36715227288
4.  Other sectors,1995,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),115002.34945380648
5.  Other,1995,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),3893.13229587805
B. Fugitive emissions from fuels,1995,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),8341.1933179029
1.  Solid fuels,1995,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),737.4210967891712
2.  Oil and natural gas and other emissions from energy production,1995,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),7603.772221113728
2.  Industrial processes and product use,1995,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),42581.24896397609
A.  Mineral industry,1995,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),9263.281723540988
B.  Chemical industry,1995,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),7762.113615267349
C.  Metal industry,1995,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),23989.84334057922
D.  Non-energy products from fuels and solvent use ,1995,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),1566.010284588537
Total national emissions and removals,1996,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),588829.4196382763
1. Energy,1996,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),541713.8072169732
A. Fuel combustion     Reference approach(2),1996,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),532342.6453999433
                                           Sectoral approach(2),1996,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),533006.9536396476
1.  Energy industries,1996,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),203508.5831342296
2.  Manufacturing industries and construction                          ,1996,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),70083.26340757462
3.  Transport,1996,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),127482.35530465136
4.  Other sectors,1996,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),128120.73624566932
5.  Other,1996,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),3812.01554752272
B. Fugitive emissions from fuels,1996,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),8706.853577325543
