Main_Category,Sub_Category,Detail_Category,Year,Sheet,GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Gas,Emissions_kt
Total national emissions and removals,Total national emissions and removals,,1990,Summary1As1_Combined,Total national emissions and removals,Net CO2 emissions/removals (kt),607337.2622038256
1. Energy,Energy,,1990,Summary1As1_Combined,1. Energy,Net CO2 emissions/removals (kt),557715.5029143459
Total national emissions and removals,Energy,A. Fuel combustion     Reference approach(2),1990,Summary1As1_Combined,A. Fuel combustion     Reference approach(2),Net CO2 emissions/removals (kt),546748.2517665874
Total national emissions and removals,Energy,                                           Sectoral approach(2),1990,Summary1As1_Combined,                                           Sectoral approach(2),Net CO2 emissions/removals (kt),550928.4105227769
Total national emissions and removals,Energy,1.  Energy industries,1990,Summary1As1_Combined,1.  Energy industries,Net CO2 emissions/removals (kt),238059.4909129977
Total national emissions and removals,Energy,2.  Manufacturing industries and construction                          ,1990,Summary1As1_Combined,2.  Manufacturing industries and construction                          ,Net CO2 emissions/removals (kt),75237.16423920529
Total national emissions and removals,Energy,3.  Transport,1990,Summary1As1_Combined,3.  Transport,Net CO2 emissions/removals (kt),120222.3004660954
Total national emissions and removals,Energy,4.  Other sectors,1990,Summary1As1_Combined,4.  Other sectors,Net CO2 emissions/removals (kt),112116.01744990036
Total national emissions and removals,Energy,5.  Other,1990,Summary1As1_Combined,5.  Other,Net CO2 emissions/removals (kt),5293.43745457813
Total national emissions and removals,Energy,B. Fugitive emissions from fuels,1990,Summary1As1_Combined,B. Fugitive emissions from fuels,Net CO2 emissions/removals (kt),6787.092391569139
Total national emissions and removals,Energy,1.  Solid fuels,1990,Summary1As1_Combined,1.  Solid fuels,Net CO2 emissions/removals (kt),1698.561494434334
Total national emissions and removals,Energy,2.  Oil and natural gas and other emissions from energy production,1990,Summary1As1_Combined,2.  Oil and natural gas and other emissions from energy production,Net CO2 emissions/removals (kt),5088.530897134805
2.  Industrial processes and product use,Industrial processes and product use,,1990,Summary1As1_Combined,2.  Industrial processes and product use,Net CO2 emissions/removals (kt),43192.569595049
Total national emissions and removals,Industrial processes and product use,A.  Mineral industry,1990,Summary1As1_Combined,A.  Mineral industry,Net CO2 emissions/removals (kt),10234.924763495315
Total national emissions and removals,Industrial processes and product use,B.  Chemical industry,1990,Summary1As1_Combined,B.  Chemical industry,Net CO2 emissions/removals (kt),6975.588848580359
Total national emissions and removals,Industrial processes and product use,C.  Metal industry,1990,Summary1As1_Combined,C.  Metal industry,Net CO2 emissions/removals (kt),25429.247347380857
Total national emissions and removals,Industrial processes and product use,D.  Non-energy products from fuels and solvent use ,1990,Summary1As1_Combined,D.  Non-energy products from fuels and solvent use ,Net CO2 emissions/removals (kt),552.8086355924662
Total national emissions and removals,Total national emissions and removals,,1991,Summary1As1_Combined,Total national emissions and removals,Net CO2 emissions/removals (kt),614363.2203847475
1. Energy,Energy,,1991,Summary1As1_Combined,1. Energy,Net CO2 emissions/removals (kt),567624.8351479645
Total national emissions and removals,Energy,A. Fuel combustion     Reference approach(2),1991,Summary1As1_Combined,A. Fuel combustion     Reference approach(2),Net CO2 emissions/removals (kt),561819.3001640907
Total national emissions and removals,Energy,                                           Sectoral approach(2),1991,Summary1As1_Combined,                                           Sectoral approach(2),Net CO2 emissions/removals (kt),561364.4952109663
Total national emissions and removals,Energy,1.  Energy industries,1991,Summary1As1_Combined,1.  Energy industries,Net CO2 emissions/removals (kt),235358.6178685517
Total national emissions and removals,Energy,2.  Manufacturing industries and construction                          ,1991,Summary1As1_Combined,2.  Manufacturing industries and construction                          ,Net CO2 emissions/removals (kt),78754.59302728824
Total national emissions and removals,Energy,3.  Transport,1991,Summary1As1_Combined,3.  Transport,Net CO2 emissions/removals (kt),119332.13441367378
Total national emissions and removals,Energy,4.  Other sectors,1991,Summary1As1_Combined,4.  Other sectors,Net CO2 emissions/removals (kt),123617.75115968892
Total national emissions and removals,Energy,5.  Other,1991,Summary1As1_Combined,5.  Other,Net CO2 emissions/removals (kt),4301.39874176371
Total national emissions and removals,Energy,B. Fugitive emissions from fuels,1991,Summary1As1_Combined,B. Fugitive emissions from fuels,Net CO2 emissions/removals (kt),6260.33993699822
Total national emissions and removals,Energy,1.  Solid fuels,1991,Summary1As1_Combined,1.  Solid fuels,Net CO2 emissions/removals (kt),1312.1340809408694
Total national emissions and removals,Energy,2.  Oil and natural gas and other emissions from energy production,1991,Summary1As1_Combined,2.  Oil and natural gas and other emissions from energy production,Net CO2 emissions/removals (kt),4948.205856057351
2.  Industrial processes and product use,Industrial processes and product use,,1991,Summary1As1_Combined,2.  Industrial processes and product use,Net CO2 emissions/removals (kt),40751.71190583415
Total national emissions and removals,Industrial processes and product use,A.  Mineral industry,1991,Summary1As1_Combined,A.  Mineral industry,Net CO2 emissions/removals (kt),8516.932429211069
Total national emissions and removals,Industrial processes and product use,B.  Chemical industry,1991,Summary1As1_Combined,B.  Chemical industry,Net CO2 emissions/removals (kt),7493.080241436179
Total national emissions and removals,Industrial processes and product use,C.  Metal industry,1991,Summary1As1_Combined,C.  Metal industry,Net CO2 emissions/removals (kt),24232.3036309544
Total national emissions and removals,Industrial processes and product use,D.  Non-energy products from fuels and solvent use ,1991,Summary1As1_Combined,D.  Non-energy products from fuels and solvent use ,Net CO2 emissions/removals (kt),509.3956042325028
Total national emissions and removals,Total national emissions and removals,,1992,Summary1As1_Combined,Total national emissions and removals,Net CO2 emissions/removals (kt),597922.1096053956
1. Energy,Energy,,1992,Summary1As1_Combined,1. Energy,Net CO2 emissions/removals (kt),552920.4130407373
Total national emissions and removals,Energy,A. Fuel combustion     Reference approach(2),1992,Summary1As1_Combined,A. Fuel combustion     Reference approach(2),Net CO2 emissions/removals (kt),551017.7827981057
