GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
1. Energy,50930.27386071236,48.29240983693243,1.44340141422582,,,,Summary1.As1,AUSTRIA,1990,Sector
2.  Industrial processes and product use,11123.04302322268,1.63464660968256,3.38312636929374,2.04228,1062.93487068,0.0206407183215,Summary1.As1,AUSTRIA,1990,Sector
1. Energy,54636.53672576826,43.62467882644655,1.57221096745328,,,,Summary1.As1,AUSTRIA,1991,Sector
2.  Industrial processes and product use,11018.120003403874,1.6201747294615,3.43228212511648,3.25872,1071.83620368,0.02693598431745,Summary1.As1,AUSTRIA,1991,Sector
1. Energy,50138.76634101181,42.7502304691628,1.52644262027059,,,,Summary1.As1,AUSTRIA,1992,Sector
2.  Industrial processes and product use,10025.947942947496,1.56762001945872,3.14266600277503,4.7185379877002,458.903007,0.0287838503134,Summary1.As1,AUSTRIA,1992,Sector
1. Energy,50549.083811296354,40.38463016641345,1.53761427391938,,,,Summary1.As1,AUSTRIA,1993,Sector
2.  Industrial processes and product use,10044.38540272371,1.59615183287869,3.27578848718256,214.8740470150422,57.32154,0.03263171630935,Summary1.As1,AUSTRIA,1993,Sector
1. Energy,50270.03523027171,33.49124256733369,1.53449363706812,,,,Summary1.As1,AUSTRIA,1994,Sector
2.  Industrial processes and product use,10702.561495896494,1.62381564471137,3.10319270990805,236.91022317786732,64.074753,0.04062164630529,Summary1.As1,AUSTRIA,1994,Sector
1. Energy,52776.66565294519,34.45586599477401,1.58573089729785,,,,Summary1.As1,AUSTRIA,1995,Sector
2.  Industrial processes and product use,11172.061786144912,1.62525340244677,3.20627889461761,324.0282159173458,75.27546,0.04825033830124,Summary1.As1,AUSTRIA,1995,Sector
1. Energy,56793.41939468368,33.5128227674586,1.68982005905087,,,,Summary1.As1,AUSTRIA,1996,Sector
2.  Industrial processes and product use,10503.555447456183,1.61769022935267,3.26123880874047,390.6483877079944,72.47259,0.05161840680773,Summary1.As1,AUSTRIA,1996,Sector
1. Energy,55724.41183354736,31.01673954514582,1.66739001069572,,,,Summary1.As1,AUSTRIA,1997,Sector
2.  Industrial processes and product use,11459.245223737304,1.65519008669403,3.22365837215399,473.1169459167848,106.082028,0.04764899009322,Summary1.As1,AUSTRIA,1997,Sector
1. Energy,55593.2533842248,30.27540409039958,1.68827295913444,,,,Summary1.As1,AUSTRIA,1998,Sector
2.  Industrial processes and product use,11222.225763099448,1.68879123719855,3.33380448306466,564.8131187757431,50.26959244806209,0.0381527353787,Summary1.As1,AUSTRIA,1998,Sector
1. Energy,54505.83937892422,30.34999753119722,1.71905448142221,,,,Summary1.As1,AUSTRIA,1999,Sector
2.  Industrial processes and product use,11067.23043428942,1.64262190481875,3.42002298285421,656.2808835762272,71.59071062207184,0.02966528311517,Summary1.As1,AUSTRIA,1999,Sector
1. Energy,53997.46415451067,29.87833984172872,1.72490573928915,,,,Summary1.As1,AUSTRIA,2000,Sector
2.  Industrial processes and product use,12072.522300179606,1.65787175557038,3.51086636929374,676.688295501741,79.60613,0.02519859929748,Summary1.As1,AUSTRIA,2000,Sector
1. Energy,58126.36185337144,30.41884068453375,1.80590186887354,,,,Summary1.As1,AUSTRIA,2001,Sector
2.  Industrial processes and product use,11940.38865579135,1.63502785804574,2.94012636929374,808.3351245419525,106.13455259289556,0.02760200467431,Summary1.As1,AUSTRIA,2001,Sector
1. Energy,59331.061694698175,29.07977605819777,1.79958683535927,,,,Summary1.As1,AUSTRIA,2002,Sector
2.  Industrial processes and product use,12534.943759538992,1.683177006864,2.96902636929374,957.2425893824368,93.06707759289554,0.02689916157961,Summary1.As1,AUSTRIA,2002,Sector
1. Energy,64830.58706275524,28.75703770903082,1.86566032614999,,,,Summary1.As1,AUSTRIA,2003,Sector
2.  Industrial processes and product use,12464.970723555609,1.61418582740987,3.17672636929374,1026.6529123455468,115.5888,0.02409836601945,Summary1.As1,AUSTRIA,2003,Sector
1. Energy,64971.648078109305,27.14277345453478,1.87683524264855,,,,Summary1.As1,AUSTRIA,2004,Sector
2.  Industrial processes and product use,12624.591595444555,1.62451606384546,1.19512636929374,1095.001573019456,145.05975,0.02122835978537,Summary1.As1,AUSTRIA,2004,Sector
1. Energy,65474.9900116915,25.78805486610587,1.9529931149398,,,,Summary1.As1,AUSTRIA,2005,Sector
2.  Industrial processes and product use,13514.466315540323,1.69938696728222,1.13552836929374,1103.516308075319,150.05916,0.0216502199242,Summary1.As1,AUSTRIA,2005,Sector
1. Energy,62652.1063368846,26.33093794939665,2.00734785461546,,,,Summary1.As1,AUSTRIA,2006,Sector
2.  Industrial processes and product use,14052.008183957969,2.17054743676999,1.12472636929374,1112.880839729307,156.329195,0.01988870378438,Summary1.As1,AUSTRIA,2006,Sector
1. Energy,59224.66000786771,25.96058344208733,2.02399541481412,,,,Summary1.As1,AUSTRIA,2007,Sector
2.  Industrial processes and product use,14775.008998279336,2.1689119274673,1.07912636929374,1161.8172614761677,208.70393,0.01609678319523,Summary1.As1,AUSTRIA,2007,Sector
1. Energy,58279.55458969087,25.41988396761655,2.03630238674305,,,,Summary1.As1,AUSTRIA,2008,Sector
2.  Industrial processes and product use,15085.083620722458,2.02433073418479,1.24712636929374,1207.526499598574,188.487792,0.01637870534682,Summary1.As1,AUSTRIA,2008,Sector
1. Energy,55155.21156333541,25.34796044481933,1.98819439513253,,,,Summary1.As1,AUSTRIA,2009,Sector
2.  Industrial processes and product use,12029.93097522316,1.97266915610906,0.69462636929374,1311.3137671101777,32.62974,0.01498590490266,Summary1.As1,AUSTRIA,2009,Sector
1. Energy,57970.9340814351,27.03138259902103,2.08805391539896,,,,Summary1.As1,AUSTRIA,2010,Sector
