GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),51612.11302387279,,,,,,Summary1.As1,AUSTRIA,1990,Subsector,1. Energy
                                           Sectoral approach(2),50828.11261121102,24.2988086521059,1.44340141422582,,,,Summary1.As1,AUSTRIA,1990,Subsector,1. Energy
1.  Energy industries,13960.690681609438,0.33354457160101,0.14144346165721,,,,Summary1.As1,AUSTRIA,1990,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,9533.190017819185,0.53751785806366,0.23048992349406,,,,Summary1.As1,AUSTRIA,1990,Subsector,1. Energy
3.  Transport,13756.177920171816,2.9692978067757,0.42487640059268,,,,Summary1.As1,AUSTRIA,1990,Subsector,1. Energy
4.  Other sectors,13543.04921062857,20.45727431372212,0.64378088367839,,,,Summary1.As1,AUSTRIA,1990,Subsector,1. Energy
5.  Other,35.004780982012,0.00117410194341,0.00281074480348,,,,Summary1.As1,AUSTRIA,1990,Subsector,1. Energy
B. Fugitive emissions from fuels,102.16124950134112,23.99360118482653,,,,,Summary1.As1,AUSTRIA,1990,Subsector,1. Energy
1.  Solid fuels,,13.328819602,,,,,Summary1.As1,AUSTRIA,1990,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,102.16124950134112,10.66478158282653,,,,,Summary1.As1,AUSTRIA,1990,Subsector,1. Energy
B.  Chemical industry,643.7983800940694,1.40414628559449,2.942,,,,Summary1.As1,AUSTRIA,1990,Subsector,2.  Industrial processes and product use
C.  Metal industry,7016.200483563808,0.23050032408807,,,1032.31732968,0.0106,Summary1.As1,AUSTRIA,1990,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,348.9393583525161,,,,,,Summary1.As1,AUSTRIA,1990,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,2.04228,30.617541,0.004272,Summary1.As1,AUSTRIA,1990,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,0.44112636929374,,,0.0057687183215,Summary1.As1,AUSTRIA,1990,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,,,,Summary1.As1,AUSTRIA,1990,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),55461.57851992367,,,,,,Summary1.As1,AUSTRIA,1991,Subsector,1. Energy
                                           Sectoral approach(2),54525.37499833511,25.29896990822125,1.57221096745328,,,,Summary1.As1,AUSTRIA,1991,Subsector,1. Energy
1.  Energy industries,14744.983446589096,0.35873115208326,0.15607924792287,,,,Summary1.As1,AUSTRIA,1991,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,9829.88295895149,0.58486218033643,0.25410746119948,,,,Summary1.As1,AUSTRIA,1991,Subsector,1. Energy
3.  Transport,15218.182527926649,3.0176427459118,0.47856871237188,,,,Summary1.As1,AUSTRIA,1991,Subsector,1. Energy
4.  Other sectors,14695.236863641672,21.33649226031696,0.68053860619692,,,,Summary1.As1,AUSTRIA,1991,Subsector,1. Energy
5.  Other,37.08920122620844,0.0012415695728,0.00291693976213,,,,Summary1.As1,AUSTRIA,1991,Subsector,1. Energy
B. Fugitive emissions from fuels,111.161727433146,18.3257089182253,,,,,Summary1.As1,AUSTRIA,1991,Subsector,1. Energy
1.  Solid fuels,,7.245427972,,,,,Summary1.As1,AUSTRIA,1991,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,111.161727433146,11.0802809462253,,,,,Summary1.As1,AUSTRIA,1991,Subsector,1. Energy
B.  Chemical industry,666.5246976032289,1.39581065487888,2.99115575582274,,,,Summary1.As1,AUSTRIA,1991,Subsector,2.  Industrial processes and product use
C.  Metal industry,7057.742664594038,0.22436407458262,,,1032.31732968,0.0116,Summary1.As1,AUSTRIA,1991,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,323.38922346556376,,,,,,Summary1.As1,AUSTRIA,1991,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,3.25872,39.518874,0.007332,Summary1.As1,AUSTRIA,1991,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,0.44112636929374,,,0.00800398431745,Summary1.As1,AUSTRIA,1991,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,,,,Summary1.As1,AUSTRIA,1991,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),51336.27617691839,,,,,,Summary1.As1,AUSTRIA,1992,Subsector,1. Energy
                                           Sectoral approach(2),50018.55806038451,23.06976834110424,1.52644262027059,,,,Summary1.As1,AUSTRIA,1992,Subsector,1. Energy
1.  Energy industries,11510.5790307491,0.34314320777607,0.12155903430193,,,,Summary1.As1,AUSTRIA,1992,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,9117.336947419177,0.57701395025831,0.26124051002298,,,,Summary1.As1,AUSTRIA,1992,Subsector,1. Energy
3.  Transport,15191.457546031404,2.7110457026363,0.4847230110067,,,,Summary1.As1,AUSTRIA,1992,Subsector,1. Energy
