GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),51256.02154592301,,,,,,Summary1.As1,AUT,1994,Subsector,1. Energy
                                           Sectoral approach(2),50142.320666494976,19.77807577569171,1.53449363706812,,,,Summary1.As1,AUT,1994,Subsector,1. Energy
1.  Energy industries,11873.979479786265,0.36112453642673,0.11503244875274,,,,Summary1.As1,AUT,1994,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,10012.37607640142,0.60039961267497,0.28420685295465,,,,Summary1.As1,AUT,1994,Subsector,1. Energy
3.  Transport,15372.67998976938,2.20486946366407,0.50056392521305,,,,Summary1.As1,AUT,1994,Subsector,1. Energy
4.  Other sectors,12841.722829631955,16.6102961565762,0.63146084215489,,,,Summary1.As1,AUT,1994,Subsector,1. Energy
5.  Other,41.56229090595377,0.00138600634974,0.00322956799279,,,,Summary1.As1,AUT,1994,Subsector,1. Energy
B. Fugitive emissions from fuels,127.7145637767334,13.71316679164198,,,,,Summary1.As1,AUT,1994,Subsector,1. Energy
1.  Solid fuels,,2.255039636,,,,,Summary1.As1,AUT,1994,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,127.7145637767334,11.45812715564198,,,,,Summary1.As1,AUT,1994,Subsector,1. Energy
