GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),52154.7815116839,,,,,,Summary1.As1,BELARUS,2019,Subsector,1. Energy
                                           Sectoral approach(2),56024.8387521,11.79328838805,1.86376028358,,,,Summary1.As1,BELARUS,2019,Subsector,1. Energy
1.  Energy industries,31578.3294605,1.293487869,0.1699374653,,,,Summary1.As1,BELARUS,2019,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,4771.41223585,0.3480967566,0.0541892074,,,,Summary1.As1,BELARUS,2019,Subsector,1. Energy
3.  Transport,12030.77275,2.39428169945,0.7480291178,,,,Summary1.As1,BELARUS,2019,Subsector,1. Energy
4.  Other sectors,6595.267085449999,7.358226423,0.8831022678,,,,Summary1.As1,BELARUS,2019,Subsector,1. Energy
5.  Other,1049.0572203000002,0.39919564,0.00850222528,,,,Summary1.As1,BELARUS,2019,Subsector,1. Energy
B. Fugitive emissions from fuels,6.33348003659171,110.86485531424486,1.00887872e-06,,,,Summary1.As1,BELARUS,2019,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,6.33348003659171,110.86485531424486,1.00887872e-06,,,,Summary1.As1,BELARUS,2019,Subsector,1. Energy
A.  Mineral industry,2828.2501538082247,,,,,,Summary1.As1,BELARUS,2019,Subsector,1. Energy
