GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent)
1. Energy,101610.65478296706,64.06967725941593,1.89506451696641,,,Summary1.As1,BELGIUM,1990,Sector,
2.  Industrial processes and product use,18203.904570872204,1.25418876,13.45287174428404,2034.77109,0.07091227385536,Summary1.As1,BELGIUM,1990,Sector,
1. Energy,105373.55566887451,59.35219238576116,1.96586224389505,,,Summary1.As1,BELGIUM,1991,Sector,
2.  Industrial processes and product use,17509.50900507809,1.20148159,13.12330120661335,1947.00799,0.06735293285536,Summary1.As1,BELGIUM,1991,Sector,
1. Energy,103897.95651764207,53.41341957624979,1.97380400384431,,,Summary1.As1,BELGIUM,1992,Sector,
2.  Industrial processes and product use,18101.08969351986,1.24338275,12.08399976284311,2122.96667,0.07441259185536,Summary1.As1,BELGIUM,1992,Sector,362.3538678017608
1. Energy,103738.86991871266,54.514651935969,1.97132741312538,,,Summary1.As1,BELGIUM,1993,Sector,
2.  Industrial processes and product use,17193.153524503254,1.34540016,12.87166554166358,2042.6101,0.07164725085536,Summary1.As1,BELGIUM,1993,Sector,368.8638186559506
1. Energy,105570.04858830415,48.38364800191947,2.08337490824052,,,Summary1.As1,BELGIUM,1994,Sector,
2.  Industrial processes and product use,18855.15260385029,1.39672193,14.54701052676575,2451.72534,0.08671005152203,Summary1.As1,BELGIUM,1994,Sector,387.82560687892726
1. Energy,105879.93859751712,48.38415442513119,2.09545640080815,,,Summary1.As1,BELGIUM,1995,Sector,
2.  Industrial processes and product use,19704.83352919044,1.30494708,15.68515243137632,2716.49636,0.09385945310151,Summary1.As1,BELGIUM,1995,Sector,449.3401217035251
1. Energy,110179.2585441974,48.50610428084852,2.22502375393484,,,Summary1.As1,BELGIUM,1996,Sector,
2.  Industrial processes and product use,18947.876599874468,1.34457112,17.12353041853077,2578.44105,0.09034588888072,Summary1.As1,BELGIUM,1996,Sector,539.2694303185715
1. Energy,104440.05122291647,45.31742346573589,2.2415144525406,,,Summary1.As1,BELGIUM,1997,Sector,
2.  Industrial processes and product use,19194.67330011834,1.39133778,16.08563820767509,1437.5097961209965,0.02364522045713,Summary1.As1,BELGIUM,1997,Sector,657.9259885412254
1. Energy,108855.9085219713,43.75896678644358,2.29192003919912,,,Summary1.As1,BELGIUM,1998,Sector,
2.  Industrial processes and product use,21038.28922245724,1.42060896,16.27300299355293,788.687234190918,0.01299171001444,Summary1.As1,BELGIUM,1998,Sector,813.7459068535223
1. Energy,103537.84574721576,43.21477967390782,2.24174630763309,,,Summary1.As1,BELGIUM,1999,Sector,
2.  Industrial processes and product use,20810.410497679077,1.559887,15.7592985172302,387.4480082613394,0.00675107306197,Summary1.As1,BELGIUM,1999,Sector,887.9475460169616
1. Energy,104407.40293898458,42.1345392097055,2.35205223187551,,,Summary1.As1,BELGIUM,2000,Sector,
2.  Industrial processes and product use,21937.7487250346,1.58407011,15.25397964279701,403.2510667427323,0.00633315132874,Summary1.As1,BELGIUM,2000,Sector,1088.7311120974323
