GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent)
A. Fuel combustion     Reference approach(2),91845.97056946676,,,,,Summary1.As1,BELGIUM,1990,Subsector,1. Energy,
                                           Sectoral approach(2),101525.75050004951,17.93907501560105,1.89506451696641,,,Summary1.As1,BELGIUM,1990,Subsector,1. Energy,
1.  Energy industries,29547.247931982765,0.79123052596103,0.59944900303146,,,Summary1.As1,BELGIUM,1990,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,23387.67231585565,1.2691080536606,0.39208860945401,,,Summary1.As1,BELGIUM,1990,Subsector,1. Energy,
3.  Transport,20610.44290513469,5.62050528227136,0.59497618916257,,,Summary1.As1,BELGIUM,1990,Subsector,1. Energy,
4.  Other sectors,27808.45417528153,10.25780875617973,0.3029439145845,,,Summary1.As1,BELGIUM,1990,Subsector,1. Energy,
5.  Other,171.9331717948699,0.00042239752833,0.00560680073387,,,Summary1.As1,BELGIUM,1990,Subsector,1. Energy,
B. Fugitive emissions from fuels,84.90428291754507,46.13060224381488,,,,Summary1.As1,BELGIUM,1990,Subsector,1. Energy,
1.  Solid fuels,0.32993,17.2971,,,,Summary1.As1,BELGIUM,1990,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,84.57435291754508,28.83350224381488,,,,Summary1.As1,BELGIUM,1990,Subsector,1. Energy,
B.  Chemical industry,2590.3062081612898,0.70760552,12.773648,2034.77109,0.065245,Summary1.As1,BELGIUM,1990,Subsector,2.  Industrial processes and product use,
C.  Metal industry,10091.924835037516,0.54658324,,,,Summary1.As1,BELGIUM,1990,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,201.8548861724781,,,,,Summary1.As1,BELGIUM,1990,Subsector,2.  Industrial processes and product use,
G.  Other product manufacture and use ,,,0.67922374428404,,0.00566727385536,Summary1.As1,BELGIUM,1990,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,Summary1.As1,BELGIUM,1990,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),96414.74332453344,,,,,Summary1.As1,BELGIUM,1991,Subsector,1. Energy,
                                           Sectoral approach(2),105290.01339489644,19.16883931289279,1.96586224389505,,,Summary1.As1,BELGIUM,1991,Subsector,1. Energy,
1.  Energy industries,29965.246526920582,0.77789331665738,0.65468687649573,,,Summary1.As1,BELGIUM,1991,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,23648.292398419635,1.20139207612093,0.38220938191067,,,Summary1.As1,BELGIUM,1991,Subsector,1. Energy,
3.  Transport,20787.66740968697,5.66864526828372,0.59419570974151,,,Summary1.As1,BELGIUM,1991,Subsector,1. Energy,
4.  Other sectors,30682.37626378408,11.51980174212353,0.32775915994988,,,Summary1.As1,BELGIUM,1991,Subsector,1. Energy,
5.  Other,206.43079608517172,0.00110690970723,0.00701111579726,,,Summary1.As1,BELGIUM,1991,Subsector,1. Energy,
B. Fugitive emissions from fuels,83.54227397808575,40.18335307286837,,,,Summary1.As1,BELGIUM,1991,Subsector,1. Energy,
1.  Solid fuels,0.28635,11.55181,,,,Summary1.As1,BELGIUM,1991,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,83.25592397808575,28.63154307286837,,,,Summary1.As1,BELGIUM,1991,Subsector,1. Energy,
B.  Chemical industry,2557.5248306344088,0.70432283,12.45014195,1947.00799,0.061637,Summary1.As1,BELGIUM,1991,Subsector,2.  Industrial processes and product use,
C.  Metal industry,9582.427222551338,0.49715876,,,,Summary1.As1,BELGIUM,1991,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,171.09392813075385,,,,,Summary1.As1,BELGIUM,1991,Subsector,2.  Industrial processes and product use,
