GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent)
Total national emissions and removals,117350.67586257723,460.7188609381728,33.79784539121838,2034.77109,0.07091227385536,Summary1.As1,BELGIUM,1990,Total,
Total national emissions and removals,120882.28804539808,459.12191712542113,33.36409997601004,1947.00799,0.06735293285536,Summary1.As1,BELGIUM,1991,Total,
Total national emissions and removals,120184.71558870364,456.02941122969065,32.45203129718335,2122.96667,0.07441259185536,Summary1.As1,BELGIUM,1992,Total,362.3538678017608
Total national emissions and removals,119099.6927638333,448.1363573239045,33.38534200817158,2042.6101,0.07164725085536,Summary1.As1,BELGIUM,1993,Total,368.8638186559506
Total national emissions and removals,122720.91024572568,449.3737553282797,34.75344293203865,2451.72534,0.08671005152203,Summary1.As1,BELGIUM,1994,Total,387.82560687892726
Total national emissions and removals,123628.26451298746,451.9221496583464,36.38617294528563,2716.49636,0.09385945310151,Summary1.As1,BELGIUM,1995,Total,449.3401217035251
Total national emissions and removals,126960.91121526656,446.674393494206,37.883713044437,2578.44105,0.09034588888072,Summary1.As1,BELGIUM,1996,Total,539.2694303185715
Total national emissions and removals,121930.12507169328,441.74975001936167,37.13785019280892,1437.5097961209965,0.02364522045713,Summary1.As1,BELGIUM,1997,Total,657.9259885412254
Total national emissions and removals,127603.11050970908,434.8050054039601,36.76375674639093,788.687234190918,0.01299171001444,Summary1.As1,BELGIUM,1998,Total,813.7459068535223
Total national emissions and removals,122534.59694949847,425.1976381142819,36.79595606091669,387.4480082613394,0.00675107306197,Summary1.As1,BELGIUM,1999,Total,887.9475460169616
Total national emissions and removals,124992.9018381644,408.71227612170406,34.39055414719237,403.2510667427323,0.00633315132874,Summary1.As1,BELGIUM,2000,Total,1088.7311120974323
Total national emissions and removals,124505.33229299128,391.8786828198547,33.0959562798401,240.0794044839857,0.0061191750592,Summary1.As1,BELGIUM,2001,Total,1172.2529737286166
Total national emissions and removals,124705.88305063588,375.84059172884304,31.94830194961066,90.94790448398572,0.00511330213133,Summary1.As1,BELGIUM,2002,Total,1401.0190666445162
Total national emissions and removals,126193.60847635395,355.06855848476954,28.94162773818506,232.1680104839857,0.00448610182149,Summary1.As1,BELGIUM,2003,Total,1587.6681802049548
Total national emissions and removals,126987.64368422463,352.7481077316647,29.58766256261882,346.82626301620905,0.00397160187836,Summary1.As1,BELGIUM,2004,Total,1672.8204464123796
Total national emissions and removals,123781.61337378972,343.9340654131945,28.77874248229009,155.81231004814265,0.00399308874028,Summary1.As1,BELGIUM,2005,Total,2365.327651880896
Total national emissions and removals,122046.699482317,340.4542504347639,25.43884372888055,104.46237124705318,0.00338491348411,Summary1.As1,BELGIUM,2006,Total,2469.1856220325126
Total national emissions and removals,118935.8409151459,336.28946413722537,23.65622018424914,110.58554950853774,0.00348324923677,Summary1.As1,BELGIUM,2007,Total,2838.179695640684
Total national emissions and removals,118713.00560092408,329.5991866216901,23.56594205640732,554.3484761864512,0.00383688162714,Summary1.As1,BELGIUM,2008,Total,2833.573945371394
Total national emissions and removals,106477.9561973789,327.03888510281166,23.9089764492667,446.73615625349953,0.00410181755303,Summary1.As1,BELGIUM,2009,Total,2731.8741687144875
Total national emissions and removals,114144.11676599468,325.8307987491824,25.63860055268592,95.5951368860873,0.00460318748077,Summary1.As1,BELGIUM,2010,Total,3015.444859707614
Total national emissions and removals,104673.64956029278,316.53597597587066,21.61672589724486,151.49560661313427,0.00479551927017,Summary1.As1,BELGIUM,2011,Total,3370.044936753493
Total national emissions and removals,102025.22296740324,314.9731759707665,21.51858882678827,115.15520412513877,0.00488420270491,Summary1.As1,BELGIUM,2012,Total,3389.48353331818
Total national emissions and removals,101688.14556434244,308.9432044058795,20.97672914110877,128.27755498581843,0.00514561628037,Summary1.As1,BELGIUM,2013,Total,3452.0414201238164
Total national emissions and removals,96019.84947693424,302.7724087458115,20.9901520608921,126.15507090690087,0.00417680027395,Summary1.As1,BELGIUM,2014,Total,3686.908911476261
Total national emissions and removals,100187.52834925702,303.1138687924899,20.49042427273161,137.54304256974663,0.00406290498175,Summary1.As1,BELGIUM,2015,Total,3795.65163356018
Total national emissions and removals,98751.86369835284,301.6483834975127,19.57841435902396,388.4359867831237,0.00427538543243,Summary1.As1,BELGIUM,2016,Total,3775.2686046828535
Total national emissions and removals,98306.1300694894,295.11404187289696,20.17706486948344,169.60723992527946,0.00445197978722,Summary1.As1,BELGIUM,2017,Total,4072.862316240106
Total national emissions and removals,99254.56805291132,292.1855905687296,19.30275611130566,121.19206205144116,0.00416055030039,Summary1.As1,BELGIUM,2018,Total,4206.094633746707
Total national emissions and removals,98884.40155934934,289.1407676917641,19.06249271101029,139.0855281664227,0.00464914486718,Summary1.As1,BELGIUM,2019,Total,3701.949200477159
Total national emissions and removals,90662.49286830824,284.70027166998005,18.45829840393723,184.803342650432,0.00456640619728,Summary1.As1,BELGIUM,2020,Total,3111.956793801984
Total national emissions and removals,95240.46824780716,281.08545135611297,18.24964468320287,182.00031504134571,0.0040763154608,Summary1.As1,BELGIUM,2021,Total,2397.303672505465
