GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),96414.74332453343,,,,,Summary1.As1,BELGIUM,1991,Subsector,1. Energy
                                           Sectoral approach(2),105290.01339489644,19.16883931289279,1.96586224389505,,,Summary1.As1,BELGIUM,1991,Subsector,1. Energy
1.  Energy industries,29965.246526920586,0.77789331665738,0.65468687649573,,,Summary1.As1,BELGIUM,1991,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,23648.292398419635,1.20139207612093,0.38220938191067,,,Summary1.As1,BELGIUM,1991,Subsector,1. Energy
3.  Transport,20787.66740968697,5.66864526828372,0.59419570974151,,,Summary1.As1,BELGIUM,1991,Subsector,1. Energy
4.  Other sectors,30682.37626378408,11.51980174212353,0.32775915994988,,,Summary1.As1,BELGIUM,1991,Subsector,1. Energy
5.  Other,206.43079608517175,0.00110690970723,0.00701111579726,,,Summary1.As1,BELGIUM,1991,Subsector,1. Energy
B. Fugitive emissions from fuels,83.54227397808575,40.18335307286837,,,,Summary1.As1,BELGIUM,1991,Subsector,1. Energy
1.  Solid fuels,0.28635,11.55181,,,,Summary1.As1,BELGIUM,1991,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,83.25592397808575,28.63154307286837,,,,Summary1.As1,BELGIUM,1991,Subsector,1. Energy
