GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),95483.01846614675,,,,,,Summary1.As1,BELGIUM,2002,Subsector,1. Energy
                                           Sectoral approach(2),105125.446494405,14.12436313746298,2.28566707059434,,,,Summary1.As1,BELGIUM,2002,Subsector,1. Energy
1.  Energy industries,27412.421693236218,1.54993316562134,0.70055582499556,,,,Summary1.As1,BELGIUM,2002,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,20761.57991476362,1.59587921017454,0.3950982551091,,,,Summary1.As1,BELGIUM,2002,Subsector,1. Energy
3.  Transport,25558.78752625609,2.86370968929964,0.83706865935487,,,,Summary1.As1,BELGIUM,2002,Subsector,1. Energy
4.  Other sectors,31167.52179986233,8.1029364343749,0.34534846757021,,,,Summary1.As1,BELGIUM,2002,Subsector,1. Energy
5.  Other,225.1355602867466,0.01190463799256,0.0075958635646,,,,Summary1.As1,BELGIUM,2002,Subsector,1. Energy
B. Fugitive emissions from fuels,153.04264562244384,26.10782904868993,,,,,Summary1.As1,BELGIUM,2002,Subsector,1. Energy
1.  Solid fuels,0.12039,2.57388,,,,,Summary1.As1,BELGIUM,2002,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,152.92225562244383,23.53394904868993,,,,,Summary1.As1,BELGIUM,2002,Subsector,1. Energy
