GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt)
1. Energy,100952.065966547,138.4549740800229,2.939088498,Summary1.As1,BLR,1990,Sector,,,
2.  Industrial processes and product use,4913.333216683936,1.451028,2.40984652698115,Summary1.As1,BLR,1990,Sector,,,
1. Energy,97077.71214804766,132.6724716027523,3.03422159,Summary1.As1,BLR,1991,Sector,,,
2.  Industrial processes and product use,4779.911515284541,1.431024,2.30283480931757,Summary1.As1,BLR,1991,Sector,,,
1. Energy,87076.07084077247,131.25318536614677,2.735737064,Summary1.As1,BLR,1992,Sector,,,
2.  Industrial processes and product use,4423.338953898462,1.2834,2.06582309165399,Summary1.As1,BLR,1992,Sector,,,
1. Energy,75444.0681617562,125.12988540546787,2.882204958,Summary1.As1,BLR,1993,Sector,,,
2.  Industrial processes and product use,3477.7744381784005,1.054254,1.6723113739904,Summary1.As1,BLR,1993,Sector,,,
1. Energy,64101.9184462342,119.3557455841835,1.88918711,Summary1.As1,BLR,1994,Sector,,,
2.  Industrial processes and product use,2790.067990254439,1.041288,1.47479965632682,Summary1.As1,BLR,1994,Sector,,,
1. Energy,56866.40376688266,113.85271372794035,1.715692174,Summary1.As1,BLR,1995,Sector,,,
2.  Industrial processes and product use,2947.189194036974,1.01466,1.83828793866323,Summary1.As1,BLR,1995,Sector,3.884244938319,18.680237793756,0.000207975
1. Energy,57683.023002501686,114.5076276378945,1.727182966,Summary1.As1,BLR,1996,Sector,,,
2.  Industrial processes and product use,2936.9161138489985,1.042578,1.82870433196769,Summary1.As1,BLR,1996,Sector,4.279706641038,18.680237793756,0.00020839
1. Energy,57137.463694057806,118.4326269132156,1.730498444,Summary1.As1,BLR,1997,Sector,,,
2.  Industrial processes and product use,3143.64730816938,1.42036486,1.80012072527215,Summary1.As1,BLR,1997,Sector,4.61523507243,18.680237793756,0.000210415
1. Energy,55351.2950424443,116.76792749468348,1.67539101,Summary1.As1,BLR,1998,Sector,,,
2.  Industrial processes and product use,3532.9853365444737,1.606278,1.80353711857661,Summary1.As1,BLR,1998,Sector,5.0432459947537,18.680237793756,0.000210805
1. Energy,53394.35010271135,117.65225189615136,1.593444134,Summary1.As1,BLR,1999,Sector,,,
2.  Industrial processes and product use,3675.070488077459,1.690671,1.99895351188107,Summary1.As1,BLR,1999,Sector,5.38084889487095,18.680237793756,0.00021179
1. Energy,50631.62848387898,124.79034302940366,1.580564242,Summary1.As1,BLR,2000,Sector,,,
2.  Industrial processes and product use,3447.6387777242976,1.85706,2.12936990518553,Summary1.As1,BLR,2000,Sector,9.12683176598975,18.680237793756,0.00021215
1. Energy,49693.81594988691,123.36217153055046,1.537421764,Summary1.As1,BLR,2001,Sector,,,
2.  Industrial processes and product use,3415.3734473984264,1.952541,2.10869963853447,Summary1.As1,BLR,2001,Sector,13.21811205158175,18.680237793756,0.00021275
1. Energy,49441.48067905474,124.09701236647248,1.497823966,Summary1.As1,BLR,2002,Sector,,,
2.  Industrial processes and product use,3423.1134100353243,1.90911,2.11502937188341,Summary1.As1,BLR,2002,Sector,16.41264787827065,18.680237793756,0.00021308
1. Energy,49998.95102676682,125.0121721488078,1.5316876558,Summary1.As1,BLR,2003,Sector,,,
2.  Industrial processes and product use,3757.7406120291735,2.046831,2.17635910523235,Summary1.As1,BLR,2003,Sector,19.82371587125643,18.680237793756,0.000215125
1. Energy,52972.80575618999,128.0709982954592,1.5998340658,Summary1.As1,BLR,2004,Sector,,,
2.  Industrial processes and product use,3922.716587667279,2.064514,2.17668883858129,Summary1.As1,BLR,2004,Sector,29.14499017239516,18.680237793756,0.00021863
1. Energy,53573.15844646275,127.10207586853257,1.73924685468,Summary1.As1,BLR,2005,Sector,,,
2.  Industrial processes and product use,4200.482547434324,2.410055,2.20401857193024,Summary1.As1,BLR,2005,Sector,33.79421201994491,18.680237793756,0.0002234
1. Energy,55807.559747689054,131.89496561100964,1.89968867736,Summary1.As1,BLR,2006,Sector,,,
2.  Industrial processes and product use,4503.9995949813165,2.661944,2.28670872527215,Summary1.As1,BLR,2006,Sector,37.89844766899091,18.20376072575017,0.000222157092
1. Energy,54149.81318246778,128.85632907560597,1.9375492102,Summary1.As1,BLR,2007,Sector,,,
2.  Industrial processes and product use,4658.535290141799,2.734573,2.43181640875571,Summary1.As1,BLR,2007,Sector,45.87027253742885,17.67434176129926,0.000220449972
1. Energy,56667.54722013913,129.8447979668812,2.15368793344,Summary1.As1,BLR,2008,Sector,,,
2.  Industrial processes and product use,4810.397274217106,3.020268,2.34034290530259,Summary1.As1,BLR,2008,Sector,53.12483798124885,17.14492279684834,0.000245787852
1. Energy,54608.44751871748,122.76653684628486,1.8650807442,Summary1.As1,BLR,2009,Sector,,,
2.  Industrial processes and product use,4744.523921400139,2.744394,2.30048781224394,Summary1.As1,BLR,2009,Sector,65.26592135912885,16.61550383239742,0.000248646232
1. Energy,56143.0080141381,129.54052800298211,1.79372116424,Summary1.As1,BLR,2010,Sector,,,
2.  Industrial processes and product use,4901.206009420129,3.022564,2.64601728900855,Summary1.As1,BLR,2010,Sector,80.63393051179885,16.08608486794651,0.000271013612
1. Energy,55126.08481340303,125.3741699860555,1.93806841872,Summary1.As1,BLR,2011,Sector,,,
2.  Industrial processes and product use,4902.0731554748045,3.134962,2.53435739201686,Summary1.As1,BLR,2011,Sector,89.88169306527385,15.55666590349559,0.000274171492
1. Energy,56223.37882467154,125.16567924598948,1.41161324744,Summary1.As1,BLR,2012,Sector,,,
2.  Industrial processes and product use,4983.078332615874,3.22844386,2.4779772234578,Summary1.As1,BLR,2012,Sector,113.04055920443884,15.02724693904467,0.000275139372
1. Energy,58008.87935218893,120.77293320398302,1.86984917234,Summary1.As1,BLR,2013,Sector,,,
2.  Industrial processes and product use,5155.866711408001,2.75067634,2.54221972843264,Summary1.As1,BLR,2013,Sector,125.71030804594383,14.49782797459376,0.000271478252
1. Energy,57007.53693519664,121.93875090585,1.80728387814,Summary1.As1,BLR,2014,Sector,,,
2.  Industrial processes and product use,5484.232313184692,2.9643072,2.49297153927192,Summary1.As1,BLR,2014,Sector,146.73089189274515,13.96840901014284,0.000261905132
1. Energy,52789.69148342759,117.91547480518396,1.677782496498,Summary1.As1,BLR,2015,Sector,,,
2.  Industrial processes and product use,5005.828983923393,2.94357162,2.56393857895353,Summary1.As1,BLR,2015,Sector,164.4218707227189,13.91546711369775,0.00026518092
1. Energy,52482.47562457699,116.31867049546632,1.65496188947464,Summary1.As1,BLR,2016,Sector,,,
2.  Industrial processes and product use,4689.626468838324,2.5246107,2.35056551562683,Summary1.As1,BLR,2016,Sector,172.38367493397212,13.24011317176975,0.00026739963
1. Energy,53517.22117289014,121.1419662987354,1.80836963841068,Summary1.As1,BLR,2017,Sector,,,
