GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt)
A. Fuel combustion     Reference approach(2),105571.57572316469,,,Summary1.As1,BLR,1990,Subsector,1. Energy,,,
                                           Sectoral approach(2),100944.8832695,21.1154722025,2.939086142,Summary1.As1,BLR,1990,Subsector,1. Energy,,,
1.  Energy industries,62033.97725099999,1.8280139,0.376461912,Summary1.As1,BLR,1990,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,8439.019479999999,0.29187984,0.053886742,Summary1.As1,BLR,1990,Subsector,1. Energy,,,
3.  Transport,12112.0586265,3.6663755625,1.091122032,Summary1.As1,BLR,1990,Subsector,1. Energy,,,
4.  Other sectors,16890.7295425,14.5197628,1.40652513,Summary1.As1,BLR,1990,Subsector,1. Energy,,,
5.  Other,1469.0983695,0.8094401,0.011090326,Summary1.As1,BLR,1990,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,7.18269704699424,117.33950187752292,2.356e-06,Summary1.As1,BLR,1990,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,7.18269704699424,117.33950187752292,2.356e-06,Summary1.As1,BLR,1990,Subsector,1. Energy,,,
A.  Mineral industry,2315.315155384265,,,Summary1.As1,BLR,1990,Subsector,1. Energy,,,
C.  Metal industry,88.984,1.00107,,Summary1.As1,BLR,1990,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,1.12024,,,Summary1.As1,BLR,1990,Subsector,2.  Industrial processes and product use,,,
G.  Other product manufacture and use ,,,0.24,Summary1.As1,BLR,1990,Subsector,2.  Industrial processes and product use,,,
H.  Other(3),,,,Summary1.As1,BLR,1990,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),105772.46668480788,,,Summary1.As1,BLR,1991,Subsector,1. Energy,,,
                                           Sectoral approach(2),97070.845391,20.99816855,3.034219538,Summary1.As1,BLR,1991,Subsector,1. Energy,,,
1.  Energy industries,58316.014639,1.71636184,0.355682356,Summary1.As1,BLR,1991,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,8211.858907,0.2841089,0.052209536,Summary1.As1,BLR,1991,Subsector,1. Energy,,,
3.  Transport,12999.554325,4.02507805,1.107974748,Summary1.As1,BLR,1991,Subsector,1. Energy,,,
4.  Other sectors,16112.571578,14.08131786,1.506974604,Summary1.As1,BLR,1991,Subsector,1. Energy,,,
5.  Other,1430.845942,0.8913019,0.011378294,Summary1.As1,BLR,1991,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,6.866757047656,111.6743030527523,2.052e-06,Summary1.As1,BLR,1991,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,6.866757047656,111.6743030527523,2.052e-06,Summary1.As1,BLR,1991,Subsector,1. Energy,,,
A.  Mineral industry,2226.2634614563776,,,Summary1.As1,BLR,1991,Subsector,1. Energy,,,
C.  Metal industry,89.848,1.01079,,Summary1.As1,BLR,1991,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,2.15341573333333,,,Summary1.As1,BLR,1991,Subsector,2.  Industrial processes and product use,,,
G.  Other product manufacture and use ,,,0.2335,Summary1.As1,BLR,1991,Subsector,2.  Industrial processes and product use,,,
H.  Other(3),,,,Summary1.As1,BLR,1991,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),87747.00683816463,,,Summary1.As1,BLR,1992,Subsector,1. Energy,,,
                                           Sectoral approach(2),87069.1558985,17.97497839,2.73573524,Summary1.As1,BLR,1992,Subsector,1. Energy,,,
1.  Energy industries,54493.333817,1.43322162,0.28280382,Summary1.As1,BLR,1992,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,5466.0489555,0.17390867,0.030643448,Summary1.As1,BLR,1992,Subsector,1. Energy,,,
3.  Transport,11862.554464,3.574732685,1.041845806,Summary1.As1,BLR,1992,Subsector,1. Energy,,,
4.  Other sectors,14316.406414,11.910523815,1.372530918,Summary1.As1,BLR,1992,Subsector,1. Energy,,,
5.  Other,930.812248,0.8825916,0.007911248,Summary1.As1,BLR,1992,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,6.91494227246515,113.27820697614678,1.824e-06,Summary1.As1,BLR,1992,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,6.91494227246515,113.27820697614678,1.824e-06,Summary1.As1,BLR,1992,Subsector,1. Energy,,,
