GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),48370.66058110406,,,,,,Summary1.As1,BLR,2016,Subsector,1. Energy
                                           Sectoral approach(2),52476.4126732,10.87763681245,1.6549610277,,,,Summary1.As1,BLR,2016,Subsector,1. Energy
1.  Energy industries,29507.9359293,1.202309764,0.160925536,,,,Summary1.As1,BLR,2016,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,4355.130494399999,0.297665711,0.0467017019,,,,Summary1.As1,BLR,2016,Subsector,1. Energy
3.  Transport,10929.861602,2.21538718445,0.6737160348,,,,Summary1.As1,BLR,2016,Subsector,1. Energy
4.  Other sectors,6475.365081,6.747681803,0.7639464986,,,,Summary1.As1,BLR,2016,Subsector,1. Energy
5.  Other,1208.1195665000014,0.41459235,0.0096712564,,,,Summary1.As1,BLR,2016,Subsector,1. Energy
B. Fugitive emissions from fuels,6.06295137698531,105.44103368301631,8.6177464e-07,,,,Summary1.As1,BLR,2016,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,6.06295137698531,105.44103368301631,8.6177464e-07,,,,Summary1.As1,BLR,2016,Subsector,1. Energy
A.  Mineral industry,2735.4029097892967,,,,,,Summary1.As1,BLR,2016,Subsector,1. Energy
