GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent),PFCs(1)
1. Energy,78087.54665615669,107.48869628048736,1.75556518235804,,Summary1.As1,BULGARIA,1988,Sector,,
2.  Industrial processes and product use,11367.900010085128,2.0852977852,6.59271505854099,0.00014473741768,Summary1.As1,BULGARIA,1988,Sector,,
1. Energy,77624.06748223653,107.92274418432656,1.7655423572613,,Summary1.As1,BULGARIA,1989,Sector,,
2.  Industrial processes and product use,10365.327162758607,2.070983138,5.87518356858878,0.00015313218791,Summary1.As1,BULGARIA,1989,Sector,,
1. Energy,68272.82151076492,99.7260337761469,1.68649986640786,,Summary1.As1,BULGARIA,1990,Sector,,
2.  Industrial processes and product use,8271.256161752155,1.5965553418,5.6375695903346,0.00016201385481,Summary1.As1,BULGARIA,1990,Sector,,
1. Energy,54779.06134860928,84.4565897340453,1.27086050287941,,Summary1.As1,BULGARIA,1991,Sector,,
2.  Industrial processes and product use,6607.523511674618,1.2226026748,3.90916665937439,0.00017141065839,Summary1.As1,BULGARIA,1991,Sector,0.00285051,
1. Energy,51720.72770910632,93.79981037802094,1.15287621318375,,Summary1.As1,BULGARIA,1992,Sector,,
2.  Industrial processes and product use,5522.888054381074,1.1407444356,3.31182756671859,0.00018135247657,Summary1.As1,BULGARIA,1992,Sector,0.00971063847,
1. Energy,52376.56008344455,94.66098605590464,1.15740812988772,,Summary1.As1,BULGARIA,1993,Sector,,
2.  Industrial processes and product use,5920.646649924785,1.3158734204,2.93145657148649,0.00019187092021,Summary1.As1,BULGARIA,1993,Sector,0.02094275655459,
1. Energy,48908.92306493973,87.49256647455736,1.08068208226732,,Summary1.As1,BULGARIA,1994,Sector,,
2.  Industrial processes and product use,7387.058486451323,1.788735126,3.15905306059371,0.00020299943359,Summary1.As1,BULGARIA,1994,Sector,0.99706864828493,
1. Energy,48868.98762253602,89.74376147515284,1.06635511221236,,Summary1.As1,BULGARIA,1995,Sector,,
2.  Industrial processes and product use,8977.513583654338,1.958678939,4.64147419317669,0.00021477340073,Summary1.As1,BULGARIA,1995,Sector,3.02608617434007,
1. Energy,49598.26103852658,89.73324148444432,1.07512858849449,,Summary1.As1,BULGARIA,1996,Sector,,
2.  Industrial processes and product use,8797.431074316584,1.9277625942,4.77596124944217,0.00022723025798,Summary1.As1,BULGARIA,1996,Sector,5.31400560627705,
1. Energy,47395.462605485394,81.54495939218467,1.00106130309327,,Summary1.As1,BULGARIA,1997,Sector,,
2.  Industrial processes and product use,8349.281340037911,2.059204143,3.600848602127,0.00024040961294,Summary1.As1,BULGARIA,1997,Sector,8.44277849691622,
1. Energy,46694.413224902935,72.8903647729854,1.04947785360496,,Summary1.As1,BULGARIA,1998,Sector,,
2.  Industrial processes and product use,6348.643293239711,1.771850916,2.21827269311503,0.00025435337049,Summary1.As1,BULGARIA,1998,Sector,12.71944214819437,
1. Energy,40668.07916752041,60.02107930771395,0.97876306687841,,Summary1.As1,BULGARIA,1999,Sector,,
2.  Industrial processes and product use,5579.740427560621,1.483157404,1.85406797225035,0.00026910586598,Summary1.As1,BULGARIA,1999,Sector,19.67248232376304,
1. Energy,39050.08444519058,63.40262696346545,0.96691302439313,,Summary1.As1,BULGARIA,2000,Sector,,
2.  Industrial processes and product use,6258.365914359062,1.5046302264,2.74859690328355,0.00028471400621,Summary1.As1,BULGARIA,2000,Sector,32.69203016179076,
1. Energy,42646.08253215464,57.52274078465831,0.99448965534154,,Summary1.As1,BULGARIA,2001,Sector,,
2.  Industrial processes and product use,6191.388645472298,1.517050844,2.7574291614183,0.00030122741857,Summary1.As1,BULGARIA,2001,Sector,46.22712445308784,
1. Energy,40419.91120941746,70.72890290288122,0.99849770305445,,Summary1.As1,BULGARIA,2002,Sector,,
