GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),PFCs(1)
A. Fuel combustion     Reference approach(2),82746.10199388176,,,,Summary1.As1,BULGARIA,1988,Subsector,1. Energy,,
                                           Sectoral approach(2),77924.42616047659,18.3953419054997,1.75422074166077,,Summary1.As1,BULGARIA,1988,Subsector,1. Energy,,
1.  Energy industries,42024.35991363674,0.753961134,0.457009701,,Summary1.As1,BULGARIA,1988,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,17367.420674890323,1.26950015175799,0.34881855088134,,Summary1.As1,BULGARIA,1988,Subsector,1. Energy,,
3.  Transport,6933.117088630669,2.7919866476206,0.2081099259424,,Summary1.As1,BULGARIA,1988,Subsector,1. Energy,,
4.  Other sectors,6373.13519697425,13.38636510670732,0.70371089268293,,Summary1.As1,BULGARIA,1988,Subsector,1. Energy,,
5.  Other,5226.393286344604,0.19352886541379,0.0365716711541,,Summary1.As1,BULGARIA,1988,Subsector,1. Energy,,
B. Fugitive emissions from fuels,163.1204956801037,89.09335437498767,0.00134444069727,,Summary1.As1,BULGARIA,1988,Subsector,1. Energy,,
1.  Solid fuels,68.811941696,83.18548420707695,,,Summary1.As1,BULGARIA,1988,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,94.3085539841037,5.90787016791071,0.00134444069727,,Summary1.As1,BULGARIA,1988,Subsector,1. Energy,,
B.  Chemical industry,3473.061672351013,0.6972137852,6.48330820387352,,Summary1.As1,BULGARIA,1988,Subsector,2.  Industrial processes and product use,,
C.  Metal industry,3989.6695469299393,1.388084,,,Summary1.As1,BULGARIA,1988,Subsector,2.  Industrial processes and product use,,
D.  Non-energy products from fuels and solvent use ,138.5692,,,,Summary1.As1,BULGARIA,1988,Subsector,2.  Industrial processes and product use,,
G.  Other product manufacture and use ,26.72635669312132,,0.10940685466747,0.00014473741768,Summary1.As1,BULGARIA,1988,Subsector,2.  Industrial processes and product use,,
H.  Other(3),,,,,Summary1.As1,BULGARIA,1988,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),82219.41556389119,,,,Summary1.As1,BULGARIA,1989,Subsector,1. Energy,,
                                           Sectoral approach(2),77460.64078054094,18.21552034569343,1.76419804497824,,Summary1.As1,BULGARIA,1989,Subsector,1. Energy,,
1.  Energy industries,41685.12597074679,0.723229642,0.456740463,,Summary1.As1,BULGARIA,1989,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,16913.15555246907,1.23670946597909,0.34106342257334,,Summary1.As1,BULGARIA,1989,Subsector,1. Energy,,
3.  Transport,7345.445099341789,3.05689237308232,0.2212748740762,,Summary1.As1,BULGARIA,1989,Subsector,1. Energy,,
4.  Other sectors,6146.027939852469,13.008158575,0.70897618,,Summary1.As1,BULGARIA,1989,Subsector,1. Energy,,
5.  Other,5370.886218130827,0.19053028963202,0.0361431053287,,Summary1.As1,BULGARIA,1989,Subsector,1. Energy,,
B. Fugitive emissions from fuels,163.4267016955755,89.70722383863313,0.00134431228306,,Summary1.As1,BULGARIA,1989,Subsector,1. Energy,,
1.  Solid fuels,69.11623206400002,83.52501445193487,,,Summary1.As1,BULGARIA,1989,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,94.3104696315755,6.18220938669826,0.00134431228306,,Summary1.As1,BULGARIA,1989,Subsector,1. Energy,,
B.  Chemical industry,3456.4151568141765,0.652840138,5.76583657833648,,Summary1.As1,BULGARIA,1989,Subsector,2.  Industrial processes and product use,,
C.  Metal industry,3212.6822588691007,1.418143,,,Summary1.As1,BULGARIA,1989,Subsector,2.  Industrial processes and product use,,
D.  Non-energy products from fuels and solvent use ,113.7532,,,,Summary1.As1,BULGARIA,1989,Subsector,2.  Industrial processes and product use,,
G.  Other product manufacture and use ,26.19778600787573,,0.1093469902523,0.00015313218791,Summary1.As1,BULGARIA,1989,Subsector,2.  Industrial processes and product use,,
H.  Other(3),,,,,Summary1.As1,BULGARIA,1989,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),73857.035707836,,,,Summary1.As1,BULGARIA,1990,Subsector,1. Energy,,
                                           Sectoral approach(2),68148.24123614898,15.54038181677165,1.68565102196497,,Summary1.As1,BULGARIA,1990,Subsector,1. Energy,,
1.  Energy industries,36400.7099180197,0.521712965,0.4170235375,,Summary1.As1,BULGARIA,1990,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,17663.932198186514,0.83546300158915,0.26193063273483,,Summary1.As1,BULGARIA,1990,Subsector,1. Energy,,
3.  Transport,6344.370182606308,2.74927601880923,0.35534808072486,,Summary1.As1,BULGARIA,1990,Subsector,1. Energy,,
4.  Other sectors,7653.500101446729,11.43333032902439,0.64895076160976,,Summary1.As1,BULGARIA,1990,Subsector,1. Energy,,
5.  Other,85.72883588973805,0.00059950234888,0.00239800939552,,Summary1.As1,BULGARIA,1990,Subsector,1. Energy,,
B. Fugitive emissions from fuels,124.58027461592066,84.18565195937526,0.00084884444289,,Summary1.As1,BULGARIA,1990,Subsector,1. Energy,,
1.  Solid fuels,64.3026272,77.84825261555159,,,Summary1.As1,BULGARIA,1990,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,60.27764741592065,6.33739934382367,0.00084884444289,,Summary1.As1,BULGARIA,1990,Subsector,1. Energy,,
B.  Chemical industry,3282.7305145278256,0.5264083418,5.52824935930775,,Summary1.As1,BULGARIA,1990,Subsector,2.  Industrial processes and product use,,
C.  Metal industry,1602.595174077752,1.070147,,,Summary1.As1,BULGARIA,1990,Subsector,2.  Industrial processes and product use,,
D.  Non-energy products from fuels and solvent use ,82.1128,,,,Summary1.As1,BULGARIA,1990,Subsector,2.  Industrial processes and product use,,
G.  Other product manufacture and use ,25.96151639610345,,0.10932023102685,0.00016201385481,Summary1.As1,BULGARIA,1990,Subsector,2.  Industrial processes and product use,,
H.  Other(3),,,,,Summary1.As1,BULGARIA,1990,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),58229.58196419296,,,,Summary1.As1,BULGARIA,1991,Subsector,1. Energy,,
                                           Sectoral approach(2),54689.3833571326,12.25328125325255,1.27038979672556,,Summary1.As1,BULGARIA,1991,Subsector,1. Energy,,
1.  Energy industries,29952.79379354972,0.377483707,0.3633927305,,Summary1.As1,BULGARIA,1991,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,15652.403736055823,0.81300169082775,0.20065479683185,,Summary1.As1,BULGARIA,1991,Subsector,1. Energy,,
3.  Transport,3466.886242050446,1.34309257008595,0.18032275486757,,Summary1.As1,BULGARIA,1991,Subsector,1. Energy,,
4.  Other sectors,5535.8737413496765,9.71913387384146,0.52374186853658,,Summary1.As1,BULGARIA,1991,Subsector,1. Energy,,
5.  Other,81.42584412693269,0.00056941149739,0.00227764598956,,Summary1.As1,BULGARIA,1991,Subsector,1. Energy,,
B. Fugitive emissions from fuels,89.67799147667343,72.20330848079276,0.00047070615385,,Summary1.As1,BULGARIA,1991,Subsector,1. Energy,,
1.  Solid fuels,54.7211216,66.09294595509225,,,Summary1.As1,BULGARIA,1991,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,34.95686987667343,6.1103625257005,0.00047070615385,,Summary1.As1,BULGARIA,1991,Subsector,1. Energy,,
B.  Chemical industry,2771.8458354800355,0.3358746748,3.79986657275818,,Summary1.As1,BULGARIA,1991,Subsector,2.  Industrial processes and product use,,
C.  Metal industry,1688.6293654045917,0.886728,,,Summary1.As1,BULGARIA,1991,Subsector,2.  Industrial processes and product use,,
D.  Non-energy products from fuels and solvent use ,55.6556,,,,Summary1.As1,BULGARIA,1991,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,BULGARIA,1991,Subsector,2.  Industrial processes and product use,0.00285051,
G.  Other product manufacture and use ,25.78365205204402,,0.10930008661621,0.00017141065839,Summary1.As1,BULGARIA,1991,Subsector,2.  Industrial processes and product use,,
H.  Other(3),,,,,Summary1.As1,BULGARIA,1991,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),54329.16066147826,,,,Summary1.As1,BULGARIA,1992,Subsector,1. Energy,,
                                           Sectoral approach(2),51582.288718731485,14.55162686857139,1.15252316054272,,Summary1.As1,BULGARIA,1992,Subsector,1. Energy,,
1.  Energy industries,28982.27087374444,0.368398955,0.3615652125,,Summary1.As1,BULGARIA,1992,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,13371.501050054812,0.65597050965389,0.16304034031349,,Summary1.As1,BULGARIA,1992,Subsector,1. Energy,,
3.  Transport,3789.562411425559,1.6347046962594,0.22190106034074,,Summary1.As1,BULGARIA,1992,Subsector,1. Energy,,
4.  Other sectors,5361.831531142548,11.8920133870122,0.40385926480488,,Summary1.As1,BULGARIA,1992,Subsector,1. Energy,,
5.  Other,77.12285236412731,0.0005393206459,0.00215728258361,,Summary1.As1,BULGARIA,1992,Subsector,1. Energy,,
B. Fugitive emissions from fuels,138.43899037483766,79.24818350944955,0.00035305264103,,Summary1.As1,BULGARIA,1992,Subsector,1. Energy,,
1.  Solid fuels,60.60684000000001,73.35856082349927,,,Summary1.As1,BULGARIA,1992,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,77.83215037483764,5.88962268595027,0.00035305264103,,Summary1.As1,BULGARIA,1992,Subsector,1. Energy,,
B.  Chemical industry,2134.11860691998,0.3675654356,3.2025576683321,,Summary1.As1,BULGARIA,1992,Subsector,2.  Industrial processes and product use,,
C.  Metal industry,1572.6426838765385,0.773179,,,Summary1.As1,BULGARIA,1992,Subsector,2.  Industrial processes and product use,,
D.  Non-energy products from fuels and solvent use ,43.868,,,,Summary1.As1,BULGARIA,1992,Subsector,2.  Industrial processes and product use,,
