GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent),PFCs(1)
Total national emissions and removals,73110.42594766515,542.4911398725668,34.74218030118663,0.00014473741768,Summary1.As1,BULGARIA,1988,Total,,
Total national emissions and removals,71453.05726557822,531.6130699550461,32.43343875945586,0.00015313218791,Summary1.As1,BULGARIA,1989,Total,,
Total national emissions and removals,59972.5187616947,522.6614988959689,30.01974853026078,0.00016201385481,Summary1.As1,BULGARIA,1990,Total,,
Total national emissions and removals,44734.466769713246,480.8594371332621,23.4869504644359,0.00017141065839,Summary1.As1,BULGARIA,1991,Total,0.00285051,
Total national emissions and removals,41045.309576910266,467.361249222446,19.76541555872828,0.00018135247657,Summary1.As1,BULGARIA,1992,Total,0.00971063847,
Total national emissions and removals,41730.66307227549,423.9259012509006,17.99517189849362,0.00019187092021,Summary1.As1,BULGARIA,1993,Total,0.02094275655459,
Total national emissions and removals,39624.869764365816,352.89914633925065,17.65089730010899,0.00020299943359,Summary1.As1,BULGARIA,1994,Total,0.99706864828493,
Total national emissions and removals,41139.39359566332,356.05750782676927,17.06862410754571,0.00021477340073,Summary1.As1,BULGARIA,1995,Total,3.02608617434007,
Total national emissions and removals,42285.20942933813,356.3860128032258,16.59792849790605,0.00022723025798,Summary1.As1,BULGARIA,1996,Total,5.31400560627705,
Total national emissions and removals,39404.01081537645,343.5848316133397,15.74056612304601,0.00024040961294,Summary1.As1,BULGARIA,1997,Total,8.44277849691622,
Total national emissions and removals,36920.16576599608,322.02496782235824,12.94301578000533,0.00025435337049,Summary1.As1,BULGARIA,1998,Total,12.71944214819437,
Total national emissions and removals,30255.396422750026,306.71615225426365,13.45851268967431,0.00026910586598,Summary1.As1,BULGARIA,1999,Total,19.67248232376304,
Total national emissions and removals,27917.75735510013,308.8166518167955,13.96268116775391,0.00028471400621,Summary1.As1,BULGARIA,2000,Total,32.69203016179076,
Total national emissions and removals,34241.23765376112,279.61623461318857,14.01787151662156,0.00030122741857,Summary1.As1,BULGARIA,2001,Total,46.22712445308784,
Total national emissions and removals,31140.49668078032,290.27053595527246,13.63442875981794,0.00031869860884,Summary1.As1,BULGARIA,2002,Total,60.98259301843715,
Total national emissions and removals,35933.42000806196,315.5491620583569,12.97699146240673,0.00033718312816,Summary1.As1,BULGARIA,2003,Total,77.97151635681081,
Total national emissions and removals,34237.708082766294,297.14852812296544,14.91834026588738,0.00035673974959,Summary1.As1,BULGARIA,2004,Total,104.74119242711696,
Total national emissions and removals,33987.172490578545,283.41423167007827,14.3649037877738,0.00035811364767,Summary1.As1,BULGARIA,2005,Total,166.32320369274694,
Total national emissions and removals,38540.48031855779,277.5413425416636,12.77587034737314,0.00037208007993,Summary1.As1,BULGARIA,2006,Total,245.3847676281329,
Total national emissions and removals,41286.18137296779,281.6368357430123,13.0700978604533,0.00038659120305,Summary1.As1,BULGARIA,2007,Total,282.33537447737655,
Total national emissions and removals,41448.93186291555,275.20030503231527,13.73663205381588,0.00040166825996,Summary1.As1,BULGARIA,2008,Total,425.7437305283128,0.020826
Total national emissions and removals,33099.0415126361,265.9859890669554,12.43213878663872,0.0004173333221,Summary1.As1,BULGARIA,2009,Total,418.13379716957,0.0563103
Total national emissions and removals,35723.82391463767,271.5417115714,14.13168562383324,0.00082280716365,Summary1.As1,BULGARIA,2010,Total,414.998867142926,0.06424821
Total national emissions and removals,44381.333240179774,281.9646213945031,12.98694727926197,0.00074416385083,Summary1.As1,BULGARIA,2011,Total,473.86240052836206,0.0557467965
Total national emissions and removals,40004.27598257065,271.26813411939366,13.34408202939115,0.00070594886066,Summary1.As1,BULGARIA,2012,Total,502.02990445030736,0.046851631425
Total national emissions and removals,35440.93277337741,266.9656078030758,14.72662245405851,0.00089558668828,Summary1.As1,BULGARIA,2013,Total,727.6250412531649,0.03939737023125
Total national emissions and removals,36749.37763486208,264.5504461992631,16.23323563529736,0.00074025254918,Summary1.As1,BULGARIA,2014,Total,889.0057844238903,0.03314655151261
Total national emissions and removals,40158.69174440499,266.2404509618168,16.6288949199868,0.00079234909362,Summary1.As1,BULGARIA,2015,Total,693.5730734073915,0.02790159823847
Total national emissions and removals,35574.86006181102,259.875764394732,17.73903982332253,0.00082224772884,Summary1.As1,BULGARIA,2016,Total,714.2517920750834,0.02349798206498
Total national emissions and removals,37740.04586060181,254.90434167277664,17.66664169245018,0.00076815512726,Summary1.As1,BULGARIA,2017,Total,712.7180335466115,0.03097945721833
Total national emissions and removals,33667.29290822846,243.06171648474935,17.31812330588112,0.00078908463545,Summary1.As1,BULGARIA,2018,Total,717.3081286162989,0.01445286042139
Total national emissions and removals,32611.927701109114,233.64680302008077,17.36620415434997,0.00080093960813,Summary1.As1,BULGARIA,2019,Total,801.6538379514795,0.0122849313582
Total national emissions and removals,26874.927978718,229.3047427353137,16.88071614133022,0.00087018168463,Summary1.As1,BULGARIA,2020,Total,789.7664698642726,0.0104421916545
Total national emissions and removals,32689.02565501592,239.38206473075223,17.42923810008483,0.00099037462999,Summary1.As1,BULGARIA,2021,Total,739.4228161645723,0.0088758629063
