GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),82746.10199388176,,,,Summary1.As1,BULGARIA,1988,Subsector,1. Energy
                                           Sectoral approach(2),77924.42616047659,18.3953419054997,1.75422074166077,,Summary1.As1,BULGARIA,1988,Subsector,1. Energy
1.  Energy industries,42024.35991363674,0.753961134,0.457009701,,Summary1.As1,BULGARIA,1988,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,17367.420674890323,1.26950015175799,0.34881855088134,,Summary1.As1,BULGARIA,1988,Subsector,1. Energy
3.  Transport,6933.117088630669,2.7919866476206,0.2081099259424,,Summary1.As1,BULGARIA,1988,Subsector,1. Energy
4.  Other sectors,6373.13519697425,13.38636510670732,0.70371089268293,,Summary1.As1,BULGARIA,1988,Subsector,1. Energy
5.  Other,5226.393286344604,0.19352886541379,0.0365716711541,,Summary1.As1,BULGARIA,1988,Subsector,1. Energy
B. Fugitive emissions from fuels,163.1204956801037,89.09335437498767,0.00134444069727,,Summary1.As1,BULGARIA,1988,Subsector,1. Energy
1.  Solid fuels,68.811941696,83.18548420707695,,,Summary1.As1,BULGARIA,1988,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,94.3085539841037,5.90787016791071,0.00134444069727,,Summary1.As1,BULGARIA,1988,Subsector,1. Energy
