GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),54485.83904434255,,,,,Summary1.As1,BULGARIA,1994,Subsector,1. Energy
                                           Sectoral approach(2),48754.3391375083,12.42323760815119,1.07988136162863,,,Summary1.As1,BULGARIA,1994,Subsector,1. Energy
1.  Energy industries,26926.29897794147,0.334446813,0.3435693296,,,Summary1.As1,BULGARIA,1994,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,12428.50014714979,0.62806171215111,0.13732300943821,,,Summary1.As1,BULGARIA,1994,Subsector,1. Energy
3.  Transport,3928.9648324785244,1.83660725856935,0.22713941912359,,,Summary1.As1,BULGARIA,1994,Subsector,1. Energy
4.  Other sectors,5402.0583111,9.6236426854878,0.36993304769512,,,Summary1.As1,BULGARIA,1994,Subsector,1. Energy
5.  Other,68.51686883851653,0.00047913894293,0.00191655577171,,,Summary1.As1,BULGARIA,1994,Subsector,1. Energy
B. Fugitive emissions from fuels,154.58392743142272,75.06932886640618,0.00080072063869,,,Summary1.As1,BULGARIA,1994,Subsector,1. Energy
1.  Solid fuels,56.7160864,68.58041404276253,,,,Summary1.As1,BULGARIA,1994,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,97.86784103142271,6.48891482364366,0.00080072063869,,,Summary1.As1,BULGARIA,1994,Subsector,1. Energy
