GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),44020.92590124884,,,,,,Summary1.As1,BULGARIA,2009,Subsector,1. Energy
                                           Sectoral approach(2),42208.11503694547,12.09485654305428,0.97311798272968,,,,Summary1.As1,BULGARIA,2009,Subsector,1. Energy
1.  Energy industries,29356.156692585995,0.332926657,0.3871823106,,,,Summary1.As1,BULGARIA,2009,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,3113.9343009069144,0.23313901741408,0.07710588357494,,,,Summary1.As1,BULGARIA,2009,Subsector,1. Energy
3.  Transport,8095.795352060412,1.235165151461,0.24114227233794,,,,Summary1.As1,BULGARIA,2009,Subsector,1. Energy
4.  Other sectors,1594.7323311666773,10.2932935748,0.2663589467,,,,Summary1.As1,BULGARIA,2009,Subsector,1. Energy
5.  Other,47.49636022546973,0.0003321423792,0.0013285695168,,,,Summary1.As1,BULGARIA,2009,Subsector,1. Energy
B. Fugitive emissions from fuels,327.15352098949705,46.62871524991429,0.00206019392307,,,,Summary1.As1,BULGARIA,2009,Subsector,1. Energy
1.  Solid fuels,29.0221728,38.75794036736645,,,,,Summary1.As1,BULGARIA,2009,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,298.1313481894971,7.87077488254784,0.00206019392307,,,,Summary1.As1,BULGARIA,2009,Subsector,1. Energy
