GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
1. Energy,423501.3231565589,1639.5223348288373,23.74284266703172,,,,Summary1.As1,CAN,1990,Sector
2.  Industrial processes and product use,33611.96671063285,5.44052686040112,38.46620708610194,970.540192,7557.901859348676,0.14148781571882,Summary1.As1,CAN,1990,Sector
1. Energy,414168.2529110955,1682.4316518557864,23.88235278482036,,,,Summary1.As1,CAN,1991,Sector
2.  Industrial processes and product use,34657.80625968637,5.04012329606199,36.28081235624923,1056.6608,8033.113215312716,0.1616333041521,Summary1.As1,CAN,1991,Sector
1. Energy,428312.7348185315,1795.0866490386884,25.55435530289636,,,,Summary1.As1,CAN,1992,Sector
2.  Industrial processes and product use,34286.331143041345,4.6005127860162,36.06118346000733,829.7768,7578.683113065456,0.11215406764661,Summary1.As1,CAN,1992,Sector
1. Energy,427119.2119584687,1884.4297987217608,26.57136777537302,,,,Summary1.As1,CAN,1993,Sector
2.  Industrial processes and product use,36026.73369894936,4.4882537672258,33.22727038208783,,7455.583435756154,0.10410278732365,Summary1.As1,CAN,1993,Sector
1. Energy,440733.76281332935,1968.4974757771013,27.98022094406253,,,,Summary1.As1,CAN,1994,Sector
2.  Industrial processes and product use,36682.66984660761,4.59501675977419,39.06283491080893,,6895.014542135266,0.10709387332564,Summary1.As1,CAN,1994,Sector
1. Energy,452352.01355670136,2078.191947866354,28.123792092105,,,,Summary1.As1,CAN,1995,Sector
2.  Industrial processes and product use,37712.44040053019,4.81754440778952,38.51893415765035,460.50509723953695,6346.938331628766,0.09978754943197,Summary1.As1,CAN,1995,Sector
1. Energy,467312.43191071646,2217.281232687736,28.68397883891162,,,,Summary1.As1,CAN,1996,Sector
2.  Industrial processes and product use,39157.64845715565,5.06626510852975,41.31577739166923,810.6249547184798,6501.487192090586,0.07757218411435,Summary1.As1,CAN,1996,Sector
1. Energy,480761.8616368368,2307.264096273504,29.24063038547994,,,,Summary1.As1,CAN,1997,Sector
2.  Industrial processes and product use,39990.97215993777,4.85312324568434,36.08100793877097,1122.303491006938,6374.164338244987,0.08015925289901,Summary1.As1,CAN,1997,Sector
1. Energy,488132.3728280137,2332.180719397814,29.68061311725622,,,,Summary1.As1,CAN,1998,Sector
2.  Industrial processes and product use,40241.40888766625,4.66460567885107,20.74992156676682,1620.1115072732273,6476.1814670603935,0.10339833851824,Summary1.As1,CAN,1998,Sector
1. Energy,501489.88490012527,2339.203524409454,30.28651604541142,,,,Summary1.As1,CAN,1999,Sector
2.  Industrial processes and product use,41219.13227725303,5.16934373940186,10.7682486608456,2160.3645210514096,5370.4650358691,0.10570610663766,Summary1.As1,CAN,1999,Sector
1. Energy,524456.1658090682,2380.8960011940667,30.82439406806047,,,,Summary1.As1,CAN,2000,Sector
2.  Industrial processes and product use,40766.77489327712,5.54295569257485,8.30373258419001,2754.8420398359326,4984.513477727277,0.12732279189253,Summary1.As1,CAN,2000,Sector
1. Energy,517866.4735985134,2350.844965797119,30.67315719248054,,,,Summary1.As1,CAN,2001,Sector
2.  Industrial processes and product use,39609.04635360113,5.3578265078547,8.18489636248956,3159.295628752103,4047.5046969743184,0.11215353629471,Summary1.As1,CAN,2001,Sector
1. Energy,521679.821984479,2317.8413994194184,30.81345994744935,,,,Summary1.As1,CAN,2002,Sector
2.  Industrial processes and product use,40895.44224236685,5.42249567879272,9.43581062532346,3607.067660998628,3462.951577440392,0.13227242367451,Summary1.As1,CAN,2002,Sector
1. Energy,536467.8611571172,2318.780986667098,31.50625800274378,,,,Summary1.As1,CAN,2003,Sector
2.  Industrial processes and product use,43115.20441760112,5.22584709180776,8.97142948309854,3979.8576530497608,3489.892773820044,0.11629083102259,Summary1.As1,CAN,2003,Sector
1. Energy,533043.3748705848,2366.6737309348173,31.04127177150435,,,,Summary1.As1,CAN,2004,Sector
2.  Industrial processes and product use,44934.3582021378,5.97813755193578,15.371649388227,4584.773567806354,3521.867514508472,0.10262723168686,Summary1.As1,CAN,2004,Sector
1. Energy,531219.3782863732,2392.1496316710786,29.74484128458437,,,,Summary1.As1,CAN,2005,Sector
2.  Industrial processes and product use,41873.73653480272,5.36408094913755,13.89230536752787,5107.033442572965,3838.4374213059727,0.0621650210703,Summary1.As1,CAN,2005,Sector
1. Energy,522707.2736347074,2487.952785981671,28.28604796356067,,,,Summary1.As1,CAN,2006,Sector
2.  Industrial processes and product use,44173.3844246191,5.26994404046084,9.06484469286932,5391.076066663716,2985.117070151929,0.06696226650377,Summary1.As1,CAN,2006,Sector
