GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),412659.8408508927,,,,,,Summary1.As1,CAN,1990,Subsector,1. Energy
                                           Sectoral approach(2),411541.7776612421,193.92848532569292,23.63482518255999,,,,Summary1.As1,CAN,1990,Subsector,1. Energy
1.  Energy industries,140865.72386288387,60.79365002752934,2.47882226310356,,,,Summary1.As1,CAN,1990,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,74017.64948080186,6.65567400434206,1.81378957628665,,,,Summary1.As1,CAN,1990,Subsector,1. Energy
3.  Transport,112982.329825313,27.6000520997085,16.98310714828831,,,,Summary1.As1,CAN,1990,Subsector,1. Energy
4.  Other sectors,83416.87417903339,98.86292470835524,2.3518367408328,,,,Summary1.As1,CAN,1990,Subsector,1. Energy
5.  Other,259.20031320999243,0.0161844857578,0.00726945404867,,,,Summary1.As1,CAN,1990,Subsector,1. Energy
B. Fugitive emissions from fuels,11959.54549531675,1445.5938495031444,0.10801748447173,,,,Summary1.As1,CAN,1990,Subsector,1. Energy
1.  Solid fuels,,112.95688649350583,,,,,Summary1.As1,CAN,1990,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,11959.54549531675,1332.6369630096383,0.10801748447173,,,,Summary1.As1,CAN,1990,Subsector,1. Energy
B.  Chemical industry,6100.699917987715,5.34876852800112,37.88972621699309,970.540192,,,Summary1.As1,CAN,1990,Subsector,2.  Industrial processes and product use
C.  Metal industry,13192.693585677203,0.0917583324,,,7557.842997998676,0.13242921550831,Summary1.As1,CAN,1990,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,5829.98682305408,,,,,,Summary1.As1,CAN,1990,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,,0.05886135,0.00019200228246,Summary1.As1,CAN,1990,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,0.57648086910885,,,0.00886659792805,Summary1.As1,CAN,1990,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),402511.7747382595,,,,,,Summary1.As1,CAN,1991,Subsector,1. Energy
                                           Sectoral approach(2),402012.9684689695,190.34213071051852,23.77382346882082,,,,Summary1.As1,CAN,1991,Subsector,1. Energy
1.  Energy industries,139862.83129152062,58.26613173246529,2.44554476450401,,,,Summary1.As1,CAN,1991,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,70760.45602874203,6.48033378578354,1.77533997363573,,,,Summary1.As1,CAN,1991,Subsector,1. Energy
3.  Transport,109404.24244499474,27.50083385765325,17.17529735259585,,,,Summary1.As1,CAN,1991,Subsector,1. Energy
4.  Other sectors,81738.93309093647,98.08339890705624,2.3707676279588,,,,Summary1.As1,CAN,1991,Subsector,1. Energy
5.  Other,246.50561277560803,0.01143242756024,0.00687375012643,,,,Summary1.As1,CAN,1991,Subsector,1. Energy
B. Fugitive emissions from fuels,12155.284442126029,1492.089521145268,0.10852931599954,,,,Summary1.As1,CAN,1991,Subsector,1. Energy
1.  Solid fuels,,115.11408595708096,,,,,Summary1.As1,CAN,1991,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,12155.284442126029,1376.975435188187,0.10852931599954,,,,Summary1.As1,CAN,1991,Subsector,1. Energy
B.  Chemical industry,6140.553017760856,4.93240907966199,35.71847246459957,1056.6608,,,Summary1.As1,CAN,1991,Subsector,2.  Industrial processes and product use
C.  Metal industry,15284.375925835093,0.1077142164,,,8033.056997735217,0.15257470394159,Summary1.As1,CAN,1991,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,5645.45288891078,,,,,,Summary1.As1,CAN,1991,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,,0.0562175775,0.00019200228246,Summary1.As1,CAN,1991,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,0.56233989164966,,,0.00886659792805,Summary1.As1,CAN,1991,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),412089.89114769537,,,,,,Summary1.As1,CAN,1992,Subsector,1. Energy
                                           Sectoral approach(2),415117.9334771571,198.9417250457301,25.32897099995889,,,,Summary1.As1,CAN,1992,Subsector,1. Energy
1.  Energy industries,148248.2333352455,60.93327709341998,2.60626375102718,,,,Summary1.As1,CAN,1992,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,69829.88627863536,6.65170541308038,1.82064829207263,,,,Summary1.As1,CAN,1992,Subsector,1. Energy
3.  Transport,113361.67586551538,29.7588127215641,18.44056376591075,,,,Summary1.As1,CAN,1992,Subsector,1. Energy
4.  Other sectors,83424.52247987826,101.58738705914467,2.45442012681412,,,,Summary1.As1,CAN,1992,Subsector,1. Energy
5.  Other,253.615517882587,0.01054275852095,0.00707506413421,,,,Summary1.As1,CAN,1992,Subsector,1. Energy
B. Fugitive emissions from fuels,13194.801341374436,1596.1449239929582,0.22538430293747,,,,Summary1.As1,CAN,1992,Subsector,1. Energy
1.  Solid fuels,,92.25176171439696,,,,,Summary1.As1,CAN,1992,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,13194.801341374436,1503.8931622785612,0.22538430293747,,,,Summary1.As1,CAN,1992,Subsector,1. Energy
B.  Chemical industry,5950.522264274953,4.4906253420162,35.55843449681005,829.7768,,,Summary1.As1,CAN,1992,Subsector,2.  Industrial processes and product use
C.  Metal industry,15700.973937556562,0.109887444,,,7578.629539260456,0.1030954674361,Summary1.As1,CAN,1992,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,5317.81351614051,,,,,,Summary1.As1,CAN,1992,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,,0.053573805,0.00019200228246,Summary1.As1,CAN,1992,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,0.50274896319728,,,0.00886659792805,Summary1.As1,CAN,1992,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),410432.0430730954,,,,,,Summary1.As1,CAN,1993,Subsector,1. Energy
                                           Sectoral approach(2),413774.1702922679,200.60919338835103,26.26383780752662,,,,Summary1.As1,CAN,1993,Subsector,1. Energy
1.  Energy industries,142938.5902103198,62.65185632780298,2.5722577539374,,,,Summary1.As1,CAN,1993,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,67665.643139006,6.28680747125147,1.74872013849475,,,,Summary1.As1,CAN,1993,Subsector,1. Energy
3.  Transport,116659.5101941092,30.86115633615265,19.45179497600851,,,,Summary1.As1,CAN,1993,Subsector,1. Energy
4.  Other sectors,86279.0569829335,100.80169775946062,2.48461282950563,,,,Summary1.As1,CAN,1993,Subsector,1. Energy
5.  Other,231.36976589948085,0.00767549368331,0.00645210958033,,,,Summary1.As1,CAN,1993,Subsector,1. Energy
B. Fugitive emissions from fuels,13345.041666200716,1683.8206053334102,0.3075299678464,,,,Summary1.As1,CAN,1993,Subsector,1. Energy
1.  Solid fuels,,101.621809177406,,,,,Summary1.As1,CAN,1993,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,13345.041666200716,1582.1987961560042,0.3075299678464,,,,Summary1.As1,CAN,1993,Subsector,1. Energy
B.  Chemical industry,6943.321476600307,4.3822876517258,32.74152581566606,,,,Summary1.As1,CAN,1993,Subsector,2.  Industrial processes and product use
C.  Metal industry,15773.519152285216,0.1059661155,,,7455.532505723655,0.09504418711314,Summary1.As1,CAN,1993,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,5915.29523996978,,,,,,Summary1.As1,CAN,1993,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,,0.0509300325,0.00019200228246,Summary1.As1,CAN,1993,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,0.48574456642177,,,0.00886659792805,Summary1.As1,CAN,1993,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),422670.97770774906,,,,,,Summary1.As1,CAN,1994,Subsector,1. Energy
                                           Sectoral approach(2),426099.7174079658,200.9358088532603,27.67003036735951,,,,Summary1.As1,CAN,1994,Subsector,1. Energy
1.  Energy industries,144692.45251921038,64.62925554101164,2.61828835033288,,,,Summary1.As1,CAN,1994,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,72243.77391440571,6.35039248476516,1.90369767642436,,,,Summary1.As1,CAN,1994,Subsector,1. Energy
3.  Transport,122759.31751894194,32.64693270792283,20.65069651640222,,,,Summary1.As1,CAN,1994,Subsector,1. Energy
4.  Other sectors,86165.520909056,97.3023073479556,2.49070467150586,,,,Summary1.As1,CAN,1994,Subsector,1. Energy
5.  Other,238.6525463517877,0.00692077160507,0.00664315269419,,,,Summary1.As1,CAN,1994,Subsector,1. Energy
B. Fugitive emissions from fuels,14634.045405363522,1767.5616669238411,0.31019057670302,,,,Summary1.As1,CAN,1994,Subsector,1. Energy
1.  Solid fuels,,100.2552963445144,,,,,Summary1.As1,CAN,1994,Subsector,1. Energy
