GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
Total national emissions and removals,392834.83072323765,3386.884677316622,116.89318280077605,970.540192,7557.901859348676,0.14148781571882,Summary1.As1,CAN,1990,Total
Total national emissions and removals,379660.5710479074,3473.233686210468,115.04266287899152,1056.6608,8033.113215312716,0.1616333041521,Summary1.As1,CAN,1991,Total
Total national emissions and removals,405071.6439115707,3635.1846639492182,118.50072918234667,829.7768,7578.683113065456,0.11215406764661,Summary1.As1,CAN,1992,Total
Total national emissions and removals,415139.1652268757,3747.818158967005,118.58875081132662,,7455.583435756154,0.10410278732365,Summary1.As1,CAN,1993,Total
Total national emissions and removals,420636.7900413112,3881.495603341177,127.3590952804038,,6895.014542135266,0.10709387332564,Summary1.As1,CAN,1994,Total
Total national emissions and removals,448121.1299049344,4050.424336282039,128.3178682728123,460.50509723953695,6346.938331628766,0.09978754943197,Summary1.As1,CAN,1995,Total
Total national emissions and removals,459022.1987037533,4196.099551801976,133.75967782754444,810.6249547184798,6501.487192090586,0.07757218411435,Summary1.As1,CAN,1996,Total
Total national emissions and removals,469820.1165105876,4283.107430773939,129.47641911556656,1122.303491006938,6374.164338244987,0.08015925289901,Summary1.As1,CAN,1997,Total
Total national emissions and removals,471598.06149385206,4329.528492597068,116.13113935088604,1620.1115072732273,6476.1814670603935,0.10339833851824,Summary1.As1,CAN,1998,Total
Total national emissions and removals,493545.8444872034,4381.002906225412,106.91436337407409,2160.3645210514096,5370.4650358691,0.10570610663766,Summary1.As1,CAN,1999,Total
Total national emissions and removals,528142.1539448391,4463.592577237604,105.07543624859964,2754.8420398359326,4984.513477727277,0.12732279189253,Summary1.As1,CAN,2000,Total
Total national emissions and removals,511656.7821968144,4456.441091827403,103.82768019158044,3159.295628752103,4047.5046969743184,0.11215353629471,Summary1.As1,CAN,2001,Total
Total national emissions and removals,551483.7353993275,4447.337442618387,104.1676429642383,3607.067660998628,3462.951577440392,0.13227242367451,Summary1.As1,CAN,2002,Total
Total national emissions and removals,569289.1043204997,4465.876407085952,107.99660195660056,3979.8576530497608,3489.892773820044,0.11629083102259,Summary1.As1,CAN,2003,Total
Total national emissions and removals,566049.5575527225,4559.841787521071,113.42097753978788,4584.773567806354,3521.867514508472,0.10262723168686,Summary1.As1,CAN,2004,Total
Total national emissions and removals,567923.2649842021,4626.017194357358,109.86899971492464,5107.033442572965,3838.4374213059727,0.0621650210703,Summary1.As1,CAN,2005,Total
Total national emissions and removals,548071.5338355656,4687.0496572833545,103.37457913068576,5391.076066663716,2985.117070151929,0.06696226650377,Summary1.As1,CAN,2006,Total
Total national emissions and removals,575745.7243603254,4586.078132838429,105.56497409228598,6077.57252813593,2533.6176245021284,0.0318505735413,Summary1.As1,CAN,2007,Total
Total national emissions and removals,554380.1995630467,4542.311342150011,107.73906490052336,6135.671151166361,2600.8641805992047,0.02826023758729,Summary1.As1,CAN,2008,Total
Total national emissions and removals,494387.21254640777,4299.957778697266,97.56283254744046,6909.971098699356,2510.315801534193,0.01639779993569,Summary1.As1,CAN,2009,Total
Total national emissions and removals,536786.5716185386,4339.27626325318,95.26297247619192,7729.05363577473,1861.283000610417,0.01961475775739,Summary1.As1,CAN,2010,Total
Total national emissions and removals,552246.4422307617,4346.855505205087,93.45104068314592,8592.513579238761,1663.562190060031,0.01492790410209,Summary1.As1,CAN,2011,Total
Total national emissions and removals,543440.3937061024,4450.350436402592,97.76717444490892,9084.090112056809,1804.8915465784555,0.02022389499988,Summary1.As1,CAN,2012,Total
Total national emissions and removals,548586.8246684266,4491.8539226661305,101.72823643489312,10075.098202836449,1624.6707192243346,0.02039453846934,Summary1.As1,CAN,2013,Total
Total national emissions and removals,525843.264151113,4533.744177361033,98.13812378132096,10950.213662876822,1095.305959940726,0.01762845179018,Summary1.As1,CAN,2014,Total
Total national emissions and removals,569416.6445991133,4432.658525139299,101.42434130869258,11041.047098950889,976.679970093624,0.02047673487422,Summary1.As1,CAN,2015,Total
Total national emissions and removals,545579.4891055737,4219.281186661488,102.23245788078026,11305.160023008892,773.8120792472128,0.01605834515452,Summary1.As1,CAN,2016,Total
Total national emissions and removals,549243.7604264138,4193.537568654836,99.85620732859648,11097.427604401177,754.7635470140096,0.01383402637813,Summary1.As1,CAN,2017,Total
Total national emissions and removals,564711.0021740795,4181.849822823358,103.82180776243776,12153.49974569521,629.5229426058752,0.01502710287187,Summary1.As1,CAN,2018,Total
Total national emissions and removals,558871.6526549752,4077.5145136830615,103.60706995614682,12111.073694658564,618.1494835123656,0.01948249188593,Summary1.As1,CAN,2019,Total
Total national emissions and removals,508620.8543885149,3676.458235671612,106.80723441733356,11918.851974735382,828.5645952463622,0.01279865069748,Summary1.As1,CAN,2020,Total
Total national emissions and removals,519003.0173682375,3642.4947999873984,102.5065164512394,11433.412912979837,752.8800253056407,0.01431999277536,Summary1.As1,CAN,2021,Total
