GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent)
1. Energy,20362.896533671785,33.33387066440652,0.81633389828261,,,Summary1.As1,CROATIA,1990,Sector,
2.  Industrial processes and product use,2561.2322992960635,0.373839,2.65429088,1117.283904,0.000470436,Summary1.As1,CROATIA,1990,Sector,
1. Energy,15017.89125671767,31.36329989163078,0.69787527200676,,,Summary1.As1,CROATIA,1991,Sector,
2.  Industrial processes and product use,1915.8755392250216,0.3497286,2.34729872,766.4096880000001,0.000465286,Summary1.As1,CROATIA,1991,Sector,
1. Energy,14347.021985031024,32.77538393152459,0.62701281186667,,,Summary1.As1,CROATIA,1992,Sector,
2.  Industrial processes and product use,1956.152757533572,0.30291,3.02663321,,0.000468986,Summary1.As1,CROATIA,1992,Sector,
1. Energy,15117.216800735818,28.748349480465,0.65533068239585,,,Summary1.As1,CROATIA,1993,Sector,
2.  Industrial processes and product use,1636.569777037691,0.249828,2.31183632,,0.000473974,Summary1.As1,CROATIA,1993,Sector,
1. Energy,14179.927276287995,26.17666723156341,0.63783067024001,,,Summary1.As1,CROATIA,1994,Sector,
2.  Industrial processes and product use,1821.7725828511525,0.2610594,2.49320093,,0.000508736,Summary1.As1,CROATIA,1994,Sector,
1. Energy,15121.534014659372,26.8177253081797,0.60679305056935,,,Summary1.As1,CROATIA,1995,Sector,
2.  Industrial processes and product use,1647.341258230512,0.2339382,2.39794142,,0.000529649,Summary1.As1,CROATIA,1995,Sector,21.664058665393
1. Energy,15640.052065810092,28.10760158969076,0.77627413396104,,,Summary1.As1,CROATIA,1996,Sector,
2.  Industrial processes and product use,1650.6494106859786,0.2070168,2.24311277,,0.000548736,Summary1.As1,CROATIA,1996,Sector,24.781040209783
1. Energy,16674.285059931808,26.79704819175251,0.76920471069423,,,Summary1.As1,CROATIA,1997,Sector,
2.  Industrial processes and product use,1812.030754586691,0.2202948,2.35495919,,0.000532894,Summary1.As1,CROATIA,1997,Sector,28.997372481543
1. Energy,17247.966730910215,26.31629447877327,0.71200757871631,,,Summary1.As1,CROATIA,1998,Sector,
2.  Industrial processes and product use,1715.2538241919583,0.195582,1.80333983,,0.000570344,Summary1.As1,CROATIA,1998,Sector,34.809401403933
1. Energy,17896.515945159077,25.37570492639313,0.90771052725289,,,Summary1.As1,CROATIA,1999,Sector,
2.  Industrial processes and product use,2070.986832352427,0.1978554,2.10378482,,0.000567991,Summary1.As1,CROATIA,1999,Sector,42.050377199298
1. Energy,17356.75400174432,23.37548349238242,0.92785591014831,,,Summary1.As1,CROATIA,2000,Sector,
2.  Industrial processes and product use,2236.238822984893,0.1360884,2.45186273,,0.000541129,Summary1.As1,CROATIA,2000,Sector,50.760640434686
1. Energy,18358.83775649131,24.93555079642195,0.89909746749518,,,Summary1.As1,CROATIA,2001,Sector,
2.  Industrial processes and product use,2324.681107352165,0.1407372,2.07428555,,0.000544941,Summary1.As1,CROATIA,2001,Sector,62.000650657928
1. Energy,19511.404754882773,24.5586578686502,0.76580143248619,,,Summary1.As1,CROATIA,2002,Sector,
2.  Industrial processes and product use,2291.3596987617057,0.130926,2.0183039,,0.000559429,Summary1.As1,CROATIA,2002,Sector,82.58193365207
1. Energy,20816.143222690705,26.5807253564982,0.81489813060213,,,Summary1.As1,CROATIA,2003,Sector,
2.  Industrial processes and product use,2324.389012376576,0.1246248,1.9115954,,0.000574292,Summary1.As1,CROATIA,2003,Sector,108.84825700847
1. Energy,20272.16018069705,26.05331918327364,0.93437284427892,,,Summary1.As1,CROATIA,2004,Sector,
2.  Industrial processes and product use,2536.4088225801684,0.149658,2.2961372,,0.000593779,Summary1.As1,CROATIA,2004,Sector,130.152403176896
1. Energy,20656.651224100315,26.81792174009867,0.7999863100652,,,Summary1.As1,CROATIA,2005,Sector,
2.  Industrial processes and product use,2597.757895206169,0.150789,2.24341859,,0.000625554,Summary1.As1,CROATIA,2005,Sector,189.0633225642
1. Energy,20732.15813784719,26.17248907535236,0.80674054944474,,,Summary1.As1,CROATIA,2006,Sector,
2.  Industrial processes and product use,2733.196412892796,0.146472,2.21522477,,0.000619937,Summary1.As1,CROATIA,2006,Sector,244.72099198255
1. Energy,21965.252802454404,26.04165704322216,0.82973803406424,,,Summary1.As1,CROATIA,2007,Sector,
2.  Industrial processes and product use,2804.4932591950846,0.136314,2.43023075,,0.000620737,Summary1.As1,CROATIA,2007,Sector,321.41743175757
1. Energy,20802.15632470053,25.53254022266966,0.8182767860935,,,Summary1.As1,CROATIA,2008,Sector,
2.  Industrial processes and product use,2694.966599525134,0.129135,2.47863866,,0.000569767,Summary1.As1,CROATIA,2008,Sector,392.175875966404
1. Energy,19642.089044482545,25.71656874817751,0.79762202657512,,,Summary1.As1,CROATIA,2009,Sector,
2.  Industrial processes and product use,2086.096028886121,0.116391,2.08160677,,0.000409704,Summary1.As1,CROATIA,2009,Sector,473.66516822904
1. Energy,18806.6433765193,26.72141674160096,0.79195843288605,,,Summary1.As1,CROATIA,2010,Sector,
2.  Industrial processes and product use,2123.4393932642374,0.108813,2.65734635,,0.000431176,Summary1.As1,CROATIA,2010,Sector,567.72953183097
1. Energy,18595.124253145525,25.46240591268193,0.74859092883267,,,Summary1.As1,CROATIA,2011,Sector,
2.  Industrial processes and product use,1949.8233011170903,0.069969,2.61875587,,0.000449964,Summary1.As1,CROATIA,2011,Sector,629.733329781799
1. Energy,17224.335446306162,24.01841400681601,0.71309349497205,,,Summary1.As1,CROATIA,2012,Sector,
2.  Industrial processes and product use,1755.596694449146,,2.27026545,,0.000480794,Summary1.As1,CROATIA,2012,Sector,703.057631482102
1. Energy,16492.032908346653,23.48055746765907,0.70383639481766,,,Summary1.As1,CROATIA,2013,Sector,
2.  Industrial processes and product use,1865.501205661945,,0.88073596511045,,0.000314839,Summary1.As1,CROATIA,2013,Sector,768.70036128603
1. Energy,15620.710808296417,21.10647270865947,0.66347729274486,,,Summary1.As1,CROATIA,2014,Sector,
2.  Industrial processes and product use,1991.3437682838487,,0.9601106303359,,0.000336612,Summary1.As1,CROATIA,2014,Sector,854.196243541472
1. Energy,15798.646062697462,23.44400026227563,0.70049691908231,,,Summary1.As1,CROATIA,2015,Sector,
2.  Industrial processes and product use,1956.6729725076916,,1.11232983531675,,0.000244564,Summary1.As1,CROATIA,2015,Sector,948.11791692388
1. Energy,16208.641532600665,23.11068902804419,0.71998171232517,,,Summary1.As1,CROATIA,2016,Sector,
2.  Industrial processes and product use,1824.1576384030277,,0.432248098535,,0.000289414,Summary1.As1,CROATIA,2016,Sector,1083.59174918372
1. Energy,16597.78116006926,22.71484054841479,0.7277542042325,,,Summary1.As1,CROATIA,2017,Sector,
2.  Industrial processes and product use,2065.0860907225224,,0.39714964767001,,0.000307775,Summary1.As1,CROATIA,2017,Sector,1229.01876842784
1. Energy,15691.35628034631,21.43908268877726,0.71153146045769,,,Summary1.As1,CROATIA,2018,Sector,
2.  Industrial processes and product use,1960.552653985224,,0.22972147870725,,0.000275028,Summary1.As1,CROATIA,2018,Sector,1356.03481042867
1. Energy,15764.278015235392,20.67344757158966,0.72761292728121,,,Summary1.As1,CROATIA,2019,Sector,
2.  Industrial processes and product use,2017.5076552196429,,0.22920108421986,,0.000344394,Summary1.As1,CROATIA,2019,Sector,1470.23062961122
1. Energy,14788.60354566074,20.37209603477346,0.73937643555838,,,Summary1.As1,CROATIA,2020,Sector,
2.  Industrial processes and product use,1986.748256931812,,0.28529716522136,,0.000397985,Summary1.As1,CROATIA,2020,Sector,1574.631666253238
1. Energy,15473.898681948314,21.25886696532816,0.76663260853678,,,Summary1.As1,CROATIA,2021,Sector,
2.  Industrial processes and product use,1833.878525369792,,0.20053151745283,,0.00040972577385,Summary1.As1,CROATIA,2021,Sector,1699.284043170942
3.  Agriculture,50.01973427513329,100.99767883867575,5.83540719286534,,,Summary1.As2,CROATIA,1990,Sector,
