GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent)
A. Fuel combustion     Reference approach(2),20164.709431867508,,,,,Summary1.As1,CROATIA,1990,Subsector,1. Energy,
                                           Sectoral approach(2),19780.379428135097,16.56933657264813,0.81400719175703,,,Summary1.As1,CROATIA,1990,Subsector,1. Energy,
1.  Energy industries,7065.788058195823,0.217131517498,0.058399716859,,,Summary1.As1,CROATIA,1990,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,5208.582615013999,0.36955206225,0.056207546666,,,Summary1.As1,CROATIA,1990,Subsector,1. Energy,
3.  Transport,3787.057235852984,1.67593439079654,0.22505857805981,,,Summary1.As1,CROATIA,1990,Subsector,1. Energy,
4.  Other sectors,3718.951519072292,14.30671860210359,0.47434135017222,,,Summary1.As1,CROATIA,1990,Subsector,1. Energy,
B. Fugitive emissions from fuels,582.5171055366862,16.76453409175839,0.00232670652558,,,Summary1.As1,CROATIA,1990,Subsector,1. Energy,
1.  Solid fuels,,2.3857695,,,,Summary1.As1,CROATIA,1990,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,582.5171055366862,14.37876459175839,0.00232670652558,,,Summary1.As1,CROATIA,1990,Subsector,1. Energy,
A.  Mineral industry,1297.560574598744,,,,,Summary1.As1,CROATIA,1990,Subsector,1. Energy,
C.  Metal industry,336.402835104,0.155946,,1117.283904,,Summary1.As1,CROATIA,1990,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,176.1706243532233,,,,,Summary1.As1,CROATIA,1990,Subsector,2.  Industrial processes and product use,
G.  Other product manufacture and use ,,,0.1232,,0.000470436,Summary1.As1,CROATIA,1990,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,Summary1.As1,CROATIA,1990,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),14684.247128998466,,,,,Summary1.As1,CROATIA,1991,Subsector,1. Energy,
                                           Sectoral approach(2),14440.975600226324,17.70967815848514,0.6961871351556,,,Summary1.As1,CROATIA,1991,Subsector,1. Energy,
1.  Energy industries,4742.099004497455,0.159028483426,0.04024246609,,,Summary1.As1,CROATIA,1991,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,3769.570220975,0.27525780365,0.040945464973,,,Summary1.As1,CROATIA,1991,Subsector,1. Energy,
3.  Transport,2866.986804767449,1.26971581607511,0.17691972117256,,,Summary1.As1,CROATIA,1991,Subsector,1. Energy,
4.  Other sectors,3062.3195699864204,16.00567605533403,0.43807948292004,,,Summary1.As1,CROATIA,1991,Subsector,1. Energy,
B. Fugitive emissions from fuels,576.9156564913465,13.65362173314564,0.00168813685116,,,Summary1.As1,CROATIA,1991,Subsector,1. Energy,
1.  Solid fuels,,2.126136795,,,,Summary1.As1,CROATIA,1991,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,576.9156564913465,11.52748493814564,0.00168813685116,,,Summary1.As1,CROATIA,1991,Subsector,1. Energy,
A.  Mineral industry,860.7708091497547,,,,,Summary1.As1,CROATIA,1991,Subsector,1. Energy,
C.  Metal industry,270.09729494333334,0.1491156,,766.4096880000001,,Summary1.As1,CROATIA,1991,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,119.06226334906953,,,,,Summary1.As1,CROATIA,1991,Subsector,2.  Industrial processes and product use,
G.  Other product manufacture and use ,,,0.1232,,0.000465286,Summary1.As1,CROATIA,1991,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,Summary1.As1,CROATIA,1991,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),13701.5561208378,,,,,Summary1.As1,CROATIA,1992,Subsector,1. Energy,
                                           Sectoral approach(2),13759.234640889808,15.09775577964046,0.62548059730853,,,Summary1.As1,CROATIA,1992,Subsector,1. Energy,
1.  Energy industries,5342.74568647112,0.180439190344,0.051234890956,,,Summary1.As1,CROATIA,1992,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,3079.371130118,0.21727128373,0.032173706599,,,Summary1.As1,CROATIA,1992,Subsector,1. Energy,
3.  Transport,2776.7900176741973,1.12624912453884,0.15241466624914,,,Summary1.As1,CROATIA,1992,Subsector,1. Energy,
4.  Other sectors,2560.32780662649,13.57379618102762,0.38965733350439,,,Summary1.As1,CROATIA,1992,Subsector,1. Energy,
B. Fugitive emissions from fuels,587.7873441412171,17.67762815188413,0.00153221455814,,,Summary1.As1,CROATIA,1992,Subsector,1. Energy,
1.  Solid fuels,,1.65196339,,,,Summary1.As1,CROATIA,1992,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,587.7873441412171,16.02566476188413,0.00153221455814,,,Summary1.As1,CROATIA,1992,Subsector,1. Energy,
A.  Mineral industry,930.5167712249232,,,,,Summary1.As1,CROATIA,1992,Subsector,1. Energy,
C.  Metal industry,121.106131465,0.097956,,,,Summary1.As1,CROATIA,1992,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,71.84545201807236,,,,,Summary1.As1,CROATIA,1992,Subsector,2.  Industrial processes and product use,
G.  Other product manufacture and use ,,,0.1232,,0.000468986,Summary1.As1,CROATIA,1992,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,Summary1.As1,CROATIA,1992,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),14733.671504344797,,,,,Summary1.As1,CROATIA,1993,Subsector,1. Energy,
                                           Sectoral approach(2),14330.949549741064,15.77337391074675,0.65379819127957,,,Summary1.As1,CROATIA,1993,Subsector,1. Energy,
1.  Energy industries,5940.223666035199,0.19564988536401,0.05753965323401,,,Summary1.As1,CROATIA,1993,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,2917.228941836,0.20539396902,0.030287402994,,,Summary1.As1,CROATIA,1993,Subsector,1. Energy,
3.  Transport,2925.161067780136,1.12374073638952,0.16173920462117,,,Summary1.As1,CROATIA,1993,Subsector,1. Energy,
4.  Other sectors,2548.335874089729,14.24858931997322,0.40423193043039,,,Summary1.As1,CROATIA,1993,Subsector,1. Energy,
B. Fugitive emissions from fuels,786.2672509947527,12.97497556971825,0.00153249111628,,,Summary1.As1,CROATIA,1993,Subsector,1. Energy,
1.  Solid fuels,,1.5808985,,,,Summary1.As1,CROATIA,1993,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,786.2672509947527,11.39407706971825,0.00153249111628,,,Summary1.As1,CROATIA,1993,Subsector,1. Energy,
A.  Mineral industry,794.6238653189081,,,,,Summary1.As1,CROATIA,1993,Subsector,1. Energy,
C.  Metal industry,57.46412850466667,0.043926,,,,Summary1.As1,CROATIA,1993,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,68.51832559541093,,,,,Summary1.As1,CROATIA,1993,Subsector,2.  Industrial processes and product use,
G.  Other product manufacture and use ,,,0.1232,,0.000473974,Summary1.As1,CROATIA,1993,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,Summary1.As1,CROATIA,1993,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),13900.57827257471,,,,,Summary1.As1,CROATIA,1994,Subsector,1. Energy,
                                           Sectoral approach(2),13474.853160809756,14.4335471935983,0.63643595712373,,,Summary1.As1,CROATIA,1994,Subsector,1. Energy,
1.  Energy industries,4658.423995794363,0.13165724061279,0.040518405679,,,Summary1.As1,CROATIA,1994,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,3077.510049194,0.19022808272,0.028421280967,,,Summary1.As1,CROATIA,1994,Subsector,1. Energy,
3.  Transport,3102.932510613256,1.22287322236744,0.16976823852152,,,Summary1.As1,CROATIA,1994,Subsector,1. Energy,
4.  Other sectors,2635.986605208136,12.88878864789807,0.39772803195621,,,Summary1.As1,CROATIA,1994,Subsector,1. Energy,
B. Fugitive emissions from fuels,705.0741154782412,11.74312003796511,0.00139471311628,,,Summary1.As1,CROATIA,1994,Subsector,1. Energy,
1.  Solid fuels,,1.417520675,,,,Summary1.As1,CROATIA,1994,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,705.0741154782412,10.32559936296511,0.00139471311628,,,Summary1.As1,CROATIA,1994,Subsector,1. Energy,
A.  Mineral industry,953.709142159345,,,,,Summary1.As1,CROATIA,1994,Subsector,1. Energy,
C.  Metal industry,81.17151025733334,0.0652044,,,,Summary1.As1,CROATIA,1994,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,71.30720060111425,,,,,Summary1.As1,CROATIA,1994,Subsector,2.  Industrial processes and product use,
G.  Other product manufacture and use ,,,0.1232,,0.000508736,Summary1.As1,CROATIA,1994,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,Summary1.As1,CROATIA,1994,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),14538.842832797716,,,,,Summary1.As1,CROATIA,1995,Subsector,1. Energy,
                                           Sectoral approach(2),14285.750164863306,15.22601680963139,0.60545173427168,,,Summary1.As1,CROATIA,1995,Subsector,1. Energy,
1.  Energy industries,5261.600326631032,0.162206705564,0.041512621,,,Summary1.As1,CROATIA,1995,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,2874.3838854,0.187558139,0.0280515316,,,Summary1.As1,CROATIA,1995,Subsector,1. Energy,
3.  Transport,3292.908094410396,1.27567969261018,0.15334496695325,,,Summary1.As1,CROATIA,1995,Subsector,1. Energy,
4.  Other sectors,2856.8578584218785,13.60057227245721,0.38254261471843,,,Summary1.As1,CROATIA,1995,Subsector,1. Energy,
B. Fugitive emissions from fuels,835.7838497960669,11.59170849854831,0.00134131629767,,,Summary1.As1,CROATIA,1995,Subsector,1. Energy,
1.  Solid fuels,,1.129017,,,,Summary1.As1,CROATIA,1995,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,835.7838497960669,10.46269149854831,0.00134131629767,,,Summary1.As1,CROATIA,1995,Subsector,1. Energy,
A.  Mineral industry,739.7560089394769,,,,,Summary1.As1,CROATIA,1995,Subsector,1. Energy,
C.  Metal industry,40.31862998666667,0.0312972,,,,Summary1.As1,CROATIA,1995,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,111.2689884874958,,,,,Summary1.As1,CROATIA,1995,Subsector,2.  Industrial processes and product use,
