GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent)
Total national emissions and removals,16617.857751908294,172.2414535489809,9.70952685578204,1117.283904,0.000470436,Summary1.As1,CROATIA,1990,Total,
Total national emissions and removals,9455.032429522778,166.61059013934485,9.19837401491841,766.4096880000001,0.000465286,Summary1.As1,CROATIA,1991,Total,
Total national emissions and removals,8719.979878789338,148.7071311415178,9.2660674389814,,0.000468986,Summary1.As1,CROATIA,1992,Total,
Total national emissions and removals,8959.033406303422,146.45397850494388,7.96608470083914,,0.000473974,Summary1.As1,CROATIA,1993,Total,
Total national emissions and removals,7973.4964799542595,138.36378379829333,8.06669138829198,,0.000508736,Summary1.As1,CROATIA,1994,Total,
Total national emissions and removals,8260.245590467806,136.5453378822769,7.78907059015883,,0.000529649,Summary1.As1,CROATIA,1995,Total,21.664058665393
Total national emissions and removals,9128.123631803395,135.5406120318569,7.80769640896066,,0.000548736,Summary1.As1,CROATIA,1996,Total,24.781040209783
Total national emissions and removals,10948.419251119098,134.63397941484956,8.45892108806207,,0.000532894,Summary1.As1,CROATIA,1997,Total,28.997372481543
Total national emissions and removals,11548.813937350871,134.89138951118076,7.34103435216038,,0.000570344,Summary1.As1,CROATIA,1998,Total,34.809401403933
Total national emissions and removals,11834.721757754356,135.4909434487028,8.03121076505814,,0.000567991,Summary1.As1,CROATIA,1999,Total,42.050377199298
Total national emissions and removals,12762.59339531332,137.2665513643857,8.63654891025067,,0.000541129,Summary1.As1,CROATIA,2000,Total,50.760640434686
Total national emissions and removals,12769.526865864773,137.22673572809148,8.35031823128698,,0.000544941,Summary1.As1,CROATIA,2001,Total,62.000650657928
Total national emissions and removals,13610.18581918904,137.18249424991592,8.0648662312924,,0.000559429,Summary1.As1,CROATIA,2002,Total,82.58193365207
Total national emissions and removals,15696.465877208764,145.38582328594762,7.85072979508352,,0.000574292,Summary1.As1,CROATIA,2003,Total,108.84825700847
Total national emissions and removals,15097.546032414715,148.02504745178,8.57269516327596,,0.000593779,Summary1.As1,CROATIA,2004,Total,130.152403176896
Total national emissions and removals,15307.272453784331,148.52810458097264,8.44506072308977,,0.000625554,Summary1.As1,CROATIA,2005,Total,189.0633225642
Total national emissions and removals,15685.82758312997,153.40288458660376,8.52017562543738,,0.000619937,Summary1.As1,CROATIA,2006,Total,244.72099198255
Total national emissions and removals,18096.159653451683,154.54816010196652,8.77417877952577,,0.000620737,Summary1.As1,CROATIA,2007,Total,321.41743175757
Total national emissions and removals,16658.396247605808,152.71692536089594,9.76537796070251,,0.000569767,Summary1.As1,CROATIA,2008,Total,392.175875966404
Total national emissions and removals,14767.753624518997,155.572606067858,7.65682750972998,,0.000409704,Summary1.As1,CROATIA,2009,Total,473.66516822904
Total national emissions and removals,14032.466592543622,157.9279495375953,8.49479593491896,,0.000431176,Summary1.As1,CROATIA,2010,Total,567.72953183097
Total national emissions and removals,14895.058883556658,156.9225891757831,8.75974381163882,,0.000449964,Summary1.As1,CROATIA,2011,Total,629.733329781799
Total national emissions and removals,13720.336655255684,155.7332712054984,8.064166262473,,0.000480794,Summary1.As1,CROATIA,2012,Total,703.057631482102
Total national emissions and removals,12167.325214089233,150.1882351706223,6.0138136382443,,0.000314839,Summary1.As1,CROATIA,2013,Total,768.70036128603
Total national emissions and removals,11560.035374752795,148.84255306575653,5.89196698274399,,0.000336612,Summary1.As1,CROATIA,2014,Total,854.196243541472
Total national emissions and removals,11985.975853049751,152.91129231167827,6.38223439222928,,0.000244564,Summary1.As1,CROATIA,2015,Total,948.11791692388
Total national emissions and removals,12268.68557115024,153.36784444132212,5.55499349775577,,0.000289414,Summary1.As1,CROATIA,2016,Total,1083.59174918372
Total national emissions and removals,13610.632445342377,155.37071527346563,6.09928197317761,,0.000307775,Summary1.As1,CROATIA,2017,Total,1229.01876842784
Total national emissions and removals,12101.10338360566,146.6096810312622,5.76788301007582,,0.000275028,Summary1.As1,CROATIA,2018,Total,1356.03481042867
Total national emissions and removals,11999.830692478146,144.73595402096234,5.78409668099133,,0.000344394,Summary1.As1,CROATIA,2019,Total,1470.23062961122
Total national emissions and removals,11029.970896981826,144.22727843780808,5.99135557049119,,0.000397985,Summary1.As1,CROATIA,2020,Total,1574.631666253238
Total national emissions and removals,11486.865275165625,139.0601948009881,5.86637374891593,,0.00040972577385,Summary1.As1,CROATIA,2021,Total,1699.284043170942
