GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),20164.709431867508,,,,,Summary1.As1,CROATIA,1990,Subsector,1. Energy
                                           Sectoral approach(2),19780.379428135097,16.56933657264813,0.81400719175703,,,Summary1.As1,CROATIA,1990,Subsector,1. Energy
1.  Energy industries,7065.7880581958225,0.217131517498,0.058399716859,,,Summary1.As1,CROATIA,1990,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,5208.582615013999,0.36955206225,0.056207546666,,,Summary1.As1,CROATIA,1990,Subsector,1. Energy
3.  Transport,3787.0572358529835,1.67593439079654,0.22505857805981,,,Summary1.As1,CROATIA,1990,Subsector,1. Energy
4.  Other sectors,3718.9515190722923,14.30671860210359,0.47434135017222,,,Summary1.As1,CROATIA,1990,Subsector,1. Energy
B. Fugitive emissions from fuels,582.5171055366862,16.76453409175839,0.00232670652558,,,Summary1.As1,CROATIA,1990,Subsector,1. Energy
1.  Solid fuels,,2.3857695,,,,Summary1.As1,CROATIA,1990,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,582.5171055366862,14.37876459175839,0.00232670652558,,,Summary1.As1,CROATIA,1990,Subsector,1. Energy
A.  Mineral industry,1297.5605745987439,,,,,Summary1.As1,CROATIA,1990,Subsector,1. Energy
