GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),14733.671504344797,,,,Summary1.As1,CROATIA,1993,Subsector,1. Energy
                                           Sectoral approach(2),14330.949549741064,15.77337391074675,0.65379819127957,,Summary1.As1,CROATIA,1993,Subsector,1. Energy
1.  Energy industries,5940.223666035199,0.19564988536401,0.05753965323401,,Summary1.As1,CROATIA,1993,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,2917.228941836,0.20539396902,0.030287402994,,Summary1.As1,CROATIA,1993,Subsector,1. Energy
3.  Transport,2925.161067780136,1.12374073638952,0.16173920462117,,Summary1.As1,CROATIA,1993,Subsector,1. Energy
4.  Other sectors,2548.335874089729,14.24858931997322,0.40423193043039,,Summary1.As1,CROATIA,1993,Subsector,1. Energy
B. Fugitive emissions from fuels,786.2672509947527,12.97497556971825,0.00153249111628,,Summary1.As1,CROATIA,1993,Subsector,1. Energy
1.  Solid fuels,,1.5808985,,,Summary1.As1,CROATIA,1993,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,786.2672509947527,11.39407706971825,0.00153249111628,,Summary1.As1,CROATIA,1993,Subsector,1. Energy
A.  Mineral industry,794.6238653189081,,,,Summary1.As1,CROATIA,1993,Subsector,1. Energy
