GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),18222.91090833882,,,,,Summary1.As1,CROATIA,2011,Subsector,1. Energy
                                           Sectoral approach(2),18036.23677559725,15.97760102719937,0.74791050206988,,,Summary1.As1,CROATIA,2011,Subsector,1. Energy
1.  Energy industries,6247.858986119163,0.200797875296,0.077187661,,,Summary1.As1,CROATIA,2011,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,2779.5547220999997,0.182880006,0.0268362268,,,Summary1.As1,CROATIA,2011,Subsector,1. Energy
3.  Transport,5726.926021875569,0.67211060557438,0.19567247826414,,,Summary1.As1,CROATIA,2011,Subsector,1. Energy
4.  Other sectors,3281.897045502518,14.92181254032899,0.44821413600574,,,Summary1.As1,CROATIA,2011,Subsector,1. Energy
B. Fugitive emissions from fuels,558.8874775482741,9.48480488548256,0.00068042676279,,,Summary1.As1,CROATIA,2011,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,558.8874775482741,9.48480488548256,0.00068042676279,,,Summary1.As1,CROATIA,2011,Subsector,1. Energy
A.  Mineral industry,1255.5682520001362,,,,,Summary1.As1,CROATIA,2011,Subsector,1. Energy
B.  Chemical industry,593.1870269630003,0.069969,2.52997587,,,Summary1.As1,CROATIA,2011,Subsector,1. Energy
