GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent)
1. Energy,3921.7822458824903,0.50591526789854,0.069427953087,,Summary1.As1,CYPRUS,1990,Sector,
2.  Industrial processes and product use,721.2632975619999,,0.014836017,0.00011620681818,Summary1.As1,CYPRUS,1990,Sector,
1. Energy,4451.291599800466,0.51712688958606,0.07997529315571,,Summary1.As1,CYPRUS,1991,Sector,
2.  Industrial processes and product use,680.446771882,,0.015240337,0.00014342409091,Summary1.As1,CYPRUS,1991,Sector,
1. Energy,4772.819914842044,0.51864180963428,0.09090217059797,,Summary1.As1,CYPRUS,1992,Sector,
2.  Industrial processes and product use,730.918248773,,0.015647184,0.00017064136364,Summary1.As1,CYPRUS,1992,Sector,23.04329559141934
1. Energy,4947.7078566319815,0.51679398013084,0.09782494224757,,Summary1.As1,CYPRUS,1993,Sector,
2.  Industrial processes and product use,799.989802017,,0.015993383,0.00019785863636,Summary1.As1,CYPRUS,1993,Sector,24.618956396142
1. Energy,5155.441358693793,0.53603842314016,0.11402555751231,,Summary1.As1,CYPRUS,1994,Sector,
2.  Industrial processes and product use,834.3478176379999,,0.016309258,0.00022507590909,Summary1.As1,CYPRUS,1994,Sector,26.27494309138059
1. Energy,5059.480484573869,0.55706428093157,0.1214198593023,,Summary1.As1,CYPRUS,1995,Sector,
2.  Industrial processes and product use,800.911939418,,0.016584701,0.00025229318182,Summary1.As1,CYPRUS,1995,Sector,28.49244018942138
1. Energy,5350.989294215546,0.5745214485215,0.1322418087057,,Summary1.As1,CYPRUS,1996,Sector,
2.  Industrial processes and product use,859.520637073,,0.016837401,0.00027951045455,Summary1.As1,CYPRUS,1996,Sector,33.59581495098234
1. Energy,5471.478632640385,0.56282401888031,0.14249812597677,,Summary1.As1,CYPRUS,1997,Sector,
