GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent)
A. Fuel combustion     Reference approach(2),4281.286728400004,,,,Summary1.As1,CYPRUS,1990,Subsector,1. Energy,
                                           Sectoral approach(2),3921.7822458824903,0.48971807163686,0.069427953087,,Summary1.As1,CYPRUS,1990,Subsector,1. Energy,
1.  Energy industries,1761.4882,0.07158,0.013808,,Summary1.As1,CYPRUS,1990,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,502.3353681444301,0.03491140064892,0.00570681198164,,Summary1.As1,CYPRUS,1990,Subsector,1. Energy,
3.  Transport,1216.5633258575183,0.28152431874485,0.0465861196004,,Summary1.As1,CYPRUS,1990,Subsector,1. Energy,
4.  Other sectors,430.4003730073031,0.10021854942619,0.00323799333595,,Summary1.As1,CYPRUS,1990,Subsector,1. Energy,
5.  Other,10.99497887323944,0.0014838028169,8.902816901e-05,,Summary1.As1,CYPRUS,1990,Subsector,1. Energy,
B. Fugitive emissions from fuels,,0.01619719626168,,,Summary1.As1,CYPRUS,1990,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,,0.01619719626168,,,Summary1.As1,CYPRUS,1990,Subsector,1. Energy,
A.  Mineral industry,717.0726,,,,Summary1.As1,CYPRUS,1990,Subsector,1. Energy,
D.  Non-energy products from fuels and solvent use ,4.190697562,,,,Summary1.As1,CYPRUS,1990,Subsector,2.  Industrial processes and product use,
G.  Other product manufacture and use ,,,0.014836017,0.00011620681818,Summary1.As1,CYPRUS,1990,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),4425.070130066671,,,,Summary1.As1,CYPRUS,1991,Subsector,1. Energy,
                                           Sectoral approach(2),4451.291599800466,0.49769534752999,0.07997529315571,,Summary1.As1,CYPRUS,1991,Subsector,1. Energy,
1.  Energy industries,1824.0439,0.07366,0.014828,,Summary1.As1,CYPRUS,1991,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,927.4089095273356,0.0509520308616,0.00891293802417,,Summary1.As1,CYPRUS,1991,Subsector,1. Energy,
3.  Transport,1217.2422555756868,0.27338597146755,0.05267763404911,,Summary1.As1,CYPRUS,1991,Subsector,1. Energy,
4.  Other sectors,470.3674255425144,0.09804699308816,0.00345769995567,,Summary1.As1,CYPRUS,1991,Subsector,1. Energy,
5.  Other,12.22910915492958,0.00165035211268,9.902112676e-05,,Summary1.As1,CYPRUS,1991,Subsector,1. Energy,
B. Fugitive emissions from fuels,,0.01943154205607,,,Summary1.As1,CYPRUS,1991,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,,0.01943154205607,,,Summary1.As1,CYPRUS,1991,Subsector,1. Energy,
A.  Mineral industry,676.2138,,,,Summary1.As1,CYPRUS,1991,Subsector,1. Energy,
D.  Non-energy products from fuels and solvent use ,4.232971882,,,,Summary1.As1,CYPRUS,1991,Subsector,2.  Industrial processes and product use,
G.  Other product manufacture and use ,,,0.015240337,0.00014342409091,Summary1.As1,CYPRUS,1991,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),4840.188184700004,,,,Summary1.As1,CYPRUS,1992,Subsector,1. Energy,
                                           Sectoral approach(2),4772.819914842044,0.50012709000811,0.09090217059797,,Summary1.As1,CYPRUS,1992,Subsector,1. Energy,
1.  Energy industries,2120.7909,0.08578,0.016848,,Summary1.As1,CYPRUS,1992,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,713.2838493104978,0.03092486625578,0.00582630288078,,Summary1.As1,CYPRUS,1992,Subsector,1. Energy,
3.  Transport,1362.4876263583594,0.27252087307419,0.06402241075057,,Summary1.As1,CYPRUS,1992,Subsector,1. Energy,
4.  Other sectors,561.4479757929055,0.10890275912884,0.00408554147366,,Summary1.As1,CYPRUS,1992,Subsector,1. Energy,
5.  Other,14.80956338028169,0.0019985915493,0.00011991549296,,Summary1.As1,CYPRUS,1992,Subsector,1. Energy,
B. Fugitive emissions from fuels,,0.01851471962617,,,Summary1.As1,CYPRUS,1992,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,,0.01851471962617,,,Summary1.As1,CYPRUS,1992,Subsector,1. Energy,
A.  Mineral industry,726.6424,,,,Summary1.As1,CYPRUS,1992,Subsector,1. Energy,
D.  Non-energy products from fuels and solvent use ,4.275848773,,,,Summary1.As1,CYPRUS,1992,Subsector,2.  Industrial processes and product use,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,CYPRUS,1992,Subsector,2.  Industrial processes and product use,23.04329559141934
G.  Other product manufacture and use ,,,0.015647184,0.00017064136364,Summary1.As1,CYPRUS,1992,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),5198.5003440333385,,,,Summary1.As1,CYPRUS,1993,Subsector,1. Energy,
                                           Sectoral approach(2),4947.7078566319815,0.49690402685981,0.09782494224757,,Summary1.As1,CYPRUS,1993,Subsector,1. Energy,
1.  Energy industries,2242.9861,0.09058,0.017828,,Summary1.As1,CYPRUS,1993,Subsector,1. Energy,
