GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),6361.575165734185,,,,,Summary1.As1,CYPRUS,2019,Subsector,1. Energy
                                           Sectoral approach(2),6522.742166867059,0.74624401218825,0.08708390207385,,,Summary1.As1,CYPRUS,2019,Subsector,1. Energy
1.  Energy industries,3282.0565,0.12979064907963,0.02577224981593,,,Summary1.As1,CYPRUS,2019,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,559.88119995,0.0941120034,0.01347897897,,,Summary1.As1,CYPRUS,2019,Subsector,1. Energy
3.  Transport,2124.793218327058,0.13443412870862,0.04071887672792,,,Summary1.As1,CYPRUS,2019,Subsector,1. Energy
4.  Other sectors,530.2062875400001,0.384613061,0.00692797136,,,Summary1.As1,CYPRUS,2019,Subsector,1. Energy
5.  Other,25.80496105,0.00329417,0.0001858252,,,Summary1.As1,CYPRUS,2019,Subsector,1. Energy
A.  Mineral industry,814.38850395952,,,,,Summary1.As1,CYPRUS,2019,Subsector,1. Energy
D.  Non-energy products from fuels and solvent use ,4.9790342856,,,,,Summary1.As1,CYPRUS,2019,Subsector,1. Energy
F.  Product uses as substitutes for ODS,,,,332.26537408977345,,Summary1.As1,CYPRUS,2019,Subsector,1. Energy
