GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent),PFCs(1)
1. Energy,147099.1634631448,552.8097108648471,2.36387097398797,,Summary1.As1,CZECH REPUBLIC,1990,Sector,,
2.  Industrial processes and product use,15786.063911526104,2.04756966291385,4.4716863,0.00369471194568,Summary1.As1,CZECH REPUBLIC,1990,Sector,,
1. Energy,135613.1944291655,509.5669170197846,2.20311409646951,,Summary1.As1,CZECH REPUBLIC,1991,Sector,,
2.  Industrial processes and product use,12785.355480411885,1.68211968769231,3.203256,0.00368752004983,Summary1.As1,CZECH REPUBLIC,1991,Sector,,
1. Energy,132066.61166890437,467.33392557749954,2.16169129143651,,Summary1.As1,CZECH REPUBLIC,1992,Sector,,
2.  Industrial processes and product use,13389.285446814043,1.51885682,3.7847275,0.00374595325723,Summary1.As1,CZECH REPUBLIC,1992,Sector,,
1. Energy,127484.3397269504,476.5003489195192,2.11856233107959,,Summary1.As1,CZECH REPUBLIC,1993,Sector,,
2.  Industrial processes and product use,12401.059986736873,1.52030402189231,3.0881453,0.00379666547001,Summary1.As1,CZECH REPUBLIC,1993,Sector,,
1. Energy,118934.87452330996,448.363135127338,2.09410997991057,,Summary1.As1,CZECH REPUBLIC,1994,Sector,,
2.  Industrial processes and product use,13481.05917583466,1.73372093893846,3.7246806,0.00384482647897,Summary1.As1,CZECH REPUBLIC,1994,Sector,,
1. Energy,118522.82663403232,438.7437421919169,2.12043478976371,,Summary1.As1,CZECH REPUBLIC,1995,Sector,,
2.  Industrial processes and product use,12815.662322350556,1.90745006652308,4.2006226,0.00388943707499,Summary1.As1,CZECH REPUBLIC,1995,Sector,86.86631853158381,0.0089
1. Energy,121234.39672074391,441.3660864306254,2.21046089808089,,Summary1.As1,CZECH REPUBLIC,1996,Sector,,
2.  Industrial processes and product use,13507.337872032116,1.95345645581538,4.0622493,0.00431167048159,Summary1.As1,CZECH REPUBLIC,1996,Sector,215.43110927960095,0.682897
1. Energy,116382.56539254732,426.510648198309,2.17883392597043,,Summary1.As1,CZECH REPUBLIC,1997,Sector,,
2.  Industrial processes and product use,14333.842596841096,1.95142452227692,4.1643982,0.00421511106889,Summary1.As1,CZECH REPUBLIC,1997,Sector,388.923908286244,1.61597470162076
1. Energy,111022.14619280536,401.1440213967823,2.14376133764143,,Summary1.As1,CZECH REPUBLIC,1998,Sector,,
2.  Industrial processes and product use,14288.65564593254,2.10640089792308,4.3827518,0.00416558581569,Summary1.As1,CZECH REPUBLIC,1998,Sector,529.3420620160241,1.54274261797075
1. Energy,104681.87362175171,362.0818352462143,2.16810816520142,,Summary1.As1,CZECH REPUBLIC,1999,Sector,,
2.  Industrial processes and product use,11749.61817357662,2.15163586892308,3.7797277,0.00420773761613,Summary1.As1,CZECH REPUBLIC,1999,Sector,635.8995123993112,1.08053100003472
1. Energy,113903.25368717224,329.19428793918377,2.34044236563084,,Summary1.As1,CZECH REPUBLIC,2000,Sector,,
2.  Industrial processes and product use,13048.917235606044,2.13317820169231,4.1974056,0.00475431265488,Summary1.As1,CZECH REPUBLIC,2000,Sector,799.7729942786631,4.43146491512006
1. Energy,114655.2977995526,303.11772715323434,2.00324229382037,,Summary1.As1,CZECH REPUBLIC,2001,Sector,,
2.  Industrial processes and product use,12154.663225971552,2.22723905989231,4.1431157,0.00433408645351,Summary1.As1,CZECH REPUBLIC,2001,Sector,997.9417133590184,9.15258759037931
1. Energy,111696.0438373264,292.0491162520906,1.99508383808093,,Summary1.As1,CZECH REPUBLIC,2002,Sector,,
2.  Industrial processes and product use,11940.497311065568,2.15377351344615,3.5996756,0.0053191309058,Summary1.As1,CZECH REPUBLIC,2002,Sector,1098.2843840807334,15.16684556296554
