GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent),PFCs(1)
Total national emissions and removals,155568.54388412228,959.65402078227,28.9201852951877,0.00369471194568,Summary1.As1,CZECH REPUBLIC,1990,Total,,
Total national emissions and removals,138876.2471212514,909.6764574643612,24.49393645298546,0.00368752004983,Summary1.As1,CZECH REPUBLIC,1991,Total,,
Total national emissions and removals,135559.0920026288,839.974086754029,21.88251413338783,0.00374595325723,Summary1.As1,CZECH REPUBLIC,1992,Total,,
Total national emissions and removals,129346.37839133995,820.7590685622725,19.69658933743436,0.00379666547001,Summary1.As1,CZECH REPUBLIC,1993,Total,,
Total national emissions and removals,123193.38689039016,770.3574558264592,19.52436526255644,0.00384482647897,Summary1.As1,CZECH REPUBLIC,1994,Total,,
Total national emissions and removals,121862.86050286642,757.3702053587289,20.55548465937528,0.00388943707499,Summary1.As1,CZECH REPUBLIC,1995,Total,86.86631853158381,0.0089
Total national emissions and removals,125504.75040338376,757.7854411274601,19.83521992008062,0.00431167048159,Summary1.As1,CZECH REPUBLIC,1996,Total,215.43110927960095,0.682897
Total national emissions and removals,122362.47227840366,736.4347400451667,19.86360252354167,0.00421511106889,Summary1.As1,CZECH REPUBLIC,1997,Total,388.923908286244,1.61597470162076
Total national emissions and removals,117362.5277272442,703.8887316994582,19.5435507101206,0.00416558581569,Summary1.As1,CZECH REPUBLIC,1998,Total,529.3420620160241,1.54274261797075
Total national emissions and removals,108203.38228931304,669.16138665964,18.86475403881038,0.00420773761613,Summary1.As1,CZECH REPUBLIC,1999,Total,635.8995123993112,1.08053100003472
Total national emissions and removals,117992.64380192272,630.7362101568152,20.38545853497788,0.00475431265488,Summary1.As1,CZECH REPUBLIC,2000,Total,799.7729942786631,4.43146491512006
Total national emissions and removals,117907.4683104593,607.0599812800815,21.0773664701136,0.00433408645351,Summary1.As1,CZECH REPUBLIC,2001,Total,997.9417133590184,9.15258759037931
Total national emissions and removals,114959.00852481875,594.1943476908169,19.63003460772824,0.0053191309058,Summary1.As1,CZECH REPUBLIC,2002,Total,1098.2843840807334,15.16684556296554
Total national emissions and removals,119148.6142613702,589.4956350796492,18.15774070059725,0.00634622113962,Summary1.As1,CZECH REPUBLIC,2003,Total,1211.4790807742834,8.36216197037288
Total national emissions and removals,120054.11863294798,569.8287201623206,20.35223655029111,0.00529012476469,Summary1.As1,CZECH REPUBLIC,2004,Total,1327.4808458167804,12.40826597867743
Total national emissions and removals,117342.81650411956,592.4040672110257,19.88747808815257,0.00490539860769,Summary1.As1,CZECH REPUBLIC,2005,Total,1346.9328355306434,14.37569530923785
Total national emissions and removals,119367.72073651815,600.807083791837,19.52835886267177,0.00461035451526,Summary1.As1,CZECH REPUBLIC,2006,Total,1586.2887142603354,29.02111637376461
Total national emissions and removals,121740.39488315149,581.492710707737,19.74533707865401,0.00411352851187,Summary1.As1,CZECH REPUBLIC,2007,Total,1943.8480982561132,27.20068238942388
Total national emissions and removals,115000.91006515083,583.2843975039796,19.85366872920968,0.00388891433162,Summary1.As1,CZECH REPUBLIC,2008,Total,2202.653928372828,37.04850558396
Total national emissions and removals,107120.8381619782,553.7547290796,17.03210647150052,0.0039058593828,Summary1.As1,CZECH REPUBLIC,2009,Total,2221.142603646397,42.14123780486986
Total national emissions and removals,110238.2124066329,563.2377885630339,16.73950667077105,0.00362990567589,Summary1.As1,CZECH REPUBLIC,2010,Total,2438.096704047511,44.33945977505174
Total national emissions and removals,107635.45882366842,559.7770426220319,18.83389446228272,0.00388778192774,Summary1.As1,CZECH REPUBLIC,2011,Total,2648.5431319837603,8.07519920826891
Total national emissions and removals,103552.54193867507,557.5354690424824,18.48521568386404,0.00405426679425,Summary1.As1,CZECH REPUBLIC,2012,Total,2751.781601493517,6.16740506518957
Total national emissions and removals,99605.58253336976,532.868420643473,17.63204182495079,0.00364214017063,Summary1.As1,CZECH REPUBLIC,2013,Total,2880.605110597968,4.1837996149091
Total national emissions and removals,97169.16283462108,532.6032663967654,18.17305320549492,0.00350455399336,Summary1.As1,CZECH REPUBLIC,2014,Total,3060.059765780807,3.11522120755114
Total national emissions and removals,98001.71729795288,534.7216677759403,19.52430540946669,0.00343277702092,Summary1.As1,CZECH REPUBLIC,2015,Total,3309.6892379533474,2.10825269005952
Total national emissions and removals,100549.45416222014,518.7984104283981,20.04038548292123,0.00344865147586,Summary1.As1,CZECH REPUBLIC,2016,Total,3528.34032037675,1.77501240870564
Total national emissions and removals,103250.9132098683,510.289094394068,19.21009074346319,0.00324672996529,Summary1.As1,CZECH REPUBLIC,2017,Total,3742.040994391317,1.96587004751632
Total national emissions and removals,107319.87941394329,506.8003719424313,18.11523673001534,0.00309461051599,Summary1.As1,CZECH REPUBLIC,2018,Total,3793.355607145467,2.06538359274079
Total national emissions and removals,108760.51946385964,493.93527661962906,17.89116416314979,0.00298256332022,Summary1.As1,CZECH REPUBLIC,2019,Total,3823.4415086749054,1.56668542738262
Total national emissions and removals,102911.74296665334,468.9848988665311,16.95152033370203,0.00285777391408,Summary1.As1,CZECH REPUBLIC,2020,Total,3734.2881084125447,0.96742083734095
Total national emissions and removals,105007.32363865468,472.5971924495156,17.70255156582179,0.00275238021881,Summary1.As1,CZECH REPUBLIC,2021,Total,3711.397094698831,30.94701205604154
