GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),96566.72977540687,,,,,,Summary1.As1,CZECH REPUBLIC,2012,Subsector,1. Energy
                                           Sectoral approach(2),99157.24507289627,39.01227951538564,1.99423333410367,,,,Summary1.As1,CZECH REPUBLIC,2012,Subsector,1. Energy
1.  Energy industries,58748.70994076159,1.26292336441142,0.90233872528293,,,,Summary1.As1,CZECH REPUBLIC,2012,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,10709.1715337142,1.39078415631301,0.1908359635955,,,,Summary1.As1,CZECH REPUBLIC,2012,Subsector,1. Energy
3.  Transport,16159.073313672827,1.42315628740536,0.50798005528211,,,,Summary1.As1,CZECH REPUBLIC,2012,Subsector,1. Energy
4.  Other sectors,13233.79552514766,34.91366817110996,0.3860192803451,,,,Summary1.As1,CZECH REPUBLIC,2012,Subsector,1. Energy
5.  Other,306.4947596000001,0.02174753614589,0.00705930959803,,,,Summary1.As1,CZECH REPUBLIC,2012,Subsector,1. Energy
B. Fugitive emissions from fuels,270.7805503753469,209.555092809312,9.663896104e-05,,,,Summary1.As1,CZECH REPUBLIC,2012,Subsector,1. Energy
1.  Solid fuels,264.220752,182.60373982242945,,,,,Summary1.As1,CZECH REPUBLIC,2012,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,6.55979837534688,26.95135298688255,9.663896104e-05,,,,Summary1.As1,CZECH REPUBLIC,2012,Subsector,1. Energy
