GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent),PFCs(1)
1. Energy,52961.89052575752,16.51711652026391,1.03896025639719,,Summary1.As1,DENMARK,1990,Sector,,
2.  Industrial processes and product use,1171.7110855790074,0.09729461020285,3.42650280454868,0.00186,Summary1.As1,DENMARK,1990,Sector,,
1. Energy,63455.85744618975,19.66368725223203,1.16435958321312,,Summary1.As1,DENMARK,1991,Sector,,
2.  Industrial processes and product use,1377.5150922260182,0.08969419256637,3.14498778354724,0.00267825,Summary1.As1,DENMARK,1991,Sector,,
1. Energy,57596.23125537751,20.41894262187997,1.13212562190552,,Summary1.As1,DENMARK,1992,Sector,,
2.  Industrial processes and product use,1540.8757544456976,0.10837014026125,2.78478932187878,0.00378625,Summary1.As1,DENMARK,1992,Sector,3.5574,
1. Energy,59730.68543921051,22.62984372912265,1.16000489255255,,Summary1.As1,DENMARK,1993,Sector,,
2.  Industrial processes and product use,1548.6929220744948,0.09283961364804,2.6277769288504,0.004296525,Summary1.As1,DENMARK,1993,Sector,100.80397912275,
1. Energy,63643.934612196186,25.94598352915415,1.19939038400296,,Summary1.As1,DENMARK,1994,Sector,,
2.  Industrial processes and product use,1627.456835768824,0.0854267338442,2.664622777623,0.005180297625,Summary1.As1,DENMARK,1994,Sector,144.51125729775,0.06675
1. Energy,60482.24910653225,31.75690263652634,1.24883643233572,,Summary1.As1,DENMARK,1995,Sector,,
2.  Industrial processes and product use,1686.124838242739,0.1013747104944,2.9835147411085,0.00455864288688,Summary1.As1,DENMARK,1995,Sector,237.65284193339,0.638575
1. Energy,73819.47776584212,36.45446006117462,1.39145151976441,,Summary1.As1,DENMARK,1996,Sector,,
2.  Industrial processes and product use,1795.613278824977,0.114917441784,2.756777341694,0.00260170329744,Summary1.As1,DENMARK,1996,Sector,370.5916206719161,2.1099675
1. Energy,64313.17951539176,37.68379405322206,1.32076503890777,,Summary1.As1,DENMARK,1997,Sector,,
2.  Industrial processes and product use,1791.571003712639,0.1346998388356,2.800194475075,0.00310176744345,Summary1.As1,DENMARK,1997,Sector,373.3531642953038,5.23647075
1. Energy,60278.91449515017,38.38009800455365,1.2893331922829,,Summary1.As1,DENMARK,1998,Sector,,
2.  Industrial processes and product use,1869.702928874733,0.114637914782,2.667361291194,0.00253475427586,Summary1.As1,DENMARK,1998,Sector,501.2757197383368,11.565823675
1. Energy,57728.60420759133,40.76379632610416,1.27190129901452,,Summary1.As1,DENMARK,1999,Sector,,
2.  Industrial processes and product use,1850.587746779565,0.1210828903244,3.1379171615865,0.00276281380616,Summary1.As1,DENMARK,1999,Sector,642.4705988309464,15.8693913075
1. Energy,53482.06916193992,39.15152811048819,1.2387541593412,,Summary1.As1,DENMARK,2000,Sector,,
2.  Industrial processes and product use,1866.35287882009,0.1341640113962,3.305125554587,0.00249632679579,Summary1.As1,DENMARK,2000,Sector,735.346906785527,22.74635217675
1. Energy,55269.61091615285,40.17235459114031,1.26028454502539,,Summary1.As1,DENMARK,2001,Sector,,
2.  Industrial processes and product use,1855.2160518031344,0.1217005418742,2.922085941987,0.00125729478114,Summary1.As1,DENMARK,2001,Sector,734.2694069820817,28.13310395863
1. Energy,54794.34431429336,39.14640404935695,1.24740233284185,,Summary1.As1,DENMARK,2002,Sector,,
2.  Industrial processes and product use,1869.3690479540653,0.1532452729034,2.5655485844005,0.00105561327747,Summary1.As1,DENMARK,2002,Sector,759.1059825864519,28.23507756339
1. Energy,60098.67324503074,38.44613484837495,1.29773977324897,,Summary1.As1,DENMARK,2003,Sector,,
2.  Industrial processes and product use,1736.5552915673222,0.1741236972548,2.9580561825195,0.00132545525059,Summary1.As1,DENMARK,2003,Sector,782.2038342880668,24.78734605714
1. Energy,54497.11629806495,38.81358755888517,1.25058241254552,,Summary1.As1,DENMARK,2004,Sector,,
2.  Industrial processes and product use,1855.8419639950607,0.15778492073,1.78694279292,0.00138815502055,Summary1.As1,DENMARK,2004,Sector,838.3949246615488,20.69705351857
1. Energy,50925.68983749432,36.38671957949629,1.21545651096254,,Summary1.As1,DENMARK,2005,Sector,,
