GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),PFCs(1)
A. Fuel combustion     Reference approach(2),51783.25514640607,,,,Summary1.As1,DENMARK,1990,Subsector,1. Energy,,
                                           Sectoral approach(2),52621.15948816551,11.18907455645463,1.03854251055615,,Summary1.As1,DENMARK,1990,Subsector,1. Energy,,
1.  Energy industries,26434.90994525588,0.62849101159835,0.28960833866089,,Summary1.As1,DENMARK,1990,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,5754.804306940402,0.32368832282717,0.20913893223781,,Summary1.As1,DENMARK,1990,Subsector,1. Energy,,
3.  Transport,10777.485602526393,3.21811821570888,0.3359052340431,,Summary1.As1,DENMARK,1990,Subsector,1. Energy,,
4.  Other sectors,9478.74648456332,6.93667623309169,0.19886571309486,,Summary1.As1,DENMARK,1990,Subsector,1. Energy,,
5.  Other,175.213148879519,0.08210077322854,0.00502429251949,,Summary1.As1,DENMARK,1990,Subsector,1. Energy,,
B. Fugitive emissions from fuels,340.73103759201,5.32804196380928,0.00041774584104,,Summary1.As1,DENMARK,1990,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,340.73103759201,5.32804196380928,0.00041774584104,,Summary1.As1,DENMARK,1990,Subsector,1. Energy,,
A.  Mineral industry,973.473045769,,,,Summary1.As1,DENMARK,1990,Subsector,1. Energy,,
C.  Metal industry,30.467,,,0.0013,Summary1.As1,DENMARK,1990,Subsector,2.  Industrial processes and product use,,
D.  Non-energy products from fuels and solvent use ,167.14546626500754,0.01206696530285,0.00018072370168,,Summary1.As1,DENMARK,1990,Subsector,2.  Industrial processes and product use,,
G.  Other product manufacture and use ,0.055319345,0.0852276449,0.062122080847,0.00056,Summary1.As1,DENMARK,1990,Subsector,2.  Industrial processes and product use,,
H.  Other(3),,,,,Summary1.As1,DENMARK,1990,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),61564.45657794981,,,,Summary1.As1,DENMARK,1991,Subsector,1. Energy,,
                                           Sectoral approach(2),62806.3104905861,12.33725432493495,1.16371817581244,,Summary1.As1,DENMARK,1991,Subsector,1. Energy,,
1.  Energy industries,35296.28739880305,0.96726055731129,0.37080231870911,,Summary1.As1,DENMARK,1991,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,6196.459195622827,0.33879697997753,0.22124355235783,,Summary1.As1,DENMARK,1991,Subsector,1. Energy,,
3.  Transport,11275.09022311293,3.33701661318479,0.3518574132342,,Summary1.As1,DENMARK,1991,Subsector,1. Energy,,
4.  Other sectors,9692.36400963066,7.5987597108999,0.21038263446782,,Summary1.As1,DENMARK,1991,Subsector,1. Energy,,
5.  Other,346.1096634166306,0.09542046356144,0.00943225704348,,Summary1.As1,DENMARK,1991,Subsector,1. Energy,,
B. Fugitive emissions from fuels,649.54695560365,7.32643292729708,0.00064140740068,,Summary1.As1,DENMARK,1991,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,649.54695560365,7.32643292729708,0.00064140740068,,Summary1.As1,DENMARK,1991,Subsector,1. Energy,,
A.  Mineral industry,1164.193274067,,,,Summary1.As1,DENMARK,1991,Subsector,1. Energy,,
C.  Metal industry,30.467,,,0.0013,Summary1.As1,DENMARK,1991,Subsector,2.  Industrial processes and product use,,
D.  Non-energy products from fuels and solvent use ,182.17847925651813,0.01247164521637,0.00020917499674,,Summary1.As1,DENMARK,1991,Subsector,2.  Industrial processes and product use,,
