GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent),PFCs(1)
Total national emissions and removals,61345.38529423885,337.6736096115385,29.84150541708019,0.00186,Summary1.As1,DENMARK,1990,Total,,
Total national emissions and removals,71257.64420791647,345.89246071996865,28.95931857891947,0.00267825,Summary1.As1,DENMARK,1991,Total,,
Total national emissions and removals,66382.66464706526,349.49097904803403,28.03437872015278,0.00378625,Summary1.As1,DENMARK,1992,Total,3.5574,
Total national emissions and removals,67134.51838611564,358.0196300462323,26.96309963480295,0.004296525,Summary1.As1,DENMARK,1993,Total,100.80397912275,
Total national emissions and removals,70736.8631104323,352.6958336741889,26.7970380244894,0.005180297625,Summary1.As1,DENMARK,1994,Total,144.51125729775,0.06675
Total national emissions and removals,67844.43808086922,355.6468169949166,26.65117790124408,0.00455864288688,Summary1.As1,DENMARK,1995,Total,237.65284193339,0.638575
Total national emissions and removals,80519.1014629607,360.2775350112983,25.2561430343557,0.00260170329744,Summary1.As1,DENMARK,1996,Total,370.5916206719161,2.1099675
Total national emissions and removals,71536.24888781103,356.1571900370864,25.34442801534988,0.00310176744345,Summary1.As1,DENMARK,1997,Total,373.3531642953038,5.23647075
Total national emissions and removals,67250.54380197785,359.07653994459685,25.40453597257994,0.00253475427586,Summary1.As1,DENMARK,1998,Total,501.2757197383368,11.565823675
Total national emissions and removals,64990.5787585207,354.4551483557755,25.03996210447201,0.00276281380616,Summary1.As1,DENMARK,1999,Total,642.4705988309464,15.8693913075
Total national emissions and removals,60510.43835663077,354.1203649498649,24.99343346704117,0.00249632679579,Summary1.As1,DENMARK,2000,Total,735.346906785527,22.74635217675
Total national emissions and removals,61737.84369548126,362.74762151164526,24.24529597221973,0.00125729478114,Summary1.As1,DENMARK,2001,Total,734.2694069820817,28.13310395863
Total national emissions and removals,62324.69277600124,360.9975948630045,23.98487870213925,0.00105561327747,Summary1.As1,DENMARK,2002,Total,759.1059825864519,28.23507756339
Total national emissions and removals,67232.58709389935,362.3257757128203,23.62382282687746,0.00132545525059,Summary1.As1,DENMARK,2003,Total,782.2038342880668,24.78734605714
Total national emissions and removals,61424.6569415724,355.91020787433064,22.6118129612754,0.00138815502055,Summary1.As1,DENMARK,2004,Total,838.3949246615488,20.69705351857
Total national emissions and removals,57831.17831706604,345.92347389845963,20.68516227178747,0.00091415449831,Summary1.As1,DENMARK,2005,Total,889.173992245578,18.91581429948
Total national emissions and removals,65965.70845026498,340.42144508237106,20.29448730359731,0.00151336918524,Summary1.As1,DENMARK,2006,Total,911.9960784378512,20.94341786971
Total national emissions and removals,61485.46664665317,339.4014437067482,20.86933168022643,0.00128076150526,Summary1.As1,DENMARK,2007,Total,945.7352065245716,20.86140708265
Total national emissions and removals,56555.15743145012,333.9621790382028,21.08758029398234,0.00133801349012,Summary1.As1,DENMARK,2008,Total,947.1305745548368,18.20772187394
Total national emissions and removals,53381.318112741465,328.5153671983111,20.45713013975822,0.00155687740142,Summary1.As1,DENMARK,2009,Total,971.98070089693,19.02654818708
Total national emissions and removals,52950.21316430926,332.0305503537231,19.95179578389728,0.0016287656245,Summary1.As1,DENMARK,2010,Total,828.4025579988944,9.632079260387
Total national emissions and removals,47377.45247816764,325.3704228710569,20.09839335653407,0.00340412438771,Summary1.As1,DENMARK,2011,Total,752.0761591784075,7.268009907619
Total national emissions and removals,42502.87632640147,321.4047742224229,19.7283041141729,0.00568693311329,Summary1.As1,DENMARK,2012,Total,755.4634113255769,3.18472373288687
Total national emissions and removals,43997.5637601128,317.5902837133028,19.74449050461406,0.00658349145137,Summary1.As1,DENMARK,2013,Total,697.7109578429569,3.315
Total national emissions and removals,40506.77447281337,316.550970129903,20.16297400124348,0.00678048626883,Summary1.As1,DENMARK,2014,Total,643.6382988551553,2.440002
Total national emissions and removals,36987.335704191646,313.722462191936,20.08137217710148,0.00533544533821,Summary1.As1,DENMARK,2015,Total,501.40021907103534,0.01588548
Total national emissions and removals,39873.65939601572,316.7339776817496,20.59404129748095,0.00457942960818,Summary1.As1,DENMARK,2016,Total,565.8497881919182,0.007114238625
Total national emissions and removals,37750.52201408239,316.84440767190813,20.79846010542587,0.00333523431269,Summary1.As1,DENMARK,2017,Total,477.2903966658421,0.981043752
Total national emissions and removals,39693.46072437433,319.4706837674414,19.96395286239779,0.00324129475952,Summary1.As1,DENMARK,2018,Total,541.8502182224232,0.006615165375
Total national emissions and removals,35258.71494471305,312.8228040200656,20.54708477030992,0.00316510094987,Summary1.As1,DENMARK,2019,Total,393.5846724745828,0.994120515375
Total national emissions and removals,32775.193892514384,317.9168324629681,20.77346358828575,0.00203719163998,Summary1.As1,DENMARK,2020,Total,392.04648921301566,0.006250515375
Total national emissions and removals,33431.53873440768,319.1242922704896,19.74773327266969,0.00066244657855,Summary1.As1,DENMARK,2021,Total,356.1858332481847,0.006449083875
