GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),61564.45657794981,,,,Summary1.As1,DENMARK,1991,Subsector,1. Energy
                                           Sectoral approach(2),62806.3104905861,12.33725432493495,1.16371817581244,,Summary1.As1,DENMARK,1991,Subsector,1. Energy
1.  Energy industries,35296.28739880305,0.96726055731129,0.37080231870911,,Summary1.As1,DENMARK,1991,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,6196.459195622827,0.33879697997753,0.22124355235783,,Summary1.As1,DENMARK,1991,Subsector,1. Energy
3.  Transport,11275.09022311293,3.33701661318479,0.3518574132342,,Summary1.As1,DENMARK,1991,Subsector,1. Energy
4.  Other sectors,9692.36400963066,7.5987597108999,0.21038263446782,,Summary1.As1,DENMARK,1991,Subsector,1. Energy
5.  Other,346.1096634166306,0.09542046356144,0.00943225704348,,Summary1.As1,DENMARK,1991,Subsector,1. Energy
B. Fugitive emissions from fuels,649.54695560365,7.32643292729708,0.00064140740068,,Summary1.As1,DENMARK,1991,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,649.54695560365,7.32643292729708,0.00064140740068,,Summary1.As1,DENMARK,1991,Subsector,1. Energy
A.  Mineral industry,1164.193274067,,,,Summary1.As1,DENMARK,1991,Subsector,1. Energy
