GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),52231.57532667463,,,,,,Summary1.As1,DENMARK,2007,Subsector,1. Energy
                                           Sectoral approach(2),53584.12488879379,21.8018485054196,1.28980034191132,,,,Summary1.As1,DENMARK,2007,Subsector,1. Energy
1.  Energy industries,26317.39731286478,9.60029618204105,0.36226201803509,,,,Summary1.As1,DENMARK,2007,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,5487.311369095193,0.48684906316694,0.23899710276999,,,,Summary1.As1,DENMARK,2007,Subsector,1. Energy
3.  Transport,14493.736306509558,1.23517053245218,0.3875818746842,,,,Summary1.As1,DENMARK,2007,Subsector,1. Energy
4.  Other sectors,7001.8413805026275,10.42840344374461,0.29235016207559,,,,Summary1.As1,DENMARK,2007,Subsector,1. Energy
5.  Other,283.838519821629,0.05112928401482,0.00860918434645,,,,Summary1.As1,DENMARK,2007,Subsector,1. Energy
B. Fugitive emissions from fuels,543.5303390658225,10.32385629950912,0.00057502731919,,,,Summary1.As1,DENMARK,2007,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,543.5303390658225,10.32385629950912,0.00057502731919,,,,Summary1.As1,DENMARK,2007,Subsector,1. Energy
A.  Mineral industry,1621.31725306204,,,,,,Summary1.As1,DENMARK,2007,Subsector,1. Energy
