GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,SF6 (kt),HFCs(1) (kt CO2 equivalent),PFCs(1)
1. Energy,35945.95286607572,6.36065258409434,0.22830875183208,Summary1.As1,EST,1990,Sector,,,
2.  Industrial processes and product use,958.2911082627902,,0.01828467817158,Summary1.As1,EST,1990,Sector,,,
1. Energy,33172.51493970116,6.31070258097957,0.21830753733028,Summary1.As1,EST,1991,Sector,,,
2.  Industrial processes and product use,960.2985417425434,,0.01944193521503,Summary1.As1,EST,1991,Sector,2.1135e-06,,
1. Energy,23863.68980415036,3.64292305412354,0.13726003845238,Summary1.As1,EST,1992,Sector,,,
2.  Industrial processes and product use,551.8120284904511,,0.01742844567678,Summary1.As1,EST,1992,Sector,3.9628125e-06,15.9210727,
1. Energy,19107.13414540425,2.53468739297543,0.13368548129896,Summary1.As1,EST,1993,Sector,,,
2.  Industrial processes and product use,326.8258330727832,,0.0178603891988,Summary1.As1,EST,1993,Sector,6.0812125e-05,18.3739370862071,
1. Energy,19471.29808064188,2.87827739957632,0.14974163406883,Summary1.As1,EST,1994,Sector,,,
2.  Industrial processes and product use,568.3722246587988,,0.0193067389848,Summary1.As1,EST,1994,Sector,0.0001301614375,21.034340287984,
1. Energy,17456.369398706895,3.26630039458894,0.15246564295924,Summary1.As1,EST,1995,Sector,,,
2.  Industrial processes and product use,597.7281533694555,,0.02026163819502,Summary1.As1,EST,1995,Sector,0.00013484075,26.48875495031643,
1. Energy,18429.45892338125,3.78975691825075,0.17013471843822,Summary1.As1,EST,1996,Sector,,,
2.  Industrial processes and product use,606.9197710750399,,0.02122589897791,Summary1.As1,EST,1996,Sector,0.00014619009,32.44898540451012,
1. Energy,18022.765507795222,3.58858252383358,0.16893528692811,Summary1.As1,EST,1997,Sector,,,
2.  Industrial processes and product use,651.2952807363612,,0.02219591820565,Summary1.As1,EST,1997,Sector,0.00012503939,39.00849173447269,
1. Energy,16219.56879852226,3.079159193104,0.17070614561597,Summary1.As1,EST,1998,Sector,,,
2.  Industrial processes and product use,693.2120978302852,,0.02317573631676,Summary1.As1,EST,1998,Sector,0.0001253194875,49.38556663248359,
