GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,SF6 (kt),HFCs(1) (kt CO2 equivalent),PFCs(1)
Total national emissions and removals,32912.44233498778,79.48206016342289,5.44507662880112,Summary1.As1,EST,1990,Total,,,
Total national emissions and removals,30267.098357079907,76.81865392086704,5.34412403143891,Summary1.As1,EST,1991,Total,2.1135e-06,,
Total national emissions and removals,21543.14397017846,66.92181819829655,4.60222857402411,Summary1.As1,EST,1992,Total,3.9628125e-06,15.9210727,
Total national emissions and removals,15412.601183521803,57.12319042012842,3.79967511956105,Summary1.As1,EST,1993,Total,6.0812125e-05,18.3739370862071,
Total national emissions and removals,16599.387640777277,54.70088043023095,3.53791588294944,Summary1.As1,EST,1994,Total,0.0001301614375,21.034340287984,
Total national emissions and removals,14402.8497551182,50.8144938517941,3.25813880423337,Summary1.As1,EST,1995,Total,0.00013484075,26.48875495031643,
Total national emissions and removals,15022.98856849029,50.63277079755884,3.1149416778021,Summary1.As1,EST,1996,Total,0.00014619009,32.44898540451012,
Total national emissions and removals,14537.870212469088,52.69871421790154,3.14979969417206,Summary1.As1,EST,1997,Total,0.00012503939,39.00849173447269,
Total national emissions and removals,12290.500250322588,51.93757281600615,3.24120376273492,Summary1.As1,EST,1998,Total,0.0001253194875,49.38556663248359,
Total national emissions and removals,11726.390877704318,48.62938550964327,2.95307640037132,Summary1.As1,EST,1999,Total,0.000126288,59.95713748702547,
Total national emissions and removals,10486.333482335924,49.95788305396295,3.06497732007192,Summary1.As1,EST,2000,Total,0.0001145773125,74.7379725589453,
Total national emissions and removals,10647.15787916194,51.30658253835547,2.98904404786997,Summary1.As1,EST,2001,Total,7.358355198e-05,91.65536597141411,
Total national emissions and removals,10454.135277997724,49.51817228764953,2.89912400641302,Summary1.As1,EST,2002,Total,6.09259375e-05,93.64433280529492,
Total national emissions and removals,12682.21487879035,49.44006455903087,3.02773536430704,Summary1.As1,EST,2003,Total,5.694092556e-05,99.70914609948068,
Total national emissions and removals,12280.109384129431,50.21566104629285,3.14602048093206,Summary1.As1,EST,2004,Total,4.700133012e-05,113.4023628429482,
Total national emissions and removals,14022.709732551935,49.52448645526813,3.2006110750664,Summary1.As1,EST,2005,Total,4.735048325e-05,128.14880116314245,
Total national emissions and removals,11781.244325000656,49.48634453985297,3.17560922987194,Summary1.As1,EST,2006,Total,5.145402031e-05,147.19717398400846,0.0952211
Total national emissions and removals,15721.701468559137,49.01017214527732,3.37070772455712,Summary1.As1,EST,2007,Total,4.540020984e-05,163.06457266210157,0.077519
Total national emissions and removals,12332.920622550992,48.3938287492759,3.56895405534029,Summary1.As1,EST,2008,Total,6.37948e-05,146.24689554100894,0.0489411
Total national emissions and removals,9285.903273560967,48.71852584464093,3.40799861247593,Summary1.As1,EST,2009,Total,6.575124857e-05,153.11726492823166,
Total national emissions and removals,13160.29733836616,49.03060875597909,3.48363864496897,Summary1.As1,EST,2010,Total,8.034972971e-05,170.72709116284804,
Total national emissions and removals,13422.542018064549,47.93073799884002,3.52735579740872,Summary1.As1,EST,2011,Total,8.215661437e-05,178.25436298708027,
Total national emissions and removals,13877.76100339329,48.38341284485732,3.70308695177295,Summary1.As1,EST,2012,Total,8.721535648e-05,188.03022756666687,
Total national emissions and removals,16622.376808733945,48.40336477227591,3.70533998419081,Summary1.As1,EST,2013,Total,9.311451505e-05,201.52087998593177,
Total national emissions and removals,18230.2980475897,47.46350070122229,3.80235692114642,Summary1.As1,EST,2014,Total,9.67685506e-05,211.45287418294188,
Total national emissions and removals,14700.026673248283,43.81948113986467,3.93526174621885,Summary1.As1,EST,2015,Total,0.0001030938206,216.43078824850508,
Total national emissions and removals,16996.532993372617,43.14074566601029,3.85100337345303,Summary1.As1,EST,2016,Total,0.00011564622217,225.03972398560484,
Total national emissions and removals,18664.73586885291,43.62353619772297,3.96661968457968,Summary1.As1,EST,2017,Total,0.00011177707217,225.7987586363332,
Total national emissions and removals,19794.012018523128,43.63320774849317,3.93536351189254,Summary1.As1,EST,2018,Total,0.0001170645096,225.98543525134463,
Total national emissions and removals,13127.300892718828,43.98347598361085,4.17320987735912,Summary1.As1,EST,2019,Total,0.00012457868956,219.67220052059776,
Total national emissions and removals,11400.498985637929,43.57332776011506,4.19870924396035,Summary1.As1,EST,2020,Total,0.00012877570756,179.9183587865417,
Total national emissions and removals,12955.083060802102,43.86612857176619,4.2306898960312,Summary1.As1,EST,2021,Total,0.00013064858756,190.20812155407268,
