GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector,SF6 (kt),HFCs(1) (kt CO2 equivalent),PFCs(1)
A. Fuel combustion     Reference approach(2),36879.43677200202,,,Summary1.As1,ESTONIA,1990,Subsector,1. Energy,,,
                                           Sectoral approach(2),35945.85566845116,3.80077334861152,0.22830875183208,Summary1.As1,ESTONIA,1990,Subsector,1. Energy,,,
1.  Energy industries,28268.909697927687,0.10495524126675,0.04791346935838,Summary1.As1,ESTONIA,1990,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,3465.458101728097,0.10650018317449,0.02136654012203,Summary1.As1,ESTONIA,1990,Subsector,1. Energy,,,
3.  Transport,2421.433099899135,0.87655585095839,0.12939106993224,Summary1.As1,ESTONIA,1990,Subsector,1. Energy,,,
4.  Other sectors,1790.0547688962351,2.71276207321189,0.02963767241943,Summary1.As1,ESTONIA,1990,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,0.09719762456274,2.55987923548282,,Summary1.As1,ESTONIA,1990,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,0.09719762456274,2.55987923548282,,Summary1.As1,ESTONIA,1990,Subsector,1. Energy,,,
A.  Mineral industry,613.9531042505225,,,Summary1.As1,ESTONIA,1990,Subsector,1. Energy,,,
B.  Chemical industry,307.7348718880355,,,Summary1.As1,ESTONIA,1990,Subsector,1. Energy,,,
D.  Non-energy products from fuels and solvent use ,35.843955670952,,,Summary1.As1,ESTONIA,1990,Subsector,2.  Industrial processes and product use,,,
G.  Other product manufacture and use ,,,0.01828467817158,Summary1.As1,ESTONIA,1990,Subsector,2.  Industrial processes and product use,,,
H.  Other(3),,,,Summary1.As1,ESTONIA,1990,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),33984.92922174399,,,Summary1.As1,ESTONIA,1991,Subsector,1. Energy,,,
                                           Sectoral approach(2),33172.41734179155,3.74028109837471,0.21830753733028,Summary1.As1,ESTONIA,1991,Subsector,1. Energy,,,
1.  Energy industries,25900.095950519837,0.09254656688047,0.04704483222952,Summary1.As1,ESTONIA,1991,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,3349.498982054768,0.10901359895052,0.02129075751903,Summary1.As1,ESTONIA,1991,Subsector,1. Energy,,,
3.  Transport,2192.970918868995,0.82543016664829,0.12068780328408,Summary1.As1,ESTONIA,1991,Subsector,1. Energy,,,
4.  Other sectors,1729.8514903479609,2.71329076589543,0.02928414429765,Summary1.As1,ESTONIA,1991,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,0.09759790960885,2.57042148260486,,Summary1.As1,ESTONIA,1991,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,0.09759790960885,2.57042148260486,,Summary1.As1,ESTONIA,1991,Subsector,1. Energy,,,
A.  Mineral industry,621.945663709733,,,Summary1.As1,ESTONIA,1991,Subsector,1. Energy,,,
B.  Chemical industry,301.2192146883798,,,Summary1.As1,ESTONIA,1991,Subsector,1. Energy,,,
D.  Non-energy products from fuels and solvent use ,36.485984970952,,,Summary1.As1,ESTONIA,1991,Subsector,2.  Industrial processes and product use,,,
G.  Other product manufacture and use ,,,0.01944193521503,Summary1.As1,ESTONIA,1991,Subsector,2.  Industrial processes and product use,2.1135e-06,,
H.  Other(3),,,,Summary1.As1,ESTONIA,1991,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),24754.415629009614,,,Summary1.As1,ESTONIA,1992,Subsector,1. Energy,,,
