GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),33984.92922174399,,,,Summary1.As1,ESTONIA,1991,Subsector,1. Energy
                                           Sectoral approach(2),33172.41734179155,3.74028109837471,0.21830753733028,,Summary1.As1,ESTONIA,1991,Subsector,1. Energy
1.  Energy industries,25900.095950519833,0.09254656688047,0.04704483222952,,Summary1.As1,ESTONIA,1991,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,3349.4989820547676,0.10901359895052,0.02129075751903,,Summary1.As1,ESTONIA,1991,Subsector,1. Energy
3.  Transport,2192.970918868995,0.82543016664829,0.12068780328408,,Summary1.As1,ESTONIA,1991,Subsector,1. Energy
4.  Other sectors,1729.8514903479609,2.71329076589543,0.02928414429765,,Summary1.As1,ESTONIA,1991,Subsector,1. Energy
B. Fugitive emissions from fuels,0.09759790960885,2.57042148260486,,,Summary1.As1,ESTONIA,1991,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.09759790960885,2.57042148260486,,,Summary1.As1,ESTONIA,1991,Subsector,1. Energy
A.  Mineral industry,621.945663709733,,,,Summary1.As1,ESTONIA,1991,Subsector,1. Energy
B.  Chemical industry,301.2192146883798,,,,Summary1.As1,ESTONIA,1991,Subsector,1. Energy
