GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),19250.23834714462,,,,,,Summary1.As1,ESTONIA,2008,Subsector,1. Energy
                                           Sectoral approach(2),17005.786887441947,1.36903458092402,0.17336602123989,,,,Summary1.As1,ESTONIA,2008,Subsector,1. Energy
1.  Energy industries,12878.529965997917,0.04929613199538,0.0365229830094,,,,Summary1.As1,ESTONIA,2008,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,1205.2446848060904,0.10958914440536,0.01774580578183,,,,Summary1.As1,ESTONIA,2008,Subsector,1. Energy
3.  Transport,2295.8669067637957,0.31908110939641,0.09229672578194,,,,Summary1.As1,ESTONIA,2008,Subsector,1. Energy
4.  Other sectors,626.1453298741445,0.89106819512687,0.02680050666672,,,,Summary1.As1,ESTONIA,2008,Subsector,1. Energy
B. Fugitive emissions from fuels,0.06127173736244,1.61370454166632,,,,,Summary1.As1,ESTONIA,2008,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.06127173736244,1.61370454166632,,,,,Summary1.As1,ESTONIA,2008,Subsector,1. Energy
A.  Mineral industry,644.1242839816917,,,,,,Summary1.As1,ESTONIA,2008,Subsector,1. Energy
B.  Chemical industry,141.6157489166667,,,,,,Summary1.As1,ESTONIA,2008,Subsector,1. Energy
