GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),22278.082691190906,,,,,Summary1.As1,ESTONIA,2017,Subsector,1. Energy
                                           Sectoral approach(2),18319.093971993156,1.33399523919608,0.21919244270171,,,Summary1.As1,ESTONIA,2017,Subsector,1. Energy
1.  Energy industries,14425.527331426809,0.39991658139592,0.08606989599642,,,Summary1.As1,ESTONIA,2017,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,727.5518981599414,0.11781820105611,0.01742552309292,,,Summary1.As1,ESTONIA,2017,Subsector,1. Energy
3.  Transport,2420.9286370704785,0.15087624997614,0.08708278344124,,,Summary1.As1,ESTONIA,2017,Subsector,1. Energy
4.  Other sectors,745.0861053359288,0.66538420676791,0.02861424017113,,,Summary1.As1,ESTONIA,2017,Subsector,1. Energy
B. Fugitive emissions from fuels,0.0313602777576,0.82593092384538,,,,Summary1.As1,ESTONIA,2017,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.0313602777576,0.82593092384538,,,,Summary1.As1,ESTONIA,2017,Subsector,1. Energy
A.  Mineral industry,374.673569993661,,,,,Summary1.As1,ESTONIA,2017,Subsector,1. Energy
C.  Metal industry,3.4231392534162,,,,,Summary1.As1,ESTONIA,2017,Subsector,1. Energy
