GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
1. Energy,52584.728043571,12.646013814,1.816335085,,,,Summary1.As1,FINLAND,1990,Sector
2.  Industrial processes and product use,3682.212503139512,0.1953687,5.56306903094214,0.02045561758365,0.19163391093156,0.00230189901574,Summary1.As1,FINLAND,1990,Sector
1. Energy,51230.838959174,13.86362569,1.804771312,,,,Summary1.As1,FINLAND,1991,Sector
2.  Industrial processes and product use,3500.360861203448,0.1931171,4.85997111451286,0.0334211822212,0.22037899757129,0.00176148000921,Summary1.As1,FINLAND,1991,Sector
1. Energy,50610.237078849,14.483275373,1.798436957,,,,Summary1.As1,FINLAND,1992,Sector
2.  Industrial processes and product use,3355.3468898004053,0.1932598171,4.42363450672684,0.04702837855438,0.26216888320699,0.00112591781522,Summary1.As1,FINLAND,1992,Sector
1. Energy,52504.63075514584,15.062818368,1.899354377,,,,Summary1.As1,FINLAND,1993,Sector
2.  Industrial processes and product use,3335.609281470476,0.193197361,4.60903852204363,0.19534479033754,0.35527770778803,0.00086609261799,Summary1.As1,FINLAND,1993,Sector
1. Energy,57806.18373763943,15.433563472,1.976514134,,,,Summary1.As1,FINLAND,1994,Sector
2.  Industrial processes and product use,3453.301486849972,0.1941222,4.8505105106159,80.75659248379382,0.81038820378124,0.00104653544579,Summary1.As1,FINLAND,1994,Sector
1. Energy,54306.99421186774,15.389324114,1.957088917,,,,Summary1.As1,FINLAND,1995,Sector
2.  Industrial processes and product use,3398.2515351967427,0.193812,4.94048955369712,148.72845585274655,1.52117193137093,0.00162193704324,Summary1.As1,FINLAND,1995,Sector
1. Energy,60013.258927630646,15.85464125,2.078136,,,,Summary1.As1,FINLAND,1996,Sector
2.  Industrial processes and product use,3541.965410516804,0.192721,4.94184611657521,230.50960765969648,1.72683425103907,0.00237541005739,Summary1.As1,FINLAND,1996,Sector
1. Energy,58436.8039520874,15.307154213,2.112126659,,,,Summary1.As1,FINLAND,1997,Sector
2.  Industrial processes and product use,3767.577683573916,0.2838579,4.87704406317957,327.0538654935327,1.78486282064992,0.00219772631226,Summary1.As1,FINLAND,1997,Sector
1. Energy,55128.77569233855,15.379852939,2.081619398,,,,Summary1.As1,FINLAND,1998,Sector
2.  Industrial processes and product use,3770.2828377135634,0.1416412,4.65894583672805,431.854401059789,1.87247070357741,0.0016940600752,Summary1.As1,FINLAND,1998,Sector
1. Energy,54547.57704389405,14.255158173,2.048067288,,,,Summary1.As1,FINLAND,1999,Sector
2.  Industrial processes and product use,3865.715615171752,0.2333600379,4.56478254245308,526.278219025237,4.55298964379403,0.00134898879053,Summary1.As1,FINLAND,1999,Sector
1. Energy,52784.63675977386,13.264245816,1.99139744,,,,Summary1.As1,FINLAND,2000,Sector
2.  Industrial processes and product use,3874.4321622991984,0.106121,4.58586431511568,693.1954582855102,3.16358551114454,0.00114296957816,Summary1.As1,FINLAND,2000,Sector
1. Energy,58150.46276608638,14.714072635,2.13321399,,,,Summary1.As1,FINLAND,2001,Sector
2.  Industrial processes and product use,3943.421637660186,0.1303909146,4.3423391331116,764.472716199771,3.72982621335452,0.00111957283032,Summary1.As1,FINLAND,2001,Sector
1. Energy,60743.01533667879,14.204917218,2.20048389,,,,Summary1.As1,FINLAND,2002,Sector
2.  Industrial processes and product use,3850.737728371473,0.1721812,4.46628127406626,856.8652450494615,2.89214349981565,0.00111118745,Summary1.As1,FINLAND,2002,Sector
1. Energy,68318.39706313066,14.582907564,2.303954575,,,,Summary1.As1,FINLAND,2003,Sector
2.  Industrial processes and product use,4032.979828433,0.117709522,4.68912491251509,951.8447897800032,3.13247088213687,0.00112140995,Summary1.As1,FINLAND,2003,Sector
1. Energy,64460.62444272952,14.168037675,2.237694781,,,,Summary1.As1,FINLAND,2004,Sector
2.  Industrial processes and product use,4201.463746140158,0.1062204,4.97314638032754,1050.8767497110475,2.91834008373995,0.00104553041429,Summary1.As1,FINLAND,2004,Sector
1. Energy,52788.92757175652,14.434088341,1.991169812,,,,Summary1.As1,FINLAND,2005,Sector
2.  Industrial processes and product use,3967.389092318924,0.0997693627,5.4067888629752,1123.1866939495712,3.57636324634408,0.00097320552358,Summary1.As1,FINLAND,2005,Sector
1. Energy,63820.571863375335,13.80827482,2.18472573,,,,Summary1.As1,FINLAND,2006,Sector
2.  Industrial processes and product use,4228.101540368211,0.0932269938,4.7861394311443,1274.2107841315958,3.88349773898764,0.00120895828926,Summary1.As1,FINLAND,2006,Sector
1. Energy,61861.04265663498,13.696243157,2.148238631,,,,Summary1.As1,FINLAND,2007,Sector
2.  Industrial processes and product use,4621.967887011583,0.1629865006,4.90807773691266,1305.55197596096,2.99061374787897,0.00084095892689,Summary1.As1,FINLAND,2007,Sector
1. Energy,53570.00168291595,13.277733188,2.01282969,,,,Summary1.As1,FINLAND,2008,Sector
2.  Industrial processes and product use,4724.755703101052,0.1025560427,5.22242417339941,1339.905639747541,2.71079094657136,0.00116924949121,Summary1.As1,FINLAND,2008,Sector
1. Energy,51730.767509912446,13.311025249,1.888600067,,,,Summary1.As1,FINLAND,2009,Sector
2.  Industrial processes and product use,3834.850133696142,0.1018640288,2.65837616328683,1337.1953403655289,3.08691193246377,0.00117151412211,Summary1.As1,FINLAND,2009,Sector
1. Energy,59225.11909863198,14.15554703866071,2.184931496,,,,Summary1.As1,FINLAND,2010,Sector
2.  Industrial processes and product use,4576.901602103872,0.1008427689,0.64733171635197,1320.8037118199356,2.52902976878219,0.00095576767448,Summary1.As1,FINLAND,2010,Sector
1. Energy,51864.23658380119,12.5222453535,2.037946982,,,,Summary1.As1,FINLAND,2011,Sector
2.  Industrial processes and product use,4571.70163477628,0.0508352401,0.54136627975991,1302.0851955420867,2.8260610653925,0.0010383379381,Summary1.As1,FINLAND,2011,Sector
1. Energy,46580.50287235506,13.18881167819556,1.963737549,,,,Summary1.As1,FINLAND,2012,Sector
2.  Industrial processes and product use,4362.518593789834,0.0550980511,0.64132443185124,1310.4508469564748,3.5306897599989,0.0009717513,Summary1.As1,FINLAND,2012,Sector
1. Energy,47209.78934692482,12.58495771672232,1.959670423,,,,Summary1.As1,FINLAND,2013,Sector
2.  Industrial processes and product use,4190.532359934243,0.0626377602,0.80315842969979,1290.879794179984,4.19458118402758,0.0013526593,Summary1.As1,FINLAND,2013,Sector
1. Energy,43389.55481851478,12.37942859543995,1.879283112,,,,Summary1.As1,FINLAND,2014,Sector
2.  Industrial processes and product use,3984.2803550660456,0.0507987784,0.78095476651196,1257.8450906171497,3.75640312221182,0.0015145709,Summary1.As1,FINLAND,2014,Sector
1. Energy,39862.21236522214,11.96366642861267,1.815795483,,,,Summary1.As1,FINLAND,2015,Sector
2.  Industrial processes and product use,4156.743698908887,0.0760375618,0.95163462495375,1192.6941251913902,1.38524338928654,0.0009568404,Summary1.As1,FINLAND,2015,Sector
1. Energy,42533.699522618605,12.53336763170029,1.925352609,,,,Summary1.As1,FINLAND,2016,Sector
2.  Industrial processes and product use,4455.558497107193,0.0491364853,0.81800513973888,1133.6937062639747,1.37701428259582,0.001306016675,Summary1.As1,FINLAND,2016,Sector
1. Energy,40125.36512881684,12.33155625016211,1.881169553,,,,Summary1.As1,FINLAND,2017,Sector
2.  Industrial processes and product use,4339.97939808155,0.1529142766,0.86375443044028,1064.0475580412235,1.49787368064139,0.001087559875,Summary1.As1,FINLAND,2017,Sector
1. Energy,41114.51175730351,12.15170240977871,1.989183422,,,,Summary1.As1,FINLAND,2018,Sector
2.  Industrial processes and product use,4413.080497809463,0.1016693235,0.78911929696395,1014.5269710942734,1.5919430322644,0.000915753425,Summary1.As1,FINLAND,2018,Sector
1. Energy,38123.63819629762,11.84640762375188,1.947734443,,,,Summary1.As1,FINLAND,2019,Sector
2.  Industrial processes and product use,4139.777089307038,0.0434336224,0.75136578992016,968.9390524676488,1.76530392007679,0.000855352975,Summary1.As1,FINLAND,2019,Sector
1. Energy,33646.812270591,10.23299998,1.748179273,,,,Summary1.As1,FINLAND,2020,Sector
2.  Industrial processes and product use,3885.484857282661,0.0502261778,0.81563246251696,903.8587636862584,1.48532025645956,0.000928610225,Summary1.As1,FINLAND,2020,Sector
1. Energy,33513.11621012295,11.281086893,1.896240325,,,,Summary1.As1,FINLAND,2021,Sector
2.  Industrial processes and product use,4232.646544343892,0.0619734967,0.94501774108988,837.6003279706326,1.59333233680741,0.000972462225,Summary1.As1,FINLAND,2021,Sector
3.  Agriculture,647.3874517354657,111.7321129753742,13.0864556338882,,,,Summary1.As2,FINLAND,1990,Sector
"4.  Land use, land-use change and forestry  (4)",-28998.522719000022,60.482031,5.653497,,,,Summary1.As2,FINLAND,1990,Sector
5.  Waste,,182.97903620458436,0.31771896844598,,,,Summary1.As2,FINLAND,1990,Sector
3.  Agriculture,457.5530277407368,107.66571268617696,12.7082439971028,,,,Summary1.As2,FINLAND,1991,Sector
"4.  Land use, land-use change and forestry  (4)",-41427.28455233337,60.027201,5.694695,,,,Summary1.As2,FINLAND,1991,Sector
5.  Waste,,185.16154030514804,0.31869642061767,,,,Summary1.As2,FINLAND,1991,Sector
3.  Agriculture,299.4714844948954,104.56931839814266,11.76841360100475,,,,Summary1.As2,FINLAND,1992,Sector
"4.  Land use, land-use change and forestry  (4)",-35441.460385666694,59.688247,5.731937,,,,Summary1.As2,FINLAND,1992,Sector
5.  Waste,,185.7140215303984,0.31458558630491,,,,Summary1.As2,FINLAND,1992,Sector
3.  Agriculture,473.1248055145047,105.86759965409568,12.0283793159772,,,,Summary1.As2,FINLAND,1993,Sector
"4.  Land use, land-use change and forestry  (4)",-36125.1088856667,59.238353,5.776469,,,,Summary1.As2,FINLAND,1993,Sector
5.  Waste,,185.47946349837088,0.31608462086375,,,,Summary1.As2,FINLAND,1993,Sector
3.  Agriculture,473.17928154998685,107.06841910429382,12.08765683482178,,,,Summary1.As2,FINLAND,1994,Sector
"4.  Land use, land-use change and forestry  (4)",-29374.711442333355,58.645049,5.94769,,,,Summary1.As2,FINLAND,1994,Sector
5.  Waste,,182.9394528348659,0.31471463899483,,,,Summary1.As2,FINLAND,1994,Sector
3.  Agriculture,410.2695230071154,101.78661237581376,12.07888117864437,,,,Summary1.As2,FINLAND,1995,Sector
"4.  Land use, land-use change and forestry  (4)",-28066.49610900002,57.992202,6.085501,,,,Summary1.As2,FINLAND,1995,Sector
5.  Waste,,179.862685522491,0.33372713128934,,,,Summary1.As2,FINLAND,1995,Sector
3.  Agriculture,477.8313119410295,102.91730115832986,12.11595679532788,,,,Summary1.As2,FINLAND,1996,Sector
"4.  Land use, land-use change and forestry  (4)",-34450.578005000025,57.333861,6.234858,,,,Summary1.As2,FINLAND,1996,Sector
