GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
Total national emissions and removals,27915.805279445955,368.03456269395855,26.43707571827632,0.02045561758365,0.19163391093156,0.00230189901574,Summary1.As1,FINLAND,1990,Total
Total national emissions and removals,13761.468295784814,366.911196781325,25.38637784423333,0.0334211822212,0.22037899757129,0.00176148000921,Summary1.As1,FINLAND,1991,Total
Total national emissions and removals,18823.595067477603,364.6481221186411,24.0370076510365,0.04702837855438,0.26216888320699,0.00112591781522,Summary1.As1,FINLAND,1992,Total
Total national emissions and removals,20188.255956464123,365.8414318814665,24.62932583588458,0.19534479033754,0.35527770778803,0.00086609261799,Summary1.As1,FINLAND,1993,Total
Total national emissions and removals,32357.953063706023,364.2806066111597,25.17708611843251,80.75659248379382,0.81038820378124,0.00104653544579,Summary1.As1,FINLAND,1994,Total
Total national emissions and removals,30049.01916107158,355.2246360123048,25.39568778063083,148.72845585274655,1.52117193137093,0.00162193704324,Summary1.As1,FINLAND,1995,Total
Total national emissions and removals,29582.477645088456,351.8656304868968,25.71241209608964,230.50960765969648,1.72683425103907,0.00237541005739,Summary1.As1,FINLAND,1996,Total
Total national emissions and removals,32808.99929170591,347.9191312902024,25.93774480584382,327.0538654935327,1.78486282064992,0.00219772631226,Summary1.As1,FINLAND,1997,Total
Total national emissions and removals,31426.61297513932,337.0209125320029,25.53704907031698,431.854401059789,1.87247070357741,0.0016940600752,Summary1.As1,FINLAND,1998,Total
Total national emissions and removals,30696.283689879023,328.2353596676793,25.38742975931735,526.278219025237,4.55298964379403,0.00134898879053,Summary1.As1,FINLAND,1999,Total
Total national emissions and removals,29263.96865889965,316.8277194994144,25.76240880493099,693.1954582855102,3.16358551114454,0.00114296957816,Summary1.As1,FINLAND,2000,Total
Total national emissions and removals,34037.22090925319,310.5529262349969,25.53277715424563,764.472716199771,3.72982621335452,0.00111957283032,Summary1.As1,FINLAND,2001,Total
Total national emissions and removals,35420.411250236924,300.62288971678583,25.71945692714723,856.8652450494615,2.89214349981565,0.00111118745,Summary1.As1,FINLAND,2002,Total
Total national emissions and removals,42535.40374009704,291.47299840224906,26.20625442522723,951.8447897800032,3.13247088213687,0.00112140995,Summary1.As1,FINLAND,2003,Total
Total national emissions and removals,37336.42719274976,282.76715068134325,26.5415669216236,1050.8767497110475,2.91834008373995,0.00104553041429,Summary1.As1,FINLAND,2004,Total
Total national emissions and removals,25390.542861968894,271.6918655747572,26.82780024376805,1123.1866939495712,3.57636324634408,0.00097320552358,Summary1.As1,FINLAND,2005,Total
Total national emissions and removals,32824.86055031704,273.3732570247745,26.32275962439379,1274.2107841315958,3.88349773898764,0.00120895828926,Summary1.As1,FINLAND,2006,Total
Total national emissions and removals,40877.49287756677,267.07393826663883,26.59259346541952,1305.55197596096,2.99061374787897,0.00084095892689,Summary1.As1,FINLAND,2007,Total
Total national emissions and removals,30197.218610950586,258.48952704654886,27.14970474453647,1339.905639747541,2.71079094657136,0.00116924949121,Summary1.As1,FINLAND,2008,Total
Total national emissions and removals,15322.2380212222,252.83341552773905,24.05814844160979,1337.1953403655289,3.08691193246377,0.00117151412211,Summary1.As1,FINLAND,2009,Total
Total national emissions and removals,35094.28273769618,253.04750581303895,22.65686702036037,1320.8037118199356,2.52902976878219,0.00095576767448,Summary1.As1,FINLAND,2010,Total
Total national emissions and removals,28448.350289390182,244.50658862099584,22.22404159224346,1302.0851955420867,2.8260610653925,0.0010383379381,Summary1.As1,FINLAND,2011,Total
Total national emissions and removals,21266.612751680783,240.88148511390864,22.11496297152681,1310.4508469564748,3.5306897599989,0.0009717513,Summary1.As1,FINLAND,2012,Total
Total national emissions and removals,28657.37617110624,234.75801036678732,22.15249541855186,1290.879794179984,4.19458118402758,0.0013526593,Summary1.As1,FINLAND,2013,Total
Total national emissions and removals,24121.45298533843,229.7684748589649,22.28916725875369,1257.8450906171497,3.75640312221182,0.0015145709,Summary1.As1,FINLAND,2014,Total
Total national emissions and removals,24799.31877660932,227.171153274478,22.3886933742382,1192.6941251913902,1.38524338928654,0.0009568404,Summary1.As1,FINLAND,2015,Total
Total national emissions and removals,31194.193221896825,220.0731673580857,22.25496456313168,1133.6937062639747,1.37701428259582,0.001306016675,Summary1.As1,FINLAND,2016,Total
Total national emissions and removals,30980.80915109668,215.50316341436707,22.26951869336833,1064.0475580412235,1.49787368064139,0.001087559875,Summary1.As1,FINLAND,2017,Total
Total national emissions and removals,41278.42634848595,212.70589453695655,22.18365432024535,1014.5269710942734,1.5919430322644,0.000915753425,Summary1.As1,FINLAND,2018,Total
Total national emissions and removals,33086.84759246315,210.63822105548945,22.770776431724,968.9390524676488,1.76530392007679,0.000855352975,Summary1.As1,FINLAND,2019,Total
Total national emissions and removals,25972.204998887955,206.88775633547436,22.45691725859744,903.8587636862584,1.48532025645956,0.000928610225,Summary1.As1,FINLAND,2020,Total
Total national emissions and removals,35798.539154764105,202.51444733866748,22.47210249415743,837.6003279706326,1.59333233680741,0.000972462225,Summary1.As1,FINLAND,2021,Total
