GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),354981.73403711093,,,,,,Summary1.As1,FRANCE,1990,Subsector,1. Energy
                                           Sectoral approach(2),349231.3897161146,232.6709743057428,11.41043108372835,,,,Summary1.As1,FRANCE,1990,Subsector,1. Energy
1.  Energy industries,66062.4097464072,2.66090511974162,1.5102177366333,,,,Summary1.As1,FRANCE,1990,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,65470.39538405813,3.92398620090809,1.6107981154298,,,,Summary1.As1,FRANCE,1990,Subsector,1. Energy
3.  Transport,121354.28483465633,39.35589991428003,3.23318636705272,,,,Summary1.As1,FRANCE,1990,Subsector,1. Energy
4.  Other sectors,91880.05414326988,186.61266479081303,4.93822754461253,,,,Summary1.As1,FRANCE,1990,Subsector,1. Energy
5.  Other,4464.24560772307,0.11751828,0.11800132,,,,Summary1.As1,FRANCE,1990,Subsector,1. Energy
B. Fugitive emissions from fuels,4361.53682451031,264.4616869164878,0.08849683168189,,,,Summary1.As1,FRANCE,1990,Subsector,1. Energy
1.  Solid fuels,,192.4095848704776,,,,,Summary1.As1,FRANCE,1990,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,4361.53682451031,72.05210204601018,0.08849683168189,,,,Summary1.As1,FRANCE,1990,Subsector,1. Energy
B.  Chemical industry,7542.475854571724,3.1210908932354,79.55677342263091,4202.290266,1084.128336,0.0057,Summary1.As1,FRANCE,1990,Subsector,2.  Industrial processes and product use
C.  Metal industry,17904.540715636766,5.63469429108339,,,3210.976634347824,0.0316046225,Summary1.As1,FRANCE,1990,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,1055.2414577422442,0.05803928159703,0.0046643224864,,,,Summary1.As1,FRANCE,1990,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,23.91502815878199,183.509590567087,0.00243528820063,Summary1.As1,FRANCE,1990,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,29.8122,,0.40996490699511,,205.942024,0.0549130956804,Summary1.As1,FRANCE,1990,Subsector,2.  Industrial processes and product use
H.  Other(3),0.04372795367749,,,,,,Summary1.As1,FRANCE,1990,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),370266.5536145557,,,,,,Summary1.As1,FRANCE,1991,Subsector,1. Energy
                                           Sectoral approach(2),375222.95204555424,266.29065544035404,11.98767490817,,,,Summary1.As1,FRANCE,1991,Subsector,1. Energy
1.  Energy industries,67528.48408400232,2.56518647660657,1.58413871113519,,,,Summary1.As1,FRANCE,1991,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,78710.29744554583,4.85489051008438,1.75471193896088,,,,Summary1.As1,FRANCE,1991,Subsector,1. Energy
3.  Transport,123932.03559375252,39.20106361433379,3.28344501386506,,,,Summary1.As1,FRANCE,1991,Subsector,1. Energy
4.  Other sectors,100942.15900560096,219.5645063593293,5.25700992420887,,,,Summary1.As1,FRANCE,1991,Subsector,1. Energy
5.  Other,4109.97591665254,0.10500848,0.10836932,,,,Summary1.As1,FRANCE,1991,Subsector,1. Energy
B. Fugitive emissions from fuels,4464.797336773081,250.60721678585887,0.0878271589656,,,,Summary1.As1,FRANCE,1991,Subsector,1. Energy
1.  Solid fuels,,178.60453294949642,,,,,Summary1.As1,FRANCE,1991,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,4464.797336773081,72.00268383636251,0.0878271589656,,,,Summary1.As1,FRANCE,1991,Subsector,1. Energy
B.  Chemical industry,7771.725118726362,3.48959428714666,80.13491579414801,4824.322448,1107.467208,0.0057,Summary1.As1,FRANCE,1991,Subsector,2.  Industrial processes and product use
